Data:          2021_09_26_15_43_39
Versão:        v4.1.0 / dupla / radar / 300s

Descanso:      0
Quedas:        13

patricia:      11173 pontos / 131 golpes / 65.28 km/h
didi:          11104 pontos / 132 golpes / 64.43 km/h

Parcial:       22277 pontos
Desequilibrio: 00000 (-)
Quedas:        05347 (-)

FINAL:         16930 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
092991   ->   057
093461   <-   037
094231   ->   039
095826   ->   064
096257   <-   047
096856   ->   068
097241   <-   040
097961   ->   069
098349   <-   051
098882   ->   058
099307   <-   044
099946   ->   054
100381   <-   051
100950   ->   066
101334   <-   053
101891   ->   061
102315   <-   044
102951   ->   071
103336   <-   040
104021   ->   066
104446   <-   053
105001   ->   070
106107   ->   063
106541   <-   042
107241   ->   044
107966   <-   049
108611   ->   036
109311   <-   066
112361   <-   044


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
122816   ->   062
123246   <-   046
124951   <-   047
125441   ->   040
126081   <-   067
126461   ->   044
127063   <-   068
127447   ->   043
128086   <-   074
128769   ->   042
129106   <-   073
129451   ->   041
130132   <-   075
130521   ->   045
131113   <-   076
131456   ->   038
132142   <-   075
132526   ->   040
133161   <-   058
133888   ->   037
134276   <-   078
134701   ->   036
135426   <-   035
136261   ->   058
136704   <-   048
137281   ->   063
137711   <-   050
138386   ->   062
138749   <-   050
139351   ->   063
139776   <-   049
140373   ->   067
140699   <-   042
141396   ->   070
141761   <-   048
142401   ->   068
144515   <-   048
146026   <-   064
147326   <-   053
148675   <-   072
149036   ->   037
149886   <-   035
150361   ->   037
151126   <-   053
151636   ->   039
152281   <-   068
153686   <-   069
154131   ->   045
154689   <-   068
155181   ->   044
155776   <-   079
156161   ->   043
156780   <-   070
157164   ->   046
157740   <-   076
158166   ->   047
158678   <-   080


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
175486   ->   062
175916   <-   046
176556   ->   042
177281   <-   044
177961   ->   066
178347   <-   049
178903   ->   065
179281   <-   045
179927   ->   071
180311   <-   051
180866   ->   066
181251   <-   043
183426   ->   067
183766   <-   044
184516   ->   036
185151   <-   038
185886   ->   042
188586   <-   044
189183   ->   037
189826   <-   064
192086   ->   041
192721   <-   040
193447   ->   062
193876   <-   048
194517   ->   069
194842   <-   050
195521   ->   067
195930   <-   050
196544   ->   066
196971   <-   048
197566   ->   069
197931   <-   040
198636   ->   067
199016   <-   047
199617   ->   067
200001   <-   044
200641   ->   071
201026   <-   046
201621   ->   062
202303   <-   038
202715   ->   064
203136   <-   050
203733   ->   070
204076   <-   045
204736   ->   069


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
221141   ->   056
221566   <-   048
222166   ->   067
222850   <-   038
223276   ->   070
223616   <-   049
224166   ->   069
224531   <-   056
225086   ->   069
227196   <-   042
228606   <-   062
228948   ->   044
229761   <-   064
230167   ->   039
230806   <-   068
231171   ->   044
231826   <-   066
232298   ->   045
232876   <-   074
233238   ->   050
233796   <-   072
234476   ->   035
234863   <-   071
235221   ->   042
235946   <-   037
236501   ->   038
237186   <-   070
238296   <-   074
238636   ->   043
240151   ->   064
240486   <-   047
241087   ->   073
241431   <-   054
242027   ->   039
242711   <-   044
243309   ->   042
243906   <-   044
244971   <-   043
245611   ->   066
246036   <-   050


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
257130   ->   061
257556   <-   049
258156   ->   063
258536   <-   045
259179   ->   067
259757   <-   035


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
282496   ->   062
282881   <-   047
283500   ->   069
284199   <-   036
284586   ->   057
285011   <-   048
285571   ->   043
286231   <-   037
286996   ->   068
287596   <-   039
288021   ->   069
288406   <-   053
288961   ->   072
289301   <-   048
289857   ->   070
290241   <-   049


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
300331   ->   066
300756   <-   054
301376   ->   065
301763   <-   051
302348   ->   074
302699   <-   048
303381   ->   071
303768   <-   046
304406   ->   070
304751   <-   050
305346   ->   073
305898   <-   043
306326   ->   075
306646   <-   047
307310   ->   074
307606   <-   051
308160   ->   074
308502   <-   052
309057   ->   074
309399   <-   056
309911   ->   038
310632   <-   059
311127   ->   042
311724   <-   072
312107   ->   045
312726   <-   059


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
327082   ->   063
327506   <-   049
328106   ->   059
328616   <-   042


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
338241   ->   061
338710   <-   042
339391   ->   066
339776   <-   046
340399   ->   069
340783   <-   039
341500   ->   067
341886   <-   037
342611   ->   053
343081   <-   048
343636   ->   042
344191   <-   046
344786   ->   064
345171   <-   045
345816   ->   067
346158   <-   048
346731   ->   070
347070   <-   052
347646   ->   070
347991   <-   053
348551   ->   067
348886   <-   054
349442   ->   071
350118   <-   039
350466   ->   065
350846   <-   049
351446   ->   039
352131   <-   039
352812   ->   071
353186   <-   047
353793   ->   073
354131   <-   051
354686   ->   067
355066   <-   039
355752   ->   068
356116   <-   047
356750   ->   067
357121   <-   048
357719   ->   044
358401   <-   055
358950   ->   036
359766   <-   067
360147   ->   046
360786   <-   070
361198   ->   035
361936   <-   070
363136   <-   072
363566   ->   042
364146   <-   073
364547   ->   046
365101   <-   070
368850   ->   046
369406   <-   042
370066   ->   067
370441   <-   049
370987   ->   072
371328   <-   053
371947   ->   068
373141   ->   067
373526   <-   042
374206   ->   071
374551   <-   050
375124   ->   041
375768   <-   043
376451   ->   068
376831   <-   046
377471   ->   072


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
401601   ->   061
402116   <-   040
402752   ->   064
403136   <-   046
403776   ->   068
404201   <-   038
404972   ->   035
405781   <-   056
406246   ->   041
406851   <-   041
407570   ->   038
408213   <-   069
408601   ->   042
409193   <-   070
409618   ->   045
410133   <-   072
410517   ->   045
411116   <-   063
411541   ->   045
412116   <-   069
413991   <-   058
414423   ->   040
415041   <-   058
415767   ->   038
416151   <-   074
416533   ->   049
417130   <-   073
418259   <-   059
418756   ->   038
419476   <-   045
420156   ->   037
420881   <-   072
422911   ->   062
423331   <-   042
424066   ->   066
424498   <-   041
425194   ->   038
426006   <-   058
427626   <-   068
428051   ->   041
428586   <-   070
428971   ->   047
429566   <-   070
429991   ->   047


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
451388   <-   061
452762   <-   064
453461   ->   037
453933   <-   067
454571   ->   037
454961   <-   054
455403   ->   040
456041   <-   071
456426   ->   035
457151   <-   064
457857   ->   036
458241   <-   079
458646   ->   044
459221   <-   075
460459   <-   064
461137   ->   038
461606   <-   072
462701   <-   072
463086   ->   043
463766   <-   070
464922   <-   078
465256   ->   047
465791   <-   069
466221   ->   043
466771   <-   073
467411   ->   044
467711   <-   069
468356   ->   043
468691   <-   072
469079   ->   039
469717   <-   059
470186   ->   041
470824   <-   059
471271   ->   038
472021   <-   068
473876   ->   047
474428   <-   041
475111   ->   066
475501   <-   047
476096   ->   071
476480   <-   048
