Data:          2021-10-02_09_09_53
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        18

martinha:      06623 pontos / 105 golpes / 56.23 km/h
soro:          08178 pontos / 113 golpes / 60.28 km/h

Parcial:       14801 pontos
Desequilibrio: 00000 (-)
Quedas:        05773 (-)

FINAL:         09028 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
190340   <-   060
191406   <-   061
191975   ->   041
192366   <-   061
192877   ->   046
193257   <-   055


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
220945   <-   049
221508   ->   042
221972   <-   065
222442   ->   040
222912   <-   067
223337   ->   041
223847   <-   039
224446   ->   041
225003   <-   064
227006   ->   037
227526   <-   040
228203   ->   044
228713   <-   061
229227   ->   039
229698   <-   063
230125   ->   046
230549   <-   062
231223   ->   044
231430   <-   060
231943   ->   045
232323   <-   060
232753   ->   045
233212   <-   063
233680   ->   040
234135   <-   063
234606   ->   043
235031   <-   057
235523   ->   046
235942   <-   058
236418   ->   038
236994   <-   064
237428   ->   041
237912   <-   061
238336   ->   042
238847   <-   065
239238   ->   041
242797   <-   064
243219   ->   042
243688   <-   063
244126   ->   046
244545   <-   065
244975   ->   045
245463   <-   060
245842   ->   040
246446   <-   056
246909   ->   044
247374   <-   063
247742   ->   044
248258   <-   061
248980   ->   036
249277   <-   061
249745   ->   042
250221   <-   061
250879   ->   043
251137   <-   062
251569   ->   035
252176   <-   060
252657   ->   044
253075   <-   063
253675   ->   038
254068   <-   062
254443   ->   044
254973   <-   057
255442   ->   040
256882   ->   036
258381   ->   047
258898   <-   037
259518   ->   054
259986   <-   041
260586   ->   056
261952   ->   040
262522   <-   038
263126   ->   047
263636   <-   036
264299   ->   063
265471   ->   052
265936   <-   037
266643   ->   054


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
283506   ->   053
283885   <-   042
284480   ->   053
285116   <-   040
285505   ->   056
286600   ->   045
287108   <-   035
287818   ->   056


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
294207   ->   057
295267   ->   061
295871   <-   042
296209   ->   063
297344   ->   045
298560   ->   056
300248   <-   036
300944   ->   059
301350   <-   038
302000   ->   049
302377   <-   039
303066   ->   051
303451   <-   035
304127   ->   049
305211   ->   052
306449   ->   041
307947   ->   038
309469   ->   052
309937   <-   040
310616   ->   052
312536   <-   064
313640   <-   062
314067   ->   042
314558   <-   058
315006   ->   043
315478   <-   059
315907   ->   040
316465   <-   061
316918   ->   045
317314   <-   060
317825   ->   041
318253   <-   062
318674   ->   043
319143   <-   057
319874   ->   038
320083   <-   058
320509   ->   041
321071   <-   058
321498   ->   039
321991   <-   064
322371   ->   036
323008   <-   055
323502   ->   041
323968   <-   064
324397   ->   045
324866   <-   064
325300   ->   041
325804   <-   063
326183   ->   036
326770   <-   061
327959   <-   062
328637   ->   041
328832   <-   066


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
341402   ->   053
341830   <-   038
342449   ->   057
342868   <-   040
343471   ->   057
346034   ->   058
347211   ->   060
347543   <-   042
348141   ->   060
348527   <-   047
349115   ->   044
349675   <-   039
350273   ->   057


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
367382   ->   052
368495   ->   060
368876   <-   046
369477   ->   057


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
379283   ->   055
379933   <-   041
380286   ->   057
380632   <-   042
381225   ->   054
381569   <-   043
382209   ->   054
382591   <-   046
383170   ->   050
383786   <-   036
384302   ->   055
384665   <-   041
385238   ->   054
385705   <-   039
386214   ->   061
386643   <-   039
387271   ->   051
387645   <-   039
388268   ->   059
388610   <-   043
389208   ->   044
390401   ->   046
391783   ->   052
392213   <-   042
392809   ->   049
393919   ->   048
394347   <-   040
394984   ->   056
395351   <-   041
395987   ->   060
396332   <-   043
396977   ->   060
397363   <-   042
397954   ->   044
399311   ->   047
400575   ->   052
401005   <-   039
401554   ->   042
402804   ->   059
403141   <-   047
403711   ->   048


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
425603   ->   053
426734   ->   058
427454   <-   038
427803   ->   052
428993   ->   055
429373   <-   046
430013   ->   057


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
444419   ->   058
445609   ->   054
446297   <-   038
446613   ->   060
447238   <-   041
447574   ->   053
448513   ->   049
448980   <-   038
449616   ->   053
449968   <-   039
450579   ->   055
451006   <-   043
451627   ->   053
452011   <-   042
452572   ->   039
453779   ->   053
454171   <-   046
454725   ->   041
455959   <-   000


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
468992   ->   055
469375   <-   045
469715   <-   038
469995   ->   057
471081   ->   053
471977   ->   058
472642   <-   038
472980   ->   059
473306   <-   046
473965   ->   057
474604   <-   035
474975   ->   055
475346   <-   039
476010   ->   059
476569   <-   037
477037   ->   059
478061   ->   054
478403   <-   037
479019   ->   057
479401   <-   040
480019   ->   058
480536   <-   038
480937   ->   047
481447   <-   038
482110   ->   056
482452   <-   042


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
505685   <-   056


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
527540   ->   046
527957   <-   060
530282   <-   061
531412   <-   057
533884   ->   042
534104   <-   058
535174   <-   064
535694   ->   044
536023   <-   055
536495   ->   044
538456   <-   060
539393   <-   064
539841   ->   045
540229   <-   063
540906   ->   038
541165   <-   064
541546   ->   046
542104   <-   050
543786   ->   037
544383   <-   053
545496   <-   061
545876   ->   037


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---
574185   ->   055
575379   ->   042
576686   ->   058
577249   <-   038
577683   ->   045
578093   <-   037
