Data:          2021-10-02_09_33_04
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        7

iziele:        08058 pontos / 107 golpes / 61.33 km/h
chemerson:     08103 pontos / 099 golpes / 63.69 km/h

Parcial:       16161 pontos
Desequilibrio: 00000 (-)
Quedas:        00970 (-)

FINAL:         15191 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
006125   ->   058
006595   <-   047
007255   ->   057
007685   <-   047
008281   ->   059
008705   <-   047
009345   ->   058
009775   <-   054
010410   ->   058
010840   <-   050
011375   ->   072
011800   <-   043
012482   ->   067
012870   <-   048
013440   ->   067
013870   <-   048
014471   ->   067
014895   <-   041
015600   ->   071


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
026200   ->   056
026670   <-   044
027330   ->   061
027758   <-   048
028440   ->   056
028955   <-   049
029505   ->   054
030020   <-   039
030765   ->   053
031235   <-   047
031830   ->   063
032295   <-   043
032985   ->   058
033455   <-   046
034070   ->   056
034540   <-   048
035140   ->   062
035615   <-   044
036250   ->   055
036735   <-   044
037359   ->   064
037785   <-   046
038400   ->   065
038830   <-   043
039492   ->   063
039960   <-   041
040670   ->   066
041090   <-   043
041732   ->   060
042200   <-   041
042925   ->   047
043520   <-   040
044270   ->   059
044740   <-   041
047490   ->   039
048195   <-   044
048750   ->   039
049470   <-   059
049905   ->   044
050570   <-   065
051030   ->   042
051630   <-   064
052100   ->   041
053465   ->   041
054150   <-   062
054570   ->   044
055215   <-   065
055665   ->   044
056259   <-   060
056773   ->   045
057371   <-   065
057795   ->   037
058520   <-   071
058945   ->   038
061185   <-   037
061845   ->   042
062470   <-   069
062895   ->   045
063490   <-   041
064170   ->   038
064815   <-   038
065495   ->   044
066130   <-   064
066560   ->   042
067200   <-   070
067605   ->   047
068205   <-   075
069426   <-   054
069935   ->   046
070530   <-   069
070920   ->   041
071600   <-   070
072065   ->   040
072710   <-   038
074860   ->   041
075485   <-   038
078040   ->   060
078509   <-   046
079190   ->   062
079620   <-   039
080340   ->   064
080775   <-   044
081435   ->   066
081855   <-   041
082580   ->   061
083865   ->   040
084545   <-   064
084975   ->   038
086570   ->   046
087215   <-   067
087640   ->   040
088405   <-   042
088965   ->   041
089560   <-   062
090030   ->   040
090715   <-   066
091140   ->   043
091738   <-   060
092205   ->   047
095126   ->   057
095640   <-   038
096450   ->   069
096835   <-   045
097535   ->   072
097905   <-   047
098626   ->   061
099098   <-   046
099740   ->   067
102380   <-   045
105595   <-   036
106205   ->   047
106800   <-   053
107355   ->   039
107990   <-   067
109185   <-   057
109700   ->   042
110340   <-   061
110805   ->   039
111490   <-   041
113220   <-   067
113605   ->   041
114435   <-   038
115180   ->   052
115715   <-   070
116185   ->   036
116868   <-   070
117295   ->   047
117825   <-   042
118551   ->   048
120875   <-   044
