Data:          2021-10-02_10_05_46
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        19

magali:        09478 pontos / 118 golpes / 63.38 km/h
nunes:         12559 pontos / 146 golpes / 64.89 km/h

Parcial:       22037 pontos
Desequilibrio: 00238 (-)
Quedas:        09156 (-)

FINAL:         12643 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
084175   ->   062
084642   <-   050
085290   ->   065
085683   <-   042
086274   ->   044
086821   <-   047
087560   ->   068
088232   <-   043
088698   ->   066
089041   <-   055
089702   ->   059
090135   <-   056
090736   ->   056
091214   <-   047
091981   ->   067
092368   <-   053
093051   ->   062
093479   <-   051
094117   ->   045
094655   <-   039
095468   ->   061
095898   <-   052
096479   ->   065
096913   <-   049
097511   ->   065
098838   ->   068
099219   <-   051
099814   ->   054
100348   <-   045
101174   ->   067
101763   <-   043
102975   <-   046
103471   ->   037
104233   <-   042
104830   ->   062
105208   <-   049
105819   ->   039
106496   <-   041
107212   ->   064
107646   <-   047
108245   ->   064
108709   <-   048
109333   ->   066
109819   <-   043
110549   ->   065
110979   <-   052
111531   ->   066
111977   <-   042
112685   ->   060
113170   <-   048
113806   ->   062
114284   <-   050
114875   ->   063
115339   <-   049
116012   ->   068
116434   <-   048
117073   ->   066
117501   <-   047
118144   ->   065
118591   <-   046
119232   ->   067
119665   <-   053
120274   ->   067
120715   <-   046
121385   ->   044
122772   ->   038
123511   <-   052
124108   ->   040
124773   <-   074
125199   ->   039
125973   <-   069
126419   ->   041
127065   <-   045
127718   ->   038
128529   <-   047
129264   ->   037
130024   <-   077
130430   ->   037
131266   <-   076
131646   ->   042
132309   <-   040
133071   ->   037
133838   <-   070
134312   ->   044
134906   <-   077
135297   ->   044
135986   <-   058
136536   ->   038
137276   <-   071
137793   ->   046


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
152270   ->   062
152724   <-   048
153402   ->   064
153834   <-   044
154556   ->   060


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---


SEQUÊNCIA 04
============

