Data:          2021-10-02_10_20_38
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      4
Quedas:        16

diana:         07337 pontos / 093 golpes / 62.90 km/h
diego:         06914 pontos / 086 golpes / 63.19 km/h

Parcial:       14251 pontos
Desequilibrio: 00000 (-)
Quedas:        04703 (-)

FINAL:         09548 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
170406   ->   059
170853   <-   045
171560   ->   063
172235   <-   042
172585   ->   061
173306   <-   042
173651   ->   066
174070   <-   045
174745   ->   062
175482   <-   043
175825   ->   066
176206   <-   048
176914   ->   065
177287   <-   044
178005   ->   066
178347   <-   043
179108   ->   063
179518   <-   049
180204   ->   066
180583   <-   045
181354   ->   037
182116   <-   051
182569   ->   042
183236   <-   067
183659   ->   045
184306   <-   051
185040   ->   043
185466   <-   067
186083   ->   041
186567   <-   070
187201   ->   047
187538   <-   052
188133   ->   044
188710   <-   042
189703   ->   036
190117   <-   057
194465   ->   065
194873   <-   037


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
209192   ->   046
210787   ->   054
211265   <-   038
213761   ->   063
214184   <-   042
214906   ->   067
215304   <-   045
216069   ->   066
216485   <-   042
217208   ->   067
217614   <-   050
218363   ->   066
218744   <-   045
219388   ->   064
219823   <-   048
220580   ->   060
220967   <-   045
221696   ->   062
222101   <-   048
222828   ->   067
223203   <-   043
225913   ->   041
226509   <-   074
226935   ->   039


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
245002   <-   063
245333   ->   042
246101   <-   057
247485   <-   047
247654   ->   042
248403   <-   060
249078   ->   046
249490   <-   071
250087   ->   045
250557   <-   066
251026   ->   047
251622   <-   060
255205   ->   044
255851   <-   054
256598   ->   048
256972   <-   074
257403   ->   048
258004   <-   065
258635   ->   047
259040   <-   071
259471   ->   045
260058   <-   042
260739   ->   037
261463   <-   044
262185   ->   039
262820   <-   066
263254   ->   043
264071   <-   062
264617   ->   047
265130   <-   066
265549   ->   041


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
286885   ->   058
287737   <-   036
288060   ->   048
288909   <-   038
289475   ->   061
289887   <-   044
290570   ->   068
291082   <-   042
291712   ->   059
292138   <-   044
292773   ->   065
293284   <-   044
294072   ->   065
294505   <-   042
295172   ->   065
295800   <-   036
296403   ->   042
297711   ->   044
298171   <-   068


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
319296   <-   064


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
332840   ->   059
333269   <-   047
333990   ->   067
334377   <-   043
335080   ->   068
335786   <-   040
336172   ->   054
336598   <-   045
337360   ->   064
337742   <-   049
340524   ->   040
342068   ->   064
342409   <-   047
343104   ->   056
344486   ->   038
344998   <-   057
345641   ->   045
346024   <-   066
347346   <-   045
349200   <-   058
350009   ->   039
351031   ->   048
351357   <-   073
351867   ->   044
352401   <-   049
353298   ->   040
353728   <-   066


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
376597   <-   070
377191   ->   046
377611   <-   052
378337   ->   046
378793   <-   069
379173   ->   045
380177   ->   041
380804   <-   036
381603   ->   039
382244   <-   057
382758   ->   044
383447   <-   067
383960   ->   039
384511   <-   037
385245   ->   039
385960   <-   071
386472   ->   045
387083   <-   073
387731   ->   040
388676   ->   042
389799   ->   044
392018   <-   045
392659   ->   039
393300   <-   067
395318   ->   068
395734   <-   047
396380   ->   065


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
415515   ->   046
415937   <-   065
416364   ->   042
416973   <-   073
417407   ->   043
419519   <-   068
420172   ->   045
420564   <-   062
421162   ->   047
421541   <-   058
422278   ->   044
422611   <-   049
424634   <-   044
427051   ->   055
427513   <-   041
428202   ->   064
