Data:          2021-10-02_10_35_46
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        20

alcir:         02707 pontos / 047 golpes / 53.61 km/h
vania:         05516 pontos / 090 golpes / 55.34 km/h

Parcial:       08223 pontos
Desequilibrio: 01997 (-)
Quedas:        02802 (-)

FINAL:         03424 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
016355   ->   045
016981   <-   054
017340   ->   041
017973   <-   055
018486   ->   039
019038   <-   054
019512   ->   045
019977   <-   058


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
028601   <-   048
029196   ->   040
029837   <-   052
030269   ->   050
030772   <-   052
031227   ->   051
031659   <-   059
032163   ->   051
032655   <-   060
033890   <-   062
034311   ->   042
034805   <-   051
036386   <-   056
036896   ->   051
037410   <-   046
037925   ->   036
038522   <-   040
040006   <-   041
041424   <-   049
041892   ->   054
042278   <-   047
042840   ->   045
043239   <-   041
043832   ->   043
044432   <-   048
044916   ->   050
045413   <-   065
047955   <-   050
049605   <-   048
050105   ->   045
050662   <-   037
051403   ->   050
051835   <-   054
053117   <-   051
053623   ->   050
054032   <-   045
054539   ->   044
055105   <-   054
056413   <-   041
057176   ->   055
057596   <-   047
058087   ->   043
058620   <-   050
059144   ->   052
059573   <-   048
060117   ->   037


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
072122   <-   055
072582   ->   051
073011   <-   053
074297   <-   056
074729   ->   047
075170   <-   044
075798   ->   052
076302   <-   052
076666   ->   049
077217   <-   054
077713   ->   048
078191   <-   063
078867   ->   035
079157   <-   061
079796   ->   040
080170   <-   050
081831   ->   046
082340   <-   047
082841   ->   042
083340   <-   045
084065   ->   045
084540   <-   045
085154   ->   050
085582   <-   046
086180   ->   054
086602   <-   040
088097   <-   049
089310   <-   047
090615   <-   045
091193   ->   052
091619   <-   056
092067   ->   042


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
100668   <-   056
101178   ->   040
101812   <-   040
102373   ->   051
102773   <-   048
103351   ->   038
103853   <-   044
105505   <-   048
105956   ->   045


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
114986   <-   058
115491   ->   037
116147   <-   054
117249   <-   060
117584   ->   042
118184   <-   049
118648   ->   050
119164   <-   061
119710   ->   044
120100   <-   060
120413   ->   048
120896   <-   061
121974   <-   058
122618   ->   042
123015   <-   042
124089   <-   056
124811   ->   039
125216   <-   038
126369   <-   046
126926   ->   052
127337   <-   050
127850   ->   042
128443   <-   043
129602   <-   043
130872   <-   039
131571   ->   055
131968   <-   057
132454   ->   048
132918   <-   039
133582   ->   038
134221   <-   042
134866   ->   042
135248   <-   057
136481   <-   045
137084   ->   037
137610   <-   045
138240   ->   040
138789   <-   041
139466   ->   036
139984   <-   055
140499   ->   051
141002   <-   042
141453   ->   037
142053   <-   049
142505   ->   041
143072   <-   052
143585   ->   052
144035   <-   039


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
153466   ->   045
154072   <-   051
154423   ->   039
156403   <-   054
156793   ->   048
157268   <-   056
157736   ->   038


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
168016   <-   051
168569   ->   048
169000   <-   053
169507   ->   040
170071   <-   057
170485   ->   046
171037   <-   050
172067   <-   052
172504   ->   039
173140   <-   046
173569   ->   037


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
181199   <-   060
181708   ->   051
182172   <-   039
183522   <-   047
183952   ->   043
184669   <-   048


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
201234   ->   045
201778   <-   055
202215   ->   046
202753   <-   043
203903   <-   052
207593   <-   042
208100   ->   037
208652   <-   052
209184   ->   051
209566   <-   057
209992   ->   042


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
215112   <-   055
215645   ->   046
216116   <-   050
216604   ->   048
217122   <-   045


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
227300   <-   063
227778   ->   048
228215   <-   051
228843   ->   050
229332   <-   055
229669   ->   047
231780   <-   061
232165   ->   048
232564   <-   048
233124   ->   046
233572   <-   066
234209   ->   045
234424   <-   058
235573   <-   050
236025   ->   047
236495   <-   044
237171   ->   042
237517   <-   056
237973   ->   038
238568   <-   062
238987   ->   049


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
248257   <-   054
248528   ->   051
248910   <-   051
249440   ->   051
249891   <-   041
250450   ->   057
250803   <-   044
251445   ->   042
253261   ->   041
253799   <-   051


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---
264528   <-   048
264927   ->   038
265590   <-   057
265970   ->   044
266535   <-   052
267197   ->   039
267537   <-   057
267978   ->   045
268448   <-   048
268970   ->   042
269387   <-   050
270108   ->   044
270501   <-   051
270963   ->   051
271393   <-   060
271883   ->   050
273844   <-   050
274466   ->   041
274933   <-   052
275316   ->   039
275962   <-   044
276386   ->   054
276901   <-   035
277499   ->   059
277853   <-   059


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
284664   ->   046
285151   <-   062
286520   <-   042
287088   ->   050
287476   <-   049
288043   ->   039
288643   <-   047
289075   ->   061
289374   <-   048
290036   ->   061
291194   ->   038
291671   <-   052
292217   ->   061
292599   <-   050
293147   ->   037
293669   <-   054
294203   ->   045
294674   <-   044
295239   ->   039
295837   <-   070
297014   <-   039
297654   ->   037


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
306669   <-   052
307187   ->   037
307858   <-   054
308498   ->   037
308987   <-   044
309532   ->   045
310046   <-   042


SEQUÊNCIA 16
============

TEMPO   DIR   KMH
-----   ---   ---
317470   <-   055
317996   ->   050
318441   <-   055
319619   <-   063


SEQUÊNCIA 17
============

TEMPO   DIR   KMH
-----   ---   ---
387752   ->   047
388265   <-   057


SEQUÊNCIA 18
============

TEMPO   DIR   KMH
-----   ---   ---
396362   <-   059
396874   ->   044
397461   <-   042
398002   ->   054
398531   <-   049
399526   <-   044
401058   <-   048
402838   ->   037
403322   <-   043
403926   ->   051
404287   <-   054
405577   <-   037
406133   ->   064
408293   <-   058
408829   ->   049
409252   <-   042
409973   ->   045
410421   <-   043
411743   <-   045
412233   ->   040
412872   <-   049
413976   <-   044
416072   ->   056
416488   <-   045
417061   ->   048
417482   <-   048
418017   ->   058
420746   <-   036
421450   ->   060
421999   <-   044
422498   ->   055
422861   <-   053
423390   ->   058
423803   <-   039
424437   ->   042
425036   <-   045
425590   ->   060
425969   <-   051
426486   ->   059
426833   <-   053
427402   ->   064


SEQUÊNCIA 19
============

TEMPO   DIR   KMH
-----   ---   ---
439005   <-   056
439459   ->   039
439933   <-   043
440604   ->   039
441228   <-   062


SEQUÊNCIA 20
============

TEMPO   DIR   KMH
-----   ---   ---
459997   ->   048
460509   <-   058
461033   ->   043
461561   <-   046
462369   ->   036
463434   ->   053
463776   <-   056



