Data:          2021-10-02_11_39_41
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        20

rangel:        06094 pontos / 075 golpes / 63.70 km/h
marly:         05236 pontos / 081 golpes / 56.92 km/h

Parcial:       11330 pontos
Desequilibrio: 00000 (-)
Quedas:        05099 (-)

FINAL:         06231 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
071290   <-   051
071800   ->   043
072565   <-   054
072950   ->   039
073695   <-   037
074530   ->   036
074895   <-   039
075660   ->   041
076170   <-   060
076730   ->   048
077110   <-   055
077685   ->   042
078205   <-   055
078715   ->   047
079228   <-   059
079740   ->   037
081165   ->   039
081675   <-   060
082190   ->   044
082745   <-   058
083215   ->   037
084835   ->   038
085430   <-   042
086160   ->   062
086535   <-   039
087225   ->   067
088335   ->   069
088720   <-   045
089355   ->   067
089740   <-   039
090464   ->   067


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
103635   <-   052
105096   ->   045
105568   <-   057
106890   <-   041
107445   ->   039
108093   <-   060
109390   <-   054
109900   ->   046
110395   <-   055
110905   ->   047
111390   <-   061
111865   ->   044
112370   <-   052
112975   ->   038
113680   <-   051
114275   ->   045
114745   <-   048
116920   ->   042
117470   <-   040
118160   ->   058
118520   <-   041
119200   ->   071
119545   <-   045
120184   ->   064
120550   <-   041
121255   ->   069
121600   <-   041
122255   ->   067
122635   <-   041
123300   ->   071
123686   <-   040
124325   ->   068
124753   <-   038
125691   ->   057
126715   ->   038
127440   <-   039
128165   ->   064
128548   <-   044
129190   ->   067
129570   <-   041
130210   ->   061
130620   <-   039
131325   ->   035
133010   ->   037
133442   <-   058
133940   ->   041
134900   <-   051
135285   ->   042
135670   <-   060


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
150220   ->   047
150650   <-   051
151330   ->   042
151910   <-   054
152500   ->   039
153020   <-   057
153530   ->   047
154065   <-   058
156615   <-   061
157095   ->   041
157690   <-   060
158115   ->   046


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
173175   ->   045


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
182020   <-   055
182545   ->   047
183570   ->   046
184500   ->   047
185020   <-   058
185910   <-   064
186980   <-   061
188645   ->   045
188900   <-   060
189410   ->   044
190520   ->   048
190950   <-   057
191505   ->   043
192100   <-   048


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
213520   <-   061
214070   ->   048
214587   <-   056
215244   ->   045
215546   <-   054
216055   ->   043
216630   <-   050
217145   ->   044
217698   <-   056
218255   ->   045
218687   <-   062
219195   ->   044
219770   <-   054
223335   <-   041
224080   ->   060
224505   <-   041
225165   ->   057
227060   ->   049
228538   ->   055


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
238545   <-   053
239060   ->   049
239480   <-   063
240035   ->   047
240530   <-   059
241017   ->   045
241550   <-   057
242017   ->   050
242445   <-   057
243000   ->   043
243465   <-   055
244030   ->   045
244520   <-   058
245050   ->   036
246500   ->   038
247095   <-   059
247565   ->   045
248080   <-   057
248630   ->   046
249125   <-   059
249510   ->   045
250145   <-   044
250915   ->   042


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
265975   ->   063
266358   <-   043
267000   ->   068
267475   <-   040
268095   ->   055
268475   <-   039
269175   ->   067
269520   <-   047
270160   ->   063
270540   <-   044
271225   ->   050
271565   <-   043
272290   ->   058
272635   <-   045
273230   ->   061
273615   <-   039


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
287505   ->   063
287845   <-   045
288468   ->   065
288972   <-   040
289470   ->   066
290597   ->   055
290935   <-   043
291660   ->   059
292065   <-   040
292705   ->   063
293095   <-   041
294395   <-   039
295120   ->   043
295585   <-   053
296095   ->   047
296610   <-   053
297125   ->   038
297805   <-   061
298295   ->   043
298790   <-   059
299300   ->   046
299770   <-   060
300215   ->   046
300725   <-   059
301200   ->   044
303740   <-   041
304510   ->   066
304850   <-   045
307320   ->   039
307920   <-   042
308645   ->   065
309005   <-   039
309690   ->   060
310075   <-   041
310707   ->   067
311990   ->   047
312505   <-   041
314000   <-   054
318335   ->   058
319440   ->   062


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
336800   ->   067
337145   <-   045
337760   ->   065
338145   <-   047
338768   ->   065


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
352550   ->   064
353014   <-   037
353615   ->   042
354125   <-   039
354850   ->   067
355195   <-   039
355875   ->   036
356495   <-   040
357175   ->   036
358545   ->   067
358885   <-   042
360270   <-   040
360995   ->   071
361335   <-   044
361975   ->   073


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
374760   ->   067
375142   <-   044
375761   ->   070
376060   <-   052
376677   ->   066


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
404490   <-   055
404920   ->   046
405525   <-   055
405942   ->   045
406545   <-   054


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
416315   <-   054
416950   ->   045
417465   <-   059
418362   <-   061
418790   ->   036
419515   <-   061
419965   ->   048
420457   <-   061
420922   ->   047
421350   <-   062
421905   ->   044
422415   <-   057
422845   ->   041
424485   ->   046
425040   <-   042
425725   ->   073
426100   <-   039
426870   ->   068
427255   <-   047
427857   ->   072
428180   <-   047
428815   ->   071
429130   <-   044
429775   ->   072
430095   <-   047
430720   ->   075
431055   <-   047
431630   ->   060
432010   <-   047
432650   ->   074
435235   ->   035
436240   <-   045
436580   ->   038
437215   <-   059


SEQUÊNCIA 16
============

TEMPO   DIR   KMH
-----   ---   ---
566645   <-   054
567160   ->   048
567610   <-   058


SEQUÊNCIA 17
============

TEMPO   DIR   KMH
-----   ---   ---
576975   <-   056
577445   ->   043
578085   <-   047


SEQUÊNCIA 18
============

TEMPO   DIR   KMH
-----   ---   ---
592336   ->   066
592720   <-   047
593316   ->   065
593657   <-   048
594256   ->   058
594599   <-   044
595280   ->   042
595960   <-   040
596560   ->   059
596905   <-   052
597535   ->   060
597880   <-   040
598625   ->   050
599265   <-   036
599950   ->   037
601525   ->   040
602015   <-   062
602535   ->   048
603020   <-   062
603450   ->   039
604136   <-   061


SEQUÊNCIA 19
============

TEMPO   DIR   KMH
-----   ---   ---
621928   <-   055
622353   ->   049
622950   <-   053
623740   ->   035
624165   <-   058
624635   ->   042
625740   ->   041
626385   <-   058
627450   <-   051
628026   ->   040
628665   <-   060
629133   ->   048
629605   <-   063
630114   ->   047
630537   <-   058
631035   ->   041
632465   ->   039
633085   <-   038
633807   ->   037
634514   <-   061
635065   ->   047
635490   <-   055
636045   ->   048
636475   <-   056
637710   <-   037
638645   ->   047
639120   <-   041
641400   ->   038
645435   <-   042
646175   ->   059
646520   <-   039
647210   ->   062
647585   <-   042
648245   ->   062
648635   <-   038
650040   <-   044
650790   ->   068
655330   <-   036
656140   ->   054


SEQUÊNCIA 20
============

TEMPO   DIR   KMH
-----   ---   ---
673785   ->   066
674917   ->   060
675535   <-   044
675895   ->   065
676240   <-   052
676880   ->   035
678925   <-   038
679550   ->   038
681085   ->   038
681680   <-   042
682450   ->   061
682830   <-   047
683427   ->   064
683835   <-   045
684431   ->   063
684773   <-   038
685500   ->   066
690590   ->   059
692605   <-   037
693300   ->   041
694757   ->   064
696080   ->   054
696460   <-   044
697100   ->   062
697530   <-   045
698065   ->   061
698450   <-   042
699065   ->   040



