Data:          2021-10-02_12_19_42
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      30
Quedas:        15

jean:          09746 pontos / 145 golpes / 57.96 km/h
dani:          08379 pontos / 142 golpes / 54.36 km/h

Parcial:       18125 pontos
Desequilibrio: 00000 (-)
Quedas:        05438 (-)

FINAL:         12687 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
102498   <-   050
103517   <-   053
103771   ->   057
104455   <-   055
104631   ->   048
105268   <-   039


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
114957   <-   049
115169   ->   053
115771   <-   050
116188   ->   058
116783   <-   047
117167   ->   050
117974   <-   056
118198   ->   052
118771   <-   052
119277   ->   058
119875   <-   052
120202   ->   057
121165   ->   054
121799   <-   050
122140   ->   061
122700   <-   051
124151   <-   048
124977   ->   056
125322   <-   054
125483   ->   058
125775   <-   051
125933   ->   040
126670   <-   053
127043   ->   049
127733   <-   056
128070   ->   049
128877   <-   055
129096   ->   046
129821   <-   050
131171   ->   042
131889   <-   052
132189   ->   060


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
142898   <-   052
143625   <-   054
144100   ->   039
145033   <-   052
145306   ->   060
147011   <-   051
147888   <-   050
148869   <-   055
149128   ->   059
149808   <-   053
150879   <-   045
151096   ->   049
151859   <-   057
152074   ->   058
152754   <-   053
153073   ->   060
153583   <-   055
153937   ->   051
154697   <-   046
155014   ->   054
155440   <-   057
156083   ->   039
156683   <-   056
157872   <-   040
158170   ->   047
159026   <-   054
159280   ->   057
159973   <-   050
160222   ->   035
161062   <-   055
161435   ->   056
162120   <-   057
162376   ->   049
162969   <-   060
163422   ->   050
164071   <-   046
164567   ->   043
165135   <-   040
165907   ->   038
166575   <-   058
167070   ->   047
167795   <-   060
168112   ->   057
169270   ->   051
169609   <-   057
170073   ->   046
170889   <-   057
171154   ->   063
171703   <-   051
172079   ->   063


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
194659   <-   049
194911   ->   051
195938   ->   047
196689   <-   055
196974   ->   057


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
211390   <-   053
212168   <-   051
215008   <-   051
215812   <-   050
216241   ->   051
216933   <-   050
217504   ->   048
218135   <-   041
220022   ->   040
220599   <-   054
221534   <-   051
222301   <-   056
222683   ->   061
223132   <-   049
223675   ->   042
224563   <-   054
224820   ->   055
225503   <-   054
227972   ->   066
228530   <-   049
229580   <-   050
229788   ->   047
230637   <-   055
230812   ->   047
231453   <-   039
233102   <-   057
233345   ->   043
233943   <-   038
236909   <-   059
237337   ->   058
237903   <-   055
238236   ->   061
239705   ->   058
240178   <-   042
240968   <-   037


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
261832   <-   051
262856   <-   050
263067   ->   048
263834   <-   044
265539   ->   047
267295   ->   035
268958   <-   059
269428   ->   046
270199   <-   051
271482   <-   037
271905   ->   065
272370   <-   043
272991   ->   051
273539   <-   056
273946   ->   064
274420   <-   054
274843   ->   046
275568   <-   045
276488   <-   052
276787   ->   061
277211   <-   052
278690   <-   052
279154   ->   061
279450   <-   054
280005   ->   064
280644   <-   051
280988   ->   049
281510   <-   036
283248   <-   056
283595   ->   060
284273   <-   047
284689   ->   048
285074   <-   055
286501   ->   038
287216   <-   062
287703   ->   057
288175   <-   047
288820   ->   042
289463   <-   061
289944   ->   044
290671   ->   038


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
304454   <-   048
305177   <-   051
307040   ->   055
307593   <-   054
309234   ->   037
309615   <-   041
310600   ->   040
311115   <-   051
311418   ->   046
311926   <-   044
312522   ->   042
314705   <-   054
315205   ->   051
315766   <-   056
316277   ->   054
316726   <-   053
317830   <-   051
318200   ->   055
318792   <-   045
319262   ->   064
319812   <-   045
320772   <-   045
321172   ->   069
322292   ->   062
322672   <-   049
323376   ->   041
323953   <-   061


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
345944   <-   045
346292   ->   059
347020   <-   048
347268   ->   039
348723   ->   042
349662   <-   047
351158   ->   049
351875   <-   051
352184   ->   056
352955   <-   038
353331   ->   045
354016   <-   057
354307   ->   062
354951   <-   047
355268   ->   062
356000   <-   050
356207   ->   040
357108   <-   048
357434   ->   064
357959   <-   054
359045   <-   047
359268   ->   052
359945   <-   057
360946   <-   049
361870   <-   053
362203   ->   051
362671   <-   056
363641   <-   052
364190   ->   064
364787   <-   054
365727   <-   048
365979   ->   063
366409   <-   048
367433   <-   052
367971   ->   063
368519   <-   043
369030   ->   035


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
396877   ->   058
397963   ->   053
398519   <-   038
398982   ->   065
399451   <-   036
400031   ->   044
405271   <-   037
405571   ->   064
406042   <-   036
407163   <-   036
408755   ->   055
409795   ->   058
414344   <-   037
415004   ->   060
415471   <-   038
416005   ->   063
416977   ->   045
417500   <-   036
418228   ->   051
418608   <-   036
419295   ->   058
422198   <-   039
422967   ->   041
424198   ->   065


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
525740   ->   060
526038   <-   044
526683   ->   061
527748   ->   051
528133   <-   044
528801   ->   058
529781   ->   061
530887   ->   065
531231   <-   035
531996   ->   040
532598   <-   037
533147   ->   062


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
543305   ->   060
543735   <-   038
544243   ->   064
544537   <-   042
545176   ->   056
545565   <-   041
546163   ->   063
546474   <-   041
547131   ->   060
547443   <-   039
548062   ->   057
549266   ->   045
550509   ->   045
551706   ->   058
552049   <-   037
552709   ->   063
553008   <-   045
553669   ->   047
554183   <-   036
554804   ->   044
555483   <-   036
556297   ->   038
556804   <-   036
557494   ->   064
558639   ->   060
558990   <-   038
559644   ->   062
559991   <-   039
560635   ->   052
561840   ->   065
562142   <-   040
562756   ->   060
563100   <-   039
563720   ->   068
564021   <-   039
564658   ->   065
564981   <-   035
565619   ->   041
567110   ->   060
567459   <-   037
568120   ->   059
568500   <-   036
569167   ->   066
570177   ->   058
571248   ->   045


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
592632   <-   050
593175   ->   058
593498   <-   053
594099   ->   057
594479   <-   049
595032   ->   056
595464   <-   052
595976   ->   040
596701   <-   041
597323   ->   061
597706   <-   048
598262   ->   052
599003   <-   052
599937   <-   044
600539   ->   062
600877   <-   054
601376   ->   052
601837   <-   047
602618   ->   040
604189   ->   061
604570   <-   049
605165   ->   065
605470   <-   055
606003   ->   042
606619   <-   056
607133   ->   057
607520   <-   049
608041   ->   045
608581   <-   053
609137   ->   055
609524   <-   045
610165   ->   054
610551   <-   049
611143   ->   061
611528   <-   045
612166   ->   055
612555   <-   051
613067   ->   064
613443   <-   049
613980   ->   066
614323   <-   056
614831   ->   047
615407   <-   058
615934   ->   056


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---
632884   <-   057
633348   ->   055
633813   <-   057
634291   ->   041
634884   <-   040
635529   ->   057
635907   <-   052
636400   ->   057
636832   <-   053
637337   ->   055
637771   <-   055
638234   ->   055


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
652259   <-   056
652809   ->   057
653239   <-   058
653667   ->   053
654170   <-   051
654965   ->   044
655220   <-   056
655749   ->   043
656865   ->   060
657333   <-   052
657723   ->   047
658762   ->   061
659101   <-   052
660508   <-   059
660923   ->   050
661467   <-   057
662023   ->   053
662412   <-   040
663409   ->   044
663707   <-   056
664344   ->   048
664709   <-   057
665181   ->   054
665652   <-   063
666139   ->   057
666529   <-   066
666934   ->   052
667438   <-   058
667895   ->   050
668443   <-   059
668900   ->   053
669402   <-   054
669912   ->   045
670468   <-   064
670969   ->   055
671392   <-   057
671904   ->   059
672285   <-   062
672737   ->   048
673289   <-   060
673777   ->   062
674179   <-   050
674762   ->   060
675138   <-   060
675572   ->   055
676127   <-   038
676869   ->   050
677320   <-   051
680281   <-   060
683123   <-   039
683805   ->   053
684271   <-   053
684782   ->   041
685429   <-   051
685983   ->   057
686411   <-   054
686901   ->   063
687282   <-   052
687864   ->   052
688334   <-   059
688801   ->   052
689266   <-   058
689822   ->   059
690200   <-   052
690762   ->   061
691183   <-   053
691673   ->   054
692192   <-   056
692634   ->   048
693237   <-   056
693704   ->   055
694199   <-   046
697269   <-   060
697740   ->   039


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
741320   <-   045
741871   ->   051
742390   <-   050
742939   ->   061
743331   <-   043


SEQUÊNCIA 16
============

TEMPO   DIR   KMH
-----   ---   ---
750939   <-   048
751448   ->   050
751966   <-   047
752630   ->   043
753236   <-   049
753812   ->   045
754353   <-   053
754907   ->   054
755372   <-   055
755867   ->   054
756337   <-   048
756868   ->   041
757467   <-   051
758110   ->   065
758448   <-   050
759097   ->   062
759469   <-   054
760006   ->   050



