Data:          2021-10-02_12_44_29
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      10
Quedas:        20

fabio:         08381 pontos / 096 golpes / 65.98 km/h
joyce:         08968 pontos / 121 golpes / 60.80 km/h

Parcial:       17349 pontos
Desequilibrio: 00000 (-)
Quedas:        07808 (-)

FINAL:         09541 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
028968   <-   063
029434   ->   042
030075   <-   065
030522   ->   044
031035   <-   069
031412   ->   046
032010   <-   070
032363   ->   042
033043   <-   064
033474   ->   046
034005   <-   065


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
045835   <-   064
046265   ->   040
046947   <-   061
047335   ->   044
047971   <-   041
048734   ->   063
049040   <-   045
049703   ->   045
050338   <-   053
050846   ->   036
051605   <-   057
052152   ->   042
052709   <-   051
053324   ->   040
053923   <-   051
055035   <-   040
055760   ->   068
056102   <-   047
056713   ->   060
057182   <-   040
057871   ->   068
058193   <-   048
058795   ->   053
059276   <-   042
059873   ->   064
060277   <-   041
061006   ->   068
061390   <-   047
061991   ->   059
062410   <-   047


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
078390   <-   058
079881   <-   057
080401   ->   038
081042   <-   044
082313   <-   038
083003   ->   035
083725   <-   066
084149   ->   036
084872   <-   059
085306   ->   047
085968   <-   060
086438   ->   040
087073   <-   062


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
102157   <-   066
102634   ->   043
103223   <-   066
103738   ->   043
104294   <-   065
104634   ->   039
105231   <-   036
106742   <-   063
107082   ->   044
107728   <-   061
108171   ->   041
108810   <-   061
109279   ->   042
109878   <-   066
110354   ->   042
110972   <-   063
111441   ->   044
111991   <-   048


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
124198   <-   064
124648   ->   035
125407   <-   068
126942   <-   039
127542   ->   065
128309   <-   042
128570   ->   067
128905   <-   049
129530   ->   071
129868   <-   048
130469   ->   074
130810   <-   041
131915   <-   037


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
141922   <-   057
143011   <-   060
143521   ->   042
144118   <-   061
144505   ->   041
145145   <-   066
145568   ->   045
146129   <-   063


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
158157   <-   065
158691   ->   040
159247   <-   057
160354   <-   057
160908   ->   042
161535   <-   049
162041   ->   038
162727   <-   069
163152   ->   041
163749   <-   067
164171   ->   038
164912   <-   063
165405   ->   040
166037   <-   071
166474   ->   039
167103   <-   055
167696   ->   040
168295   <-   069
168763   ->   045
169280   <-   045


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
182800   <-   065
183224   ->   042
183866   <-   057
184293   ->   044
184846   <-   066
185246   ->   039
185932   <-   067
186406   ->   041
186975   <-   059
188262   <-   037
189030   ->   062
189475   <-   045
190115   ->   066
190457   <-   048
191139   ->   035
191801   <-   040
192462   ->   056
193765   ->   058
194188   <-   036
195318   ->   039
195836   <-   042
196559   ->   047
197240   <-   056
197797   ->   038
198404   <-   037
199202   ->   066
199545   <-   044
200268   ->   061
200953   <-   040
201375   ->   070
201772   <-   049
202405   ->   037
203108   <-   067
204557   <-   064
204981   ->   042


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
220275   <-   049
220963   ->   040
221513   <-   055
222074   ->   037
222674   <-   069
226533   <-   039
227212   ->   064
227580   <-   053
228174   ->   072
228568   <-   048
229154   ->   071
229540   <-   042
230267   ->   053
231822   ->   065
232231   <-   045
232850   ->   060
233362   <-   045
234064   ->   062
234486   <-   047
235168   ->   067
236461   ->   081
236769   <-   044
237460   ->   039
238148   <-   040
239820   <-   046
240166   ->   037
240948   <-   066
242468   <-   060
243894   <-   053
245623   <-   035
246348   ->   037
246879   <-   041
247569   ->   053
248110   <-   039
248887   ->   068
249298   <-   042
249894   ->   065
250315   <-   047
250957   ->   067
251344   <-   049
251877   ->   075
252259   <-   049
252856   ->   075
253243   <-   050
253798   ->   076
254178   <-   045


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
267812   <-   055
269924   ->   056
270305   <-   039
271036   ->   064
271398   <-   050
272010   ->   070
272402   <-   047
273038   ->   072
273379   <-   045
273976   ->   075
274337   <-   047
274963   ->   073
275299   <-   049
275903   ->   074
276237   <-   050
276837   ->   076
277175   <-   049
277773   ->   077
278209   <-   036
278841   ->   035
279468   <-   064
279971   ->   040
280607   <-   067
281853   <-   048
282401   ->   036
283173   <-   059
283645   ->   041
284263   <-   067
284670   ->   043
285370   <-   063
285797   ->   038
286508   <-   053
287059   ->   037
287737   <-   071
288168   ->   041
288814   <-   069
289206   ->   040
289893   <-   059
291477   <-   051
292072   ->   037
292792   <-   040
293524   ->   068
293871   <-   036
295480   <-   062
295994   ->   038
296638   <-   073


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
381306   <-   064
381772   ->   041
382414   <-   065
382838   ->   040
383458   <-   067
385379   ->   067
385715   <-   045
386337   ->   069
386678   <-   041
387427   ->   070
387742   <-   047
388382   ->   068
388739   <-   041
389177   <-   038
389438   ->   075
389800   <-   045
390521   ->   044
391073   <-   045
391758   ->   069
392141   <-   041
394001   <-   056
394599   ->   041
395276   <-   069
396940   <-   035
398437   <-   038
399180   ->   070
399524   <-   048
400174   ->   065
400587   <-   048


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
414071   <-   058
416147   ->   065
416526   <-   050
417126   ->   068
417472   <-   057
418017   ->   074
418377   <-   055


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---
432036   <-   064
433173   <-   065
433507   ->   040
434766   ->   039
435491   <-   054


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
448894   <-   057
449408   ->   035
450147   <-   067
450614   ->   039
451133   <-   041
451850   ->   052
453946   <-   065
454635   ->   037
455057   <-   064
455577   ->   041
456167   <-   066
456609   ->   038
457251   <-   064
457805   ->   039
458450   <-   064
458964   ->   042
459471   <-   058
460025   ->   040
460623   <-   061
461922   <-   055
462516   ->   038
463115   <-   069
464466   <-   060
464889   ->   041
466209   ->   041
466678   <-   050
467273   ->   036
468042   <-   065
469237   <-   065
469749   ->   035
470517   <-   057
471711   <-   040
472481   ->   065
472824   <-   047
473469   ->   064
473845   <-   046
475339   <-   054
476493   <-   039
477200   ->   066
477578   <-   045
478907   <-   039
479636   ->   069
480229   <-   046
480610   ->   036
481404   <-   041
482079   ->   080


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
505143   <-   057
506486   <-   057
507381   ->   037
507603   <-   065
509284   ->   040
509937   <-   060
510420   ->   040
511006   <-   065
511475   ->   044
511992   <-   073
512415   ->   042


SEQUÊNCIA 16
============

TEMPO   DIR   KMH
-----   ---   ---
525796   <-   052
529456   ->   060
529830   <-   041
530467   ->   062
530808   <-   046
531404   ->   069
531749   <-   042
532386   ->   069
532733   <-   050
533379   ->   064
533748   <-   045
534349   ->   069
534692   <-   046
535337   ->   068
537038   ->   057
537423   <-   043
538061   ->   068
538428   <-   044
539074   ->   066
539455   <-   045
540087   ->   051


SEQUÊNCIA 17
============

TEMPO   DIR   KMH
-----   ---   ---
555742   <-   065
556259   ->   039
557408   ->   038
557946   <-   055
558629   ->   038
559275   <-   061
559653   ->   038
560375   <-   045
561103   ->   037
561721   <-   062
562190   ->   039
562740   <-   061
563409   ->   038
563871   <-   060
564396   ->   042
564968   <-   062
565472   ->   039
566074   <-   055
566580   ->   037
567485   <-   055
567867   ->   041
568506   <-   061
568971   ->   041
569574   <-   055
570176   ->   040
570806   <-   052
571201   ->   039
571913   <-   057
572435   ->   039
573070   <-   047
573750   ->   041


SEQUÊNCIA 18
============

TEMPO   DIR   KMH
-----   ---   ---
593638   <-   061
594536   ->   036
594788   <-   064
595473   ->   038
595899   <-   059
597089   <-   041
597771   ->   063
598164   <-   046
598752   ->   037
599397   <-   038
600124   ->   064
600463   <-   044
600868   <-   039
601122   ->   068
601507   <-   045
602142   ->   067
602492   <-   050
603145   ->   071
603495   <-   042
604135   ->   045
605603   ->   047
606143   <-   038
606902   ->   071
607243   <-   046
607930   ->   070
608310   <-   038
612939   ->   063
613366   <-   045
614050   ->   067
614389   <-   045
615077   ->   068
615416   <-   038
616184   ->   071
616567   <-   037


SEQUÊNCIA 19
============

TEMPO   DIR   KMH
-----   ---   ---
634602   ->   057
635747   ->   066
636682   ->   059
637108   <-   052
637707   ->   064
638146   <-   046
638757   ->   071


SEQUÊNCIA 20
============

TEMPO   DIR   KMH
-----   ---   ---
657954   ->   057
659001   ->   063
659382   <-   045
659985   ->   061
660987   ->   069
661378   <-   041
662231   ->   043
662565   <-   039
663242   ->   061
663932   <-   043
664210   ->   066
664549   <-   049
665171   ->   062
665549   <-   047
666123   ->   059
666598   <-   037
668134   <-   037
668899   ->   053
669370   <-   041
670051   ->   069
670399   <-   048
670929   ->   047



