Data:          2021-10-02_13_28_11
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      9
Quedas:        20

magali:        07326 pontos / 098 golpes / 61.21 km/h
simone:        06811 pontos / 097 golpes / 59.23 km/h

Parcial:       14137 pontos
Desequilibrio: 00000 (-)
Quedas:        06362 (-)

FINAL:         07775 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
015617   ->   058
016033   <-   043
016689   ->   057
017073   <-   038
017819   ->   062
020274   ->   063
020599   <-   036
021405   ->   047
022597   ->   057
023749   ->   053
024265   <-   036
025010   ->   064
025394   <-   046
025951   ->   046
026521   <-   039
027208   ->   064
027587   <-   043
028188   ->   060
028616   <-   042
029211   ->   054
029638   <-   044
030256   ->   061
030683   <-   044
031302   ->   061
032454   ->   058
032885   <-   040
033545   ->   065
033927   <-   038
034567   ->   041


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
045425   <-   054
045876   ->   039
046529   <-   057
046940   ->   035
047707   <-   056
048182   ->   037
048728   <-   051
049374   ->   038
049924   <-   060
050353   ->   039
051030   <-   063
052144   <-   062
052527   ->   042
053060   <-   056
053557   ->   041
054108   <-   059
054621   ->   036
055322   <-   058


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
066732   <-   055
067290   ->   035
068486   ->   037
069081   <-   060
069514   ->   037
070237   <-   037
070894   <-   035
071112   ->   044
073985   ->   038
074656   <-   056
078256   <-   053


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
090252   <-   051
090758   ->   039
091272   <-   048
091782   ->   038
092313   <-   057
092822   ->   042
093365   <-   063
093782   ->   040
094427   <-   035
097451   <-   060
098439   <-   040
099917   <-   063
100380   ->   038
100978   <-   067
101404   ->   038
102795   ->   057
104156   ->   056


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
119772   ->   060
120204   <-   037
120951   ->   065
121285   <-   039


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
128518   ->   054
128947   <-   039
129672   ->   048
131038   ->   058
131417   <-   044
132186   ->   063
133345   ->   060
133977   <-   041
134359   ->   063
134744   <-   048
135429   ->   066
138612   ->   038
140000   ->   059
140385   <-   037
141063   ->   064
141446   <-   048
142138   ->   056
143413   ->   063
143750   <-   041
144478   ->   060
144858   <-   046
145520   ->   067
145907   <-   044
146551   ->   060
146926   <-   042
147614   ->   064
147976   <-   050
148614   ->   065
148997   <-   042
149703   ->   063
150042   <-   048
150721   ->   066
151069   <-   040
151790   ->   067


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
169560   ->   056
169988   <-   042
170673   ->   063
171056   <-   046
171717   ->   066
172936   ->   055


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
186672   <-   053
187145   ->   035
187863   <-   050
188379   ->   039
189084   <-   060
189429   ->   042
190003   <-   052
190491   ->   040
191176   <-   060
191556   ->   040
192246   <-   061
192566   ->   039
193286   <-   036
194011   ->   036
194693   <-   059
195079   ->   038
195739   <-   068
196810   <-   059
197318   ->   038
197956   <-   063
199113   <-   068
199450   ->   041
200179   <-   058
200605   ->   039
201203   <-   042
201841   ->   037
202438   <-   065


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
212510   <-   059
213016   ->   038
213657   <-   059
214748   <-   066
215127   ->   038
215775   <-   062
216198   ->   037
216752   <-   042
217437   ->   039
217990   <-   064
219209   <-   062


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
240604   <-   061
241055   ->   040
241564   <-   047
243032   <-   057
243504   ->   038
244017   <-   043
244614   ->   036
245171   <-   050
245681   ->   035
246323   <-   067
247450   <-   059
248581   <-   061
249012   ->   038
249607   <-   059
250079   ->   039
250757   <-   065
251058   ->   039
251653   <-   051
252166   ->   035
252762   <-   056
253170   ->   037
253894   <-   058
257438   ->   035
258091   <-   063
258549   ->   037
259143   <-   065
259563   ->   042
260123   <-   063
260548   ->   041
261111   <-   070


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
277997   ->   051
278470   <-   041
279194   ->   064
279541   <-   042
280178   ->   057
281417   ->   063
284190   ->   067
285512   ->   045
287047   ->   059
287451   <-   042
288219   ->   062
288650   <-   035
289285   ->   047
289715   <-   041
290439   ->   066
291637   ->   036
293043   ->   062
293461   <-   038
294192   ->   064
294581   <-   047
295176   ->   063
295604   <-   043
296223   ->   063
296648   <-   046
297199   ->   065
297609   <-   045
298270   ->   060
298719   <-   044
299354   ->   066
299738   <-   048
300338   ->   064
300721   <-   042
301453   ->   065
301876   <-   046
302449   ->   060
302987   <-   042
303538   ->   068
303897   <-   047
304542   ->   066
304881   <-   048
305483   ->   064
305859   <-   046
306459   ->   060
308231   ->   048
309745   ->   047
310300   <-   039
311029   ->   063
311431   <-   043
312071   ->   063
312449   <-   046
313050   ->   060
313482   <-   035
314290   ->   058
315462   ->   062
315887   <-   044
316472   ->   064
316890   <-   042
317529   ->   062
317917   <-   045
318551   ->   063
318987   <-   040
319646   ->   065
320066   <-   045
320689   ->   067
321116   <-   037
321862   ->   064
322289   <-   047
322881   ->   065
323272   <-   050
323912   ->   064


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
343922   ->   045
344476   <-   054
344948   ->   040
345518   <-   056
346055   ->   042
346565   <-   045
347122   ->   037
347716   <-   061
348183   ->   043
348704   <-   059
349107   ->   041
349850   <-   058
351023   <-   060
351367   ->   039
352072   <-   060
352414   ->   040
353093   <-   067
353484   ->   037
354077   <-   055
354562   ->   038
355250   <-   061
355629   ->   038
356381   <-   063
356764   ->   041
357304   <-   060
357809   ->   041
358297   <-   066
358769   ->   041
359279   <-   064
359793   ->   042
360306   <-   063


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---
376620   <-   058
377094   ->   040
377690   <-   061
378117   ->   036
378817   <-   059
379208   ->   038
379847   <-   057
380231   ->   038
380914   <-   052
381314   ->   037
382087   <-   041
382644   ->   039
383218   <-   064
384258   <-   060


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
394328   <-   057
395391   <-   054
395870   ->   038
396509   <-   045
397811   <-   058
398322   ->   037
399044   <-   064
399428   ->   037
400071   <-   069
401094   <-   050


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
419145   ->   055
419570   <-   043
420331   ->   066
420723   <-   047
421318   ->   066
421704   <-   045
422347   ->   062
422725   <-   044
423323   ->   063
428613   ->   058
433882   ->   054
436310   ->   046
437580   ->   045
439597   <-   048
441074   <-   037
441843   ->   060
442292   <-   041


SEQUÊNCIA 16
============

TEMPO   DIR   KMH
-----   ---   ---
461169   ->   047
461748   <-   036
462426   ->   056
462962   <-   038
463559   ->   060
464154   <-   043
464579   ->   063
465221   <-   038
465689   ->   069
466974   ->   035
468719   ->   047
471489   ->   053
471963   <-   047
472584   ->   055
473013   <-   049
473648   ->   060
474079   <-   047
474673   ->   061
475096   <-   043
475759   ->   064
476121   <-   042
476809   ->   062
477190   <-   046
477791   ->   058


SEQUÊNCIA 17
============

TEMPO   DIR   KMH
-----   ---   ---
489115   <-   045
489689   ->   039
490348   <-   059
490821   ->   035


SEQUÊNCIA 18
============

TEMPO   DIR   KMH
-----   ---   ---
498715   <-   045
499291   ->   039
499931   <-   054
500381   ->   041
500934   <-   057
502294   <-   055
502773   ->   043
503324   <-   053
503839   ->   037
504454   <-   058
505649   <-   060
506078   ->   041
506673   <-   065
507096   ->   042
507654   <-   072
510343   ->   057
510770   <-   041
511424   ->   057
512776   ->   061
513159   <-   047
513730   ->   055
516447   ->   056
516826   <-   042
517531   ->   057
518685   ->   057
519113   <-   047
519794   ->   058
520219   <-   045
520838   ->   064
521222   <-   043
521949   ->   058


SEQUÊNCIA 19
============

TEMPO   DIR   KMH
-----   ---   ---
534489   <-   047
535047   ->   036
535727   <-   057
536194   ->   042
536774   <-   060
537248   ->   041
537754   <-   064
538231   ->   039
538821   <-   056


SEQUÊNCIA 20
============

TEMPO   DIR   KMH
-----   ---   ---
554054   <-   055
554550   ->   040
555143   <-   056
555588   ->   040
556191   <-   044
556853   ->   037
557487   <-   063
557956   ->   036
558751   <-   056
559116   ->   042
559790   <-   060
560258   ->   040
560904   <-   049
561443   ->   036
562186   <-   063
562591   ->   036
563444   <-   051
563741   ->   036
564509   <-   071
564887   ->   036
565550   <-   054
566749   <-   069



