Data:          2021-10-02_13_40_42
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      2
Quedas:        20

cris:          08520 pontos / 096 golpes / 66.55 km/h
patricia:      07709 pontos / 102 golpes / 61.26 km/h

Parcial:       16229 pontos
Desequilibrio: 00000 (-)
Quedas:        07304 (-)

FINAL:         08925 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
053709   ->   060


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
060922   ->   046
061499   <-   044
062221   ->   065
063101   <-   036
063808   <-   046


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
073315   ->   051
073910   <-   043
074659   ->   058
075108   <-   045
075664   ->   064
077153   ->   067
077501   <-   050
078141   ->   072
078567   <-   041
079297   ->   065
079649   <-   041
080376   ->   071
080717   <-   041
081446   ->   071
081746   <-   047
082382   ->   055
083899   ->   036
084540   <-   051
085153   ->   041
085798   <-   061
086245   ->   043
086865   <-   063
088079   <-   061
088576   ->   044
089168   <-   044
089894   ->   035
090597   <-   068
091750   <-   062
092212   ->   039
092882   <-   067
093347   ->   044
093944   <-   038
096313   ->   069
097786   ->   070
098213   <-   037
098939   ->   042


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
108178   ->   045
108814   <-   061
109374   ->   041
110008   <-   062
110438   ->   039
111587   ->   041
112403   <-   036
113174   ->   042
113721   <-   072
114447   ->   044
114834   <-   067
115902   <-   056
117220   <-   064
117438   ->   046
118147   <-   067
118572   ->   039
120977   <-   048
122363   <-   051


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
133221   ->   069
133563   <-   044
134244   ->   064
134630   <-   047
135183   ->   069
136401   ->   062
137720   ->   067
138064   <-   045
138664   ->   042
139278   <-   035
140034   ->   038
140726   <-   041
141455   ->   070
142780   ->   066
143210   <-   048
143845   ->   069
144208   <-   053
144763   ->   073
145153   <-   047
145768   ->   062
146252   <-   040
146896   ->   069
147281   <-   044
147917   ->   073
148311   <-   042
148943   ->   073
149348   <-   047
149880   ->   072
150285   <-   043
151010   ->   037
151805   <-   041
152546   ->   035
153362   <-   069
153783   ->   043
154494   <-   063


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
163579   ->   054
164029   <-   041
164709   ->   069
165048   <-   050
165687   ->   066
166008   <-   048
166713   ->   071
167054   <-   051
167652   ->   065
168038   <-   055
168551   ->   066
169040   <-   047
169575   ->   057
170019   <-   047
170680   ->   076
171005   <-   051
171639   ->   077
172774   ->   035
173629   <-   040
174503   ->   036
175248   <-   057
175843   ->   038
176526   <-   070
177766   <-   036
