Data:          2021-10-02_13_56_24
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      9
Quedas:        10 (11-1)

helton:        10956 pontos / 136 golpes / 62.99 km/h
clemerson:     10937 pontos / 133 golpes / 63.87 km/h

Parcial:       21893 pontos
Desequilibrio: 00000 (-)
Quedas:        03284 (-)

FINAL:         18609 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
019309   ->   052
019818   <-   057
020372   ->   045
020973   <-   065
021572   ->   055
022975   ->   039
023614   <-   044
024387   ->   040
024983   <-   042
025798   ->   045
026441   <-   037
027101   ->   066
027502   <-   042
028247   ->   050
028713   <-   047
029358   ->   069
029783   <-   048
030509   ->   071
030807   <-   046
031470   ->   072
031962   <-   048
032579   ->   068
033002   <-   047


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
039899   ->   053
040406   <-   045
041110   ->   060
041500   <-   047
042267   ->   051
042711   <-   049
043353   ->   059
043827   <-   049
044462   ->   067
044888   <-   041
045609   ->   070
046001   <-   052
046681   ->   067
047068   <-   048
047638   ->   065
048070   <-   048
048705   ->   069
049092   <-   047
049736   ->   065
050158   <-   046
050815   ->   069
051203   <-   045
051950   ->   066
052417   <-   045
053124   ->   065
053544   <-   040
054274   ->   049
054783   <-   046
055470   ->   066
055918   <-   042
056562   ->   059
056985   <-   047
057581   ->   062
058007   <-   042
058646   ->   075
059073   <-   051
059777   ->   073
060164   <-   043
060933   ->   073
061402   <-   044
062039   ->   071
065177   ->   045
065734   <-   057
066285   ->   048
066815   <-   070
067351   ->   050
067819   <-   068
068335   ->   050
068840   <-   067
069311   ->   043
069958   <-   071
070381   ->   049
071041   <-   068
071471   ->   047
072074   <-   065
072536   ->   050
073070   <-   045
073797   ->   049
074348   <-   073
074774   ->   047
075372   <-   037
076103   ->   037
076742   <-   073
077169   ->   040
077866   <-   070
078251   ->   045
078893   <-   067


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
094764   ->   048
095275   <-   054
095915   ->   046
096513   <-   062
096945   ->   046
097564   <-   066
097968   ->   044
098520   <-   077
099162   ->   041
099672   <-   063
100121   ->   050
100636   <-   071
101061   ->   046
101718   <-   058
102236   ->   047
102807   <-   069
103236   ->   047
103899   <-   054
104331   ->   042
104965   <-   069
105409   ->   048
106008   <-   066
106475   ->   049
107038   <-   077
107460   ->   050
109205   ->   035
109803   <-   039
110507   ->   048
111042   <-   043
111725   ->   070
112201   <-   040
112902   ->   067
113305   <-   051
113984   ->   051
114539   <-   045
115183   ->   071
115604   <-   043
116247   ->   080
116673   <-   041
117485   ->   060
117912   <-   046
118509   ->   082
118936   <-   045
119616   ->   065
120044   <-   047
120682   ->   068
121070   <-   053
121672   ->   069
122103   <-   044
122774   ->   070
123205   <-   051
123759   ->   077
124182   <-   047
124911   ->   066
125314   <-   043
126063   ->   043
126637   <-   073
127135   ->   045
127705   <-   064
128215   ->   042
128813   <-   066
129238   ->   041
129861   <-   041
130644   ->   036
131349   <-   059
131867   ->   045
132419   <-   048
133014   ->   044
133612   <-   069
134071   ->   048
134615   <-   043
135305   ->   053
135850   <-   070
136324   ->   047
136858   <-   066
137326   ->   042
137925   <-   051
138506   ->   044
139101   <-   068
139564   ->   044


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
151341   ->   051
151852   <-   061
152408   ->   048
153006   <-   053
153406   ->   045
154033   <-   067
154410   ->   046
155100   <-   069
155524   ->   046
156056   <-   036
156823   ->   037
157466   <-   068
157936   ->   044
158547   <-   056
159021   ->   047
159664   <-   068
160110   ->   045
160705   <-   067
161093   ->   040
161749   <-   038
162645   ->   044
163246   <-   065
163713   ->   045
164268   <-   043
165035   ->   048
165741   ->   042


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
181314   ->   052
181765   <-   049
182412   ->   068
182872   <-   043
183558   ->   062
183981   <-   043
184614   ->   064
185091   <-   050
185734   ->   071
186158   <-   045
186775   ->   055
187241   <-   042
187972   ->   073
188358   <-   045
189039   ->   071
189421   <-   046
190019   ->   081
190483   <-   044
191173   ->   073
191601   <-   044
192236   ->   073
192670   <-   041
193369   ->   078
193750   <-   046
194434   ->   072
197294   ->   049
197805   <-   043
198505   ->   070
198894   <-   041
199617   ->   058
200042   <-   042
200772   ->   064


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
215065   ->   049
215596   <-   062
216150   ->   049
216668   <-   056
217201   ->   049
