Data:          2021-10-02_14_08_31
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      24
Quedas:        13

dinho:         12151 pontos / 142 golpes / 64.98 km/h
jean:          12136 pontos / 181 golpes / 63.34 km/h

Parcial:       24287 pontos
Desequilibrio: 00000 (-)
Quedas:        05829 (-)

FINAL:         18458 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
028287   ->   062
029271   ->   050
029807   <-   058
030441   ->   059
030909   <-   051
031572   ->   047
032210   <-   050
032852   ->   065
033323   <-   049
033966   ->   068
034393   <-   053
035034   ->   062
035453   <-   057
036047   ->   067
036480   <-   052
037115   ->   068
037546   <-   047
038317   ->   036
039083   <-   038
039851   ->   071
040370   <-   056
040962   ->   069
041343   <-   059
041941   ->   066
042389   <-   054
043034   ->   070
043414   <-   061
043985   ->   065
045653   ->   071
046125   <-   055
046719   ->   064
047171   <-   062
047724   ->   066
048132   <-   058
048683   ->   072
049109   <-   055
049751   ->   071
050138   <-   058
050684   ->   070
051115   <-   053
051672   ->   073
052101   <-   060
052673   ->   067
053059   <-   054
053741   ->   069
054250   <-   051
054806   ->   072
055192   <-   042
055938   ->   048
056412   <-   044
057151   ->   072
057575   <-   055
058135   ->   073
058564   <-   053
059202   ->   070
059632   <-   054
060272   ->   055
060821   <-   039
061634   ->   064
064212   ->   042
064774   <-   046
065409   ->   045
066029   <-   071
066474   ->   046
067033   <-   075
067435   ->   047
068037   <-   039


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
081260   <-   057
081811   ->   047
082835   ->   052


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
093374   ->   046
094062   <-   067
094531   ->   050
095539   ->   044
096105   <-   069
096512   ->   051
097071   <-   066
097495   ->   052
098029   <-   072
098410   ->   051
099439   ->   051
099911   <-   062
100413   ->   050
100931   <-   074


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
115686   ->   064
116117   <-   055
116693   ->   068
117122   <-   055
117652   ->   064
118079   <-   065
118642   ->   070
119020   <-   052
119768   ->   070
120153   <-   053
120792   ->   046
122153   ->   043
122709   <-   044
123373   ->   066
123837   <-   057
124310   ->   069
124841   <-   050
125483   ->   069
125873   <-   053
126550   ->   068
126977   <-   051
127570   ->   072
128003   <-   057
128575   ->   076
128965   <-   059
129560   ->   072
129940   <-   060
130583   ->   071
130971   <-   051
131670   ->   040
132413   <-   038
133227   ->   039
133826   <-   048
134469   ->   042
135128   <-   060
135680   ->   047
136240   <-   075
136665   ->   056
137135   <-   047
137853   ->   044
138501   <-   071
138880   ->   047
139412   <-   071
139881   ->   047
140442   <-   072
140886   ->   050
141376   <-   075
141807   ->   050
142360   <-   060
142912   ->   042
143603   <-   069
144003   ->   045


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
157169   ->   065
157545   <-   056
158232   ->   065
158612   <-   059
159210   ->   064
159668   <-   054
160259   ->   067
160669   <-   061
161260   ->   066
161642   <-   056
162239   ->   070
162625   <-   058
163221   ->   068
163605   <-   057


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
178473   ->   066
178904   <-   058
179504   ->   049
180141   <-   053
180697   ->   064
181248   <-   057
181715   ->   066
182702   ->   042
183340   <-   043
184151   ->   072
184493   <-   057
185089   ->   068
185471   <-   065
186029   ->   064
186475   <-   045
187268   ->   044
188332   ->   051
188842   <-   061
189310   ->   051
189873   <-   065
190360   ->   048
190912   <-   066
191381   ->   048
191937   <-   064
192446   ->   049
193007   <-   071
193407   ->   050
194906   ->   038
195409   <-   042
196142   ->   044
196738   <-   040
197528   ->   042
198165   <-   058
199510   <-   061
200083   ->   048
200558   <-   077
201026   ->   046
201625   <-   048
202325   ->   041
202969   <-   074
203460   ->   049
203968   <-   069
204396   ->   041
205166   <-   057
206636   <-   056
207233   ->   040
207959   <-   045
208553   ->   071
209043   <-   039
209854   ->   072
210281   <-   059
210936   ->   041
211502   <-   039
212307   ->   047
212824   <-   070
213286   ->   049
213761   <-   066
214359   ->   040
214870   <-   077
215342   ->   039


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
238847   ->   066
239275   <-   052
239894   ->   060
240366   <-   054
240980   ->   050
241520   <-   050
242173   ->   070
242581   <-   048
243178   ->   073
243647   <-   053
244310   ->   071
244696   <-   052
245288   ->   067
245763   <-   053
246360   ->   073
246741   <-   061
247297   ->   076
247704   <-   052
248368   ->   075
248745   <-   050
249342   ->   080
250010   <-   048
250861   <-   049
251544   ->   055
252049   <-   046
252867   ->   082
253247   <-   050
254170   ->   074
255505   ->   067
255769   <-   049
256449   ->   079
256793   <-   040
257616   ->   049
258172   <-   047
258812   ->   039
260607   ->   065
261075   <-   048
261717   ->   049
262294   <-   044
263212   ->   072
263402   <-   050
264067   ->   065


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
284694   ->   049
285121   <-   043
285884   ->   052
287235   ->   048
287514   <-   059
289199   ->   038
291544   ->   048
292438   ->   052
292909   <-   055
293465   ->   043
294483   ->   049
295040   <-   044
295724   ->   047
296237   <-   073
297731   ->   048
298241   <-   074
298642   ->   048
299243   <-   047
299839   ->   037
300632   <-   069


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
317248   ->   071
317658   <-   052
318295   ->   067
318704   <-   056
319252   ->   074
319678   <-   053
320305   ->   070
320705   <-   058
321305   ->   049
322048   <-   035
322837   ->   074
323218   <-   046
324948   <-   041
325611   ->   049
326204   <-   050
326848   ->   076
327280   <-   055
327792   ->   072
328303   <-   041
329151   ->   064
329579   <-   051
330304   ->   053
330815   <-   067
331409   ->   041
332285   <-   066
332544   ->   049
333083   <-   071
333566   ->   050
334079   <-   075
334481   ->   046
335127   <-   051
335768   ->   044
336366   <-   059
336916   ->   042
337539   <-   069
338970   <-   043
339733   ->   039
341269   ->   044
342831   ->   075
343248   <-   051
343810   ->   070
344275   <-   044
345001   ->   077
345432   <-   054
346029   ->   073
346452   <-   045
347161   ->   045
347819   <-   039
348585   ->   046
