Data:          2021-10-02_14_21_31
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      20
Quedas:        17

marujo:        09483 pontos / 112 golpes / 65.08 km/h
rodrigao:      10461 pontos / 106 golpes / 69.56 km/h

Parcial:       19944 pontos
Desequilibrio: 00000 (-)
Quedas:        07180 (-)

FINAL:         12764 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
019457   ->   055
019990   <-   048
020499   ->   064
020865   <-   044
021586   ->   065
022015   <-   046
022614   ->   065
022994   <-   055
023591   ->   065
023933   <-   050
024638   ->   067
024982   <-   046
025363   <-   043
025623   ->   068
026002   <-   044
026688   ->   038
027303   <-   045
027989   ->   070


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
037502   ->   065
037892   <-   048
038524   ->   066
038865   <-   052
039466   ->   060
039997   <-   048
040513   ->   057
041299   <-   042
041598   ->   066
041983   <-   050
042623   ->   066
043007   <-   044
043647   ->   061
044073   <-   044
044845   ->   068
045143   <-   052
045800   ->   060
046228   <-   044
046867   ->   065
047294   <-   045
047932   ->   064
048323   <-   045
048935   ->   066
050519   ->   039


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
062420   <-   047
063164   ->   040
063805   <-   075
064234   ->   040
064963   <-   070
066195   <-   039
066880   ->   062
067262   <-   049
067946   ->   066
068291   <-   050
069014   <-   038
070270   ->   041
071022   <-   070
072229   <-   044
072857   ->   038
073663   <-   071
074047   ->   042
074687   <-   073
075856   <-   042
076502   ->   039
077222   <-   048


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
092952   <-   069
093422   ->   041
094056   <-   074
094485   ->   037
096150   ->   037
096893   <-   038
097622   ->   064
098006   <-   046
098496   <-   038
098771   ->   063
099178   <-   043
099926   ->   070
100418   <-   045
101032   ->   062
101423   <-   047
102056   ->   067
102442   <-   047
103047   ->   062
103425   <-   045
104062   ->   070
104426   <-   042
105129   ->   074
105516   <-   047
106156   ->   065
106496   <-   049
107156   ->   069
107495   <-   049
108137   ->   063
108564   <-   038
109126   <-   035
112789   <-   035
114131   <-   067
114580   ->   044
115201   <-   069
115673   ->   039
116436   <-   047
117138   ->   055
117698   <-   041
118462   ->   063
118849   <-   044
119553   ->   068
119961   <-   048
120557   ->   066


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
136195   <-   066
136621   ->   038
137728   ->   041
138405   <-   076
138754   ->   040
139478   <-   041
140101   ->   059
140500   <-   043
141203   ->   062
141590   <-   039
142316   ->   036
143166   <-   053
143853   ->   037
144683   <-   067
145114   ->   040
145771   <-   076
146157   ->   042
146926   <-   070
147431   ->   037
149864   <-   039
150426   ->   060
151634   ->   063
152273   <-   044
152658   ->   041
154989   ->   035
155821   <-   043
156434   ->   067
156821   <-   039
157563   ->   073
157951   <-   047
158551   ->   039
159253   <-   072
159680   ->   036
160515   <-   078
161105   ->   042
161579   <-   060
162962   <-   077


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
178560   <-   075
178989   ->   038
179838   <-   035
180418   ->   041
181335   <-   069
181697   ->   044
182847   ->   042
183892   ->   041
184701   <-   062
184916   ->   039
185734   <-   074
186113   ->   045
187821   <-   052
188414   ->   040
190206   <-   069
190678   ->   036
191531   <-   079
191958   ->   048
192464   <-   075
192936   ->   040
193579   <-   077
193985   ->   046
195949   <-   071
196290   ->   041
197058   <-   038
198569   <-   038


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
222723   ->   069
223059   <-   051
226413   ->   039
227586   ->   046


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
243052   <-   065
243521   ->   041
244160   <-   070
244589   ->   039
245225   <-   048
245957   ->   039
246723   <-   071
247465   ->   038
247811   <-   079
248147   ->   041
248981   <-   044
249534   ->   066
249991   <-   040
251372   <-   074
251794   ->   043
252392   <-   078
252823   ->   044
253417   <-   065
253928   ->   042
254615   <-   075
254913   ->   040
255702   <-   035


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
264749   ->   056


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
277954   ->   064
278333   <-   044
279021   ->   064
279383   <-   044
280039   ->   068
280424   <-   047
281104   ->   038


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
295571   ->   060
295960   <-   042
296601   ->   037
297301   <-   046
297939   ->   056
298411   <-   047
299006   ->   064
299389   <-   049
300072   ->   063
300458   <-   049
301032   ->   048
301552   <-   046
302268   ->   072
302655   <-   047
303292   ->   069
304490   ->   063
304872   <-   044
305558   ->   069
306732   ->   064
307157   <-   044
307838   ->   074
308160   <-   044
308840   ->   071
309188   <-   050
309827   ->   037
310499   <-   069
310973   ->   045
311578   <-   072
311979   ->   048
312533   <-   068
312959   ->   042
313514   <-   070
313925   ->   043
314644   <-   073
315067   ->   038
315795   <-   081
316182   ->   041
316906   <-   066
317330   ->   041
318056   <-   072
318485   ->   041
319084   <-   071
319509   ->   038
320192   <-   076
320617   ->   043
321219   <-   040
321946   ->   060
323226   ->   037
323950   <-   074
324329   ->   035
325055   <-   075
326227   <-   039
326958   ->   066
327359   <-   038
328061   ->   061
328450   <-   036
329280   ->   069
329622   <-   041
330340   ->   063
330725   <-   047
331368   ->   069
331715   <-   045
332309   ->   058
332734   <-   045
333331   ->   038
334824   ->   071
335257   <-   046
336812   <-   035


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
445032   ->   061
445423   <-   044
446034   ->   062
446462   <-   050
447126   ->   056
447558   <-   055
448105   ->   060
449193   ->   066
449536   <-   049
449959   <-   042
450193   ->   042
451348   <-   045
451602   ->   076
451947   <-   045
452606   ->   058
452993   <-   051
453630   ->   069
453972   <-   056
454654   ->   067
454956   <-   051
455320   <-   042
455618   ->   065
455959   <-   050
456573   ->   068
456917   <-   048
457602   ->   056
458945   ->   069
459287   <-   042
460030   ->   075
460330   <-   045
461035   ->   071


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---
474667   ->   058
475091   <-   045
475732   ->   060
476117   <-   044
476779   ->   064
477123   <-   044
477761   ->   063
478100   <-   045
478803   ->   036
480340   ->   036
481154   <-   071
481579   ->   044
482171   <-   076
483624   <-   046
484136   ->   039
484951   <-   073
485372   ->   044
485929   <-   073


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
497361   ->   067
497752   <-   047


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
506160   <-   060
506694   ->   042
507324   <-   073
507674   ->   041
508265   <-   046
509013   ->   036
509693   <-   074
510059   ->   037
510761   <-   073
512338   ->   042
512939   <-   073
513363   ->   040
514004   <-   069
514391   ->   038
515131   <-   050
515624   ->   044
516481   <-   081
517804   <-   054
518272   ->   039
