Data:          2021-10-02_14_34_19
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      23
Quedas:        13 (14-1)

sandrinho:     11213 pontos / 122 golpes / 67.60 km/h
fabio:         11167 pontos / 120 golpes / 68.05 km/h

Parcial:       22380 pontos
Desequilibrio: 00000 (-)
Quedas:        05372 (-)

FINAL:         17008 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
043285   ->   067
043651   <-   042
044338   ->   066
044677   <-   044
045362   ->   066
046382   ->   057
047149   <-   041
047370   ->   060
047837   <-   042
048500   ->   063
049051   <-   037
049694   ->   073
050035   <-   044
050647   ->   047
051199   <-   057
051802   ->   045
052314   <-   069
052782   ->   047
053805   ->   048
054240   <-   060
054792   ->   044
055790   ->   046
056342   <-   042
057136   ->   067
057522   <-   045
058138   ->   065
058567   <-   044
059246   ->   066
059637   <-   042
060313   ->   071
062812   ->   074
063174   <-   043
063918   ->   071
064394   <-   042
064837   ->   038
065583   <-   057
066161   ->   045
066671   <-   068
067164   ->   038
068313   ->   041
068912   <-   065
069306   ->   042
070900   ->   075


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
089605   ->   064
090104   <-   043
090646   ->   068
090932   <-   048
091568   ->   067
091884   <-   036
092660   ->   073
092982   <-   044
093660   ->   066
094022   <-   044
094707   ->   073
095404   <-   042
095621   ->   069
096002   <-   042
096733   ->   070
097031   <-   044
097734   ->   067
098077   <-   045
098713   ->   073
099058   <-   042
099703   ->   074
100083   <-   043
100698   ->   054
101208   <-   037
102017   ->   076
103211   ->   066
103643   <-   041
104303   ->   064
104692   <-   047
105332   ->   060
105755   <-   041
106435   ->   078
106774   <-   037


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
127705   <-   062
128175   ->   045
128691   <-   069
129071   ->   042
129675   <-   047
130308   ->   042
130821   <-   070
131301   ->   047
131700   <-   062
132142   ->   045
132735   <-   073
133106   ->   050
133611   <-   072
133981   ->   048
134512   <-   060
135072   ->   040
135646   <-   071
136073   ->   048
136500   <-   072
137006   ->   048
137437   <-   064
137943   ->   046
138461   <-   074
138865   ->   049
139337   <-   076
139715   ->   042
140358   <-   071
140778   ->   043
141380   <-   064
141807   ->   048
142382   <-   075
142768   ->   044
143368   <-   069
143836   ->   042


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
169138   <-   062
169607   ->   046
170244   <-   059
170588   ->   044
171699   ->   047
172206   <-   071
172592   ->   044
173126   <-   066
173680   ->   041
174235   <-   074
174665   ->   042
175179   <-   076
175642   ->   047
176107   <-   072
176562   ->   047
177072   <-   064
177502   ->   047
178035   <-   078
178372   ->   045
178931   <-   058
179401   ->   042
179973   <-   061
180448   ->   044
181109   <-   050
183367   ->   069
183748   <-   040
184411   ->   072
184793   <-   036
185519   ->   054


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
211611   ->   060
212014   <-   044
212657   ->   069
213001   <-   042
213676   ->   072
214004   <-   045
214640   ->   073
214939   <-   047
215581   ->   071
216005   <-   044
216563   ->   070
216901   <-   042
217627   ->   070
217926   <-   040
218565   ->   045
219119   <-   051
219716   ->   043
220326   <-   067
220704   ->   051
221338   <-   071
221722   ->   050
222239   <-   074
222706   ->   045
223140   <-   073
223666   ->   044
224172   <-   074
225414   <-   037
226272   ->   042
226820   <-   072
227119   ->   040
227886   <-   076
228313   ->   045
228828   <-   074
229304   ->   046
229806   <-   068


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
242396   ->   063
242780   <-   042
243439   ->   059
243827   <-   039
244506   ->   072
244847   <-   044
245539   ->   074
245835   <-   043
246512   ->   072
246852   <-   042
247447   ->   046
248641   ->   042


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
262681   <-   066
263213   ->   041
263858   <-   054
264373   ->   044
264877   <-   067
265394   ->   047
265866   <-   069
266283   ->   045
266804   <-   070
267306   ->   040


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
275812   <-   064
276270   ->   047
276831   <-   067
277303   ->   047
277742   <-   064
278212   ->   050
278681   <-   064
279198   ->   047
279706   <-   053
280306   ->   045
280866   <-   070
281160   ->   053
281672   <-   040
282396   ->   040
282905   <-   075
283371   ->   047
283885   <-   075
284316   ->   044
285253   ->   043
285771   <-   049
286448   ->   044
287005   <-   063
287472   ->   039
288067   <-   072
288539   ->   046
290648   <-   067
291168   ->   040
291716   <-   037
292483   ->   057
292912   <-   040
293552   ->   074
293939   <-   044
294575   ->   073
294963   <-   043
295604   ->   075
295943   <-   044
296624   ->   079
297906   ->   053
299307   ->   074
299698   <-   041
300359   ->   075
302382   <-   073
302796   ->   046
303341   <-   077
305345   ->   073
305694   <-   039
306397   ->   078
306781   <-   041
309571   ->   037
310344   <-   072
310708   ->   042
312198   ->   068
313346   ->   042
313991   <-   071
314460   ->   042
315011   <-   074
315589   ->   043
316019   <-   046


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
395116   ->   062
395506   <-   047
396233   ->   066
396533   <-   047
397297   ->   058
397635   <-   039
398237   ->   041
398835   <-   070
399260   ->   046
399857   <-   069
400240   ->   046
400799   <-   070
401136   ->   049
401801   <-   074
402227   ->   042
402826   <-   077
403206   ->   043
403762   <-   071
404142   ->   047
404702   <-   058
405209   ->   043
405809   <-   073
406191   ->   037
406837   <-   068
407215   ->   045
408684   ->   076
409073   <-   042
409710   ->   068
410100   <-   041
410760   ->   079
411142   <-   039
411886   ->   061
412234   <-   049
412954   ->   067
414469   ->   069
418864   <-   068
419293   ->   040
419906   <-   054
420467   ->   043
421236   <-   065
424003   <-   036
424773   ->   073
425177   <-   042
425774   ->   072
426908   ->   035
427652   <-   067
428169   ->   036
428782   <-   072
429186   ->   045
429785   <-   072
430195   ->   038
431776   ->   076
432153   <-   043
432838   ->   070
433283   <-   044
434052   ->   075
435293   ->   070


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
448580   ->   062
448921   <-   041
449648   ->   067
449944   <-   042
450650   ->   067
450994   <-   042
451674   ->   065
452017   <-   043
452706   ->   056
454002   ->   069
454306   <-   035
455811   <-   037
456516   ->   051
456772   <-   041
457605   ->   058
457946   <-   043
458672   ->   039


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
476078   ->   048
476636   <-   059
477106   ->   048
477600   <-   065
480069   ->   037
480328   <-   066
480798   ->   048
481267   <-   073
481737   ->   044
482244   <-   068
482672   ->   045
483205   <-   073
483610   ->   047
484125   <-   069
484547   ->   039
485236   <-   072
485617   ->   047
486154   <-   053
486791   ->   042
487391   <-   065
487774   ->   040
488499   <-   059
488943   ->   044
489564   <-   073
489903   ->   044
490522   <-   071
490868   ->   047
491463   <-   066
491886   ->   043
492443   <-   074
493082   ->   036
494338   ->   078
494682   <-   045
495279   ->   074
495643   <-   039
496352   ->   079
496684   <-   036
497395   ->   048
498816   ->   068
499164   <-   045
499843   ->   049
500441   <-   072
500871   ->   048
501380   <-   075
501791   ->   044
503152   ->   077
503536   <-   043
504218   ->   056
504668   <-   037
505501   ->   071
505904   <-   039
507469   <-   082
508658   <-   048
509338   ->   041
509894   <-   084
510493   ->   040
511004   <-   078
511598   ->   037
512945   ->   077
513285   <-   037


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
532937   ->   061
533317   <-   040
533999   ->   066
534340   <-   047
535039   ->   070
535342   <-   045
536005   ->   064
536306   <-   044
536944   ->   068
537882   ->   070
538182   <-   042
538867   ->   063
539182   <-   046
539868   ->   045
540417   <-   054
540977   ->   041
541679   <-   071
542067   ->   040
542668   <-   075
543027   ->   039
543708   <-   073
544137   ->   043
544734   <-   071
545203   ->   042
545711   <-   074
546182   ->   048
546648   <-   078
547036   ->   045
547590   <-   080
547938   ->   048


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---
566148   ->   060
566470   <-   043
566874   <-   040
567132   ->   067
567472   <-   044
568115   ->   061
568434   <-   045
569138   ->   070
569474   <-   044
570226   ->   074
570525   <-   041
571204   ->   066
571595   <-   041
572233   ->   075
572572   <-   044
573213   ->   073
573511   <-   046
574113   ->   070
574458   <-   048
575132   ->   065
576153   ->   067
576498   <-   043
577178   ->   068
577473   <-   043
578125   ->   070
578414   <-   045
579058   ->   066
580246   ->   042
580976   <-   068
584027   <-   044
584604   ->   039
585243   <-   064
585711   ->   044
586226   <-   057


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
615619   <-   061
616046   ->   046
616604   <-   055
617032   ->   045
617603   <-   062
618077   ->   047
618547   <-   058
619052   ->   044
620781   <-   047
621895   <-   063
622432   ->   037
622812   ->   035
623111   <-   068
623534   ->   048
624092   <-   065
624563   ->   044
625160   <-   068
625500   ->   049
626052   <-   042
626777   ->   042
627334   <-   060
627890   ->   039
628445   <-   069
628845   ->   038
629534   <-   075
629938   ->   040
632094   <-   042
632901   ->   070
633243   <-   039
633929   ->   075
635036   ->   070
635415   <-   042
636104   ->   063
636405   <-   044
637039   ->   073
637381   <-   044


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
658845   ->   059
659184   <-   045
659891   ->   069
661361   ->   048
662705   ->   071
663045   <-   046
663733   ->   077
665502   <-   036
666220   ->   071
666524   <-   046
667203   ->   062
667570   <-   043
668203   ->   048



