Data:          2021-10-02_14_56_53
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      4
Quedas:        11

douglas:       10672 pontos / 121 golpes / 66.04 km/h
nel:           09129 pontos / 120 golpes / 61.50 km/h

Parcial:       19801 pontos
Desequilibrio: 00000 (-)
Quedas:        03565 (-)

FINAL:         16236 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
029934   ->   064
030319   <-   045
030912   ->   066
031258   <-   047
031982   ->   070
032291   <-   046
032884   ->   070
033241   <-   050
033882   ->   070
034303   <-   037
035013   ->   071
035312   <-   039
036100   ->   070
036401   <-   046
037144   ->   045
037638   <-   036
038274   ->   064
038617   <-   049
039326   ->   068
039623   <-   051
040262   ->   071
040563   <-   046
041240   ->   071
041540   <-   041
042224   ->   068
042570   <-   043
043245   ->   073
043503   <-   040
044312   ->   072
044650   <-   047
045173   ->   073
045489   <-   052
046083   ->   073
047213   ->   075
047558   <-   048
048175   ->   072
049306   ->   038
050269   <-   037
050849   ->   044
051417   <-   056
052059   ->   038
052596   <-   048
053273   ->   047
053743   <-   070
054262   ->   050
054683   <-   067
055068   ->   050
055666   <-   056
056370   ->   047
056666   <-   052
057178   ->   039
057864   <-   037
058541   ->   043
059182   <-   064
059739   ->   048
060139   <-   067
060703   ->   041
061210   <-   061
061676   ->   046
062238   <-   048
062794   ->   044
063428   <-   035
064218   ->   042
064861   <-   069
065332   ->   041
070446   ->   069
070833   <-   047
071432   ->   073
071770   <-   036
072541   ->   073
072885   <-   042
073604   ->   076
073902   <-   045
074545   ->   070


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
099506   <-   069
099935   ->   045
100534   <-   041
101296   ->   045
102275   ->   046
102961   <-   063
104752   <-   058
105179   ->   047
105759   <-   066
106179   ->   047
106757   <-   051
107311   ->   039
107909   <-   067
108333   ->   051
108892   <-   060
109235   ->   041
109936   <-   066
110617   ->   048
110874   <-   071
111343   ->   051
111770   <-   071
112199   ->   044
112815   <-   040
113539   ->   045
114135   <-   067
114569   ->   035


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
125190   <-   065
125613   ->   049
126213   <-   066
127966   ->   044
128264   <-   055
130069   ->   042
130590   <-   070
131357   ->   045
131552   <-   066
132078   ->   045
133400   ->   041
133703   <-   058
134277   ->   048
137264   ->   037
138884   ->   057
139311   <-   045


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
150868   ->   063
151299   <-   042
151940   ->   065
152237   <-   047
152877   ->   062
153305   <-   045
153945   ->   073
154241   <-   047
154846   ->   070
155185   <-   045
155824   ->   073
156168   <-   046
156781   ->   071
157079   <-   046
157723   ->   075
158026   <-   049
158616   ->   070
158938   <-   043
159616   ->   076
159925   <-   040
160691   ->   042
161177   <-   039
162801   <-   058
163339   ->   045
163798   <-   063
164309   ->   047


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
177773   <-   064
179270   ->   051
179763   <-   053
180829   <-   070
181552   ->   045
181867   <-   071
183237   ->   048
183750   <-   052
184473   ->   048
185670   ->   046
185968   <-   066
186646   ->   045
186949   <-   068
187404   ->   051
187904   <-   057
188423   ->   048
188936   <-   066
189404   ->   050
189846   <-   067
190575   ->   049
190856   <-   068
191597   ->   042
192540   ->   044
193047   <-   067
193606   ->   047
194068   <-   069
194497   ->   048
195076   <-   051
195590   ->   045
196100   <-   061
196657   ->   048
198091   ->   040
198767   <-   065
199279   ->   048
199747   <-   066
200203   ->   050
200709   <-   056
201267   ->   044
201881   <-   062
202305   ->   047
203950   ->   064
204295   <-   038
205064   ->   070


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
219957   ->   062
221143   ->   040
221661   <-   036
222466   ->   070
222766   <-   052
223389   ->   054
223811   <-   044
224496   ->   066
224838   <-   047
225457   ->   070
225821   <-   042
226503   ->   073
226802   <-   045
227428   ->   069


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
237273   ->   068
237661   <-   039
238363   ->   060
238790   <-   038
239495   ->   071
239836   <-   053
240434   ->   073
240756   <-   051
241371   ->   073
241692   <-   040
242414   ->   042
243890   ->   071
244656   <-   038
244955   ->   077
245256   <-   042
246001   ->   064
247472   ->   051
247856   <-   038
248666   ->   051
249177   <-   041
249901   ->   070
250243   <-   052
250843   ->   075
251230   <-   047
251802   ->   073
252078   <-   053
252673   ->   073
253014   <-   045
253638   ->   075
253932   <-   048
254554   ->   077
254854   <-   047
255497   ->   077
255797   <-   044
256475   ->   079
256774   <-   042
257457   ->   074
257734   <-   038
258501   ->   042
259182   <-   050
259907   ->   047
260467   <-   039
261146   ->   043
261639   <-   054
262148   ->   044
262856   <-   039
263577   ->   039
264091   <-   071
264644   ->   049
265071   <-   069
265543   ->   052
265974   <-   070
266399   ->   046
266885   <-   053
268273   <-   053
268716   ->   046
269316   <-   061
269854   ->   048
270369   <-   051
271217   ->   045
271454   <-   060
271965   ->   042
272604   <-   064
273070   ->   047
273607   <-   064
274008   ->   042
275716   ->   048
276233   <-   039
276956   ->   075
277299   <-   038
278001   ->   048


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
302276   <-   057
302790   ->   044
303341   <-   065
304110   ->   043
306290   ->   047
306502   <-   056
307649   <-   068
308635   <-   069
309064   ->   052
309489   <-   069
310023   ->   048
310555   <-   069
310880   ->   050
311437   <-   057
311983   ->   045
312534   <-   048
313265   ->   048
313732   <-   061
314457   ->   044
314713   <-   064
315234   ->   049
320345   ->   060
320733   <-   046
321399   ->   071
321712   <-   048
322352   ->   067
322696   <-   047
323335   ->   073
323673   <-   052
324181   ->   069
325379   ->   077
325724   <-   048
326301   ->   072
326682   <-   046
327321   ->   077
327668   <-   049
328265   ->   072
328601   <-   042
329281   ->   069
329630   <-   041
330373   ->   069
331657   ->   040
332315   <-   066
332782   ->   048
333299   <-   039
334067   ->   036
334874   <-   063
335388   ->   051
335856   <-   055
336414   ->   040
337006   <-   058
337566   ->   046
338073   <-   063
338500   ->   050
340060   ->   041
340609   <-   069
341016   ->   041
346740   ->   064


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
375324   ->   061
375703   <-   040
376468   ->   062
376867   <-   046
377477   ->   066
377815   <-   047
378414   ->   069
378757   <-   035
379527   ->   057
379907   <-   045
380506   ->   069
380847   <-   052
381465   ->   069
381806   <-   037
382575   ->   072
382913   <-   044
383557   ->   064


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
395181   <-   066
395890   ->   047
396142   <-   068
396569   ->   049
397042   <-   056
397614   ->   047
398083   <-   057
398536   ->   038
399941   ->   042
400498   <-   067
400985   ->   047
401413   <-   074
401884   ->   048
402436   <-   064
402867   ->   045
403377   <-   060
404100   ->   044
404377   <-   065
404910   ->   047
405424   <-   058
406533   <-   064
407835   <-   054
408394   ->   045
409003   <-   066
409500   ->   042
410825   ->   035
413897   ->   062
414275   <-   047
414912   ->   069
415263   <-   044
416004   ->   061
416370   <-   047
416946   ->   068
417333   <-   036
418138   ->   072
419415   ->   037
421081   ->   041
421614   <-   059
422134   ->   049
422637   <-   055
423236   ->   041
423749   <-   068
424213   ->   051
424641   <-   064


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
448048   ->   062
448434   <-   046
449034   ->   063
