Data:          2021-10-02_15_11_40
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        16

marcos:        06898 pontos / 093 golpes / 60.76 km/h
esquerdinha:   09019 pontos / 100 golpes / 66.26 km/h

Parcial:       15917 pontos
Desequilibrio: 00052 (-)
Quedas:        05236 (-)

FINAL:         10629 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
005776   ->   066
006555   <-   064
007091   ->   039
007857   <-   072
008287   ->   042
008968   <-   051
010653   <-   071
011036   ->   044
011680   <-   047
012319   ->   041
013125   <-   069
013425   ->   049
014197   <-   075
014534   ->   040
015351   <-   074
015730   ->   045
016733   ->   042
017501   <-   074
018056   ->   036
018867   <-   065
020277   <-   041
021020   ->   051
021578   <-   044
023307   <-   043
024027   ->   060
024548   <-   043
025184   ->   047
025996   <-   036
026784   ->   041
028488   ->   054
029046   <-   050
029645   ->   053
030195   <-   049
030963   ->   066
031388   <-   043
032155   ->   067
032627   <-   049
033315   ->   063
033780   <-   043
034553   ->   064
034995   <-   048
035679   ->   066
036126   <-   044
036888   ->   063
037316   <-   042
038128   ->   038
039024   <-   043
040780   <-   049
041523   ->   044


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
057458   <-   048
058143   ->   055
058658   <-   048
059323   ->   057
059791   <-   048
060486   ->   064
060920   <-   049
061556   ->   042
062281   <-   046
062945   ->   055
063455   <-   045
064157   ->   073
064546   <-   052
065185   ->   065
065608   <-   047
066295   ->   050
066909   <-   045
067634   ->   057
068360   ->   047


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
091147   <-   048
091822   ->   046
092425   <-   046
093151   ->   059
093595   <-   044
094491   ->   063
094884   <-   042
096673   <-   041
097394   ->   045
097993   <-   046
098461   <-   038
098781   ->   056
099292   <-   049
100829   <-   045
101531   ->   048
102172   <-   043
103689   <-   045
104326   ->   055
104861   <-   048
105484   ->   040
106294   <-   043
107890   <-   054
108485   ->   043
109125   <-   045
109853   ->   067
110285   <-   045
111008   ->   058
111518   <-   043
112246   ->   057
112716   <-   054
113351   ->   069
113820   <-   048
114549   ->   068
114935   <-   047
115653   ->   053
116214   <-   048
116893   ->   044
117581   <-   043
118429   ->   051
118986   <-   052
119586   ->   048
120183   <-   051
120860   ->   062
121331   <-   050
121993   ->   048
122588   <-   046
123318   ->   054
123916   <-   037
130742   <-   037
131550   ->   041
132228   <-   046
133708   <-   043
134428   ->   035
135253   <-   079
135649   ->   038
136416   <-   072
