Data:          2021-10-02_15_23_02
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      2
Quedas:        12

jaksom:        07277 pontos / 109 golpes / 57.80 km/h
evandro:       09339 pontos / 124 golpes / 61.07 km/h

Parcial:       16616 pontos
Desequilibrio: 00000 (-)
Quedas:        03490 (-)

FINAL:         13126 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
010357   <-   056
010971   ->   048
011398   <-   065
011823   ->   053
012381   <-   064
012893   ->   048
013320   <-   057
013789   ->   038
014387   <-   041
015023   ->   042
015579   <-   047
016174   ->   039
016730   <-   055
017245   ->   045
017762   <-   048
018354   ->   042
018908   <-   069
019332   ->   044
019866   <-   064
020331   ->   044
021658   ->   056
022061   <-   053
022601   ->   051
023068   <-   048
023625   ->   052
024093   <-   044
024690   ->   052
025159   <-   048
025755   ->   054
026225   <-   042
026841   ->   042
027440   <-   071
027864   ->   040
028552   <-   065
030088   <-   062
030532   ->   046
031041   <-   054
031554   ->   043
032068   <-   065
032492   ->   040
033072   <-   075
033497   ->   045
034007   <-   055
034463   ->   044
035007   <-   069
035525   ->   041


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
051994   <-   057
052507   ->   047
053786   ->   061
054169   <-   047
054831   ->   035
055515   <-   056
056068   ->   049
056520   <-   054
057030   ->   046
057589   <-   061
058059   ->   045
058569   <-   066
058995   ->   047
059460   <-   066
059891   ->   045
060399   <-   066
060824   ->   038
061427   <-   044
062063   ->   041
062575   <-   045
063859   <-   073
064234   ->   045
064832   <-   066
065305   ->   044


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
079752   <-   051
080301   ->   043
080858   <-   049
081392   ->   042
081947   <-   071
082329   ->   047
082862   <-   062
083372   ->   042
083892   <-   068
084271   ->   048
084864   <-   041
085593   ->   050
086060   <-   052
086620   ->   055
087024   <-   051
087624   ->   060
088030   <-   048
088665   ->   045
089180   <-   044
089772   ->   060
090240   <-   046
090800   ->   049
091315   <-   045
091890   ->   065
092315   <-   048
092892   ->   054
093323   <-   042
093931   ->   041
094532   <-   048
095062   ->   064
095533   <-   038
096174   ->   063
096560   <-   044
097158   ->   062
097559   <-   048
098138   ->   064


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
115630   <-   052
116167   ->   047
116679   <-   066
117102   ->   047
117570   <-   066
117994   ->   037
118726   <-   047
119326   ->   041
119896   <-   069
120324   ->   040
120900   <-   067
121289   ->   041
121926   <-   060
122393   ->   038
122992   <-   036
123551   ->   039
124195   <-   072
124633   ->   046
125147   <-   070
125571   ->   042
126127   <-   073
126504   ->   048
127024   <-   062
127522   ->   035
128113   <-   066
128584   ->   045


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
146525   <-   048
147200   ->   056
147630   <-   053
148316   ->   059
148660   <-   053
149258   ->   055
149852   <-   041
150259   ->   046
150809   <-   047
151361   ->   062
151794   <-   042
152410   ->   037
153158   <-   045
153732   ->   042
154414   <-   053
154992   ->   061
155421   <-   052
155971   ->   051
156399   <-   045
157059   ->   064
157402   <-   046
158026   ->   062
158401   <-   053
158942   ->   063
159327   <-   050
159877   ->   045
160391   <-   044
160991   ->   063
161364   <-   051
161927   ->   054
162309   <-   050
162868   ->   058
163267   <-   041
163911   ->   038
164507   <-   047
165082   ->   050
165593   <-   060
166062   ->   046
166560   <-   061
167028   ->   039
167661   <-   071
168049   ->   046
168562   <-   062
168993   ->   046
169497   <-   067
170670   <-   054
171136   ->   038
171760   <-   037
172426   ->   039
173019   <-   070
173401   ->   042


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
192159   ->   047
192366   <-   051
192946   ->   067
193288   <-   046


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
204443   <-   048
204993   ->   061
205428   <-   040
206169   ->   047
206813   <-   046
207454   ->   058
207833   <-   048
208430   ->   054
208862   <-   055
209434   ->   058
209774   <-   054
210370   ->   054
210759   <-   049
211397   ->   057
211955   <-   039
212528   ->   057
212919   <-   045
213529   ->   061
213921   <-   051
214453   ->   063
214831   <-   048
215428   ->   058
215812   <-   049
216405   ->   041
216922   <-   036
217694   ->   051
218160   <-   047


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
231767   <-   049
232308   ->   050
232901   <-   045
233627   ->   058
234018   <-   044
234653   ->   055
235033   <-   052
235593   ->   061
