Data:          2021-10-02_16_51_41
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      3
Quedas:        13

serginho:      08429 pontos / 095 golpes / 66.13 km/h
leo:           06101 pontos / 073 golpes / 64.39 km/h

Parcial:       14530 pontos
Desequilibrio: 00498 (-)
Quedas:        03368 (-)

FINAL:         10664 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
046087   <-   046
046857   <-   042
047577   ->   054
048052   <-   048
048727   ->   063
049202   <-   039
049927   ->   045
050592   <-   040
051037   <-   037
051287   ->   067
051807   <-   040
052467   ->   041
053152   <-   043
053812   ->   063
054237   <-   042
055052   ->   063
055517   <-   040
056181   ->   052
056667   <-   039
059167   ->   043
059977   <-   041
060617   ->   072
061037   <-   042
061767   ->   068
062197   <-   042
063007   ->   074
063347   <-   046
064117   ->   043
064797   <-   056
067737   <-   041
068342   ->   064
068807   <-   046
069557   ->   068
069947   <-   048
070688   ->   071


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
084532   <-   057
084937   ->   041
085657   <-   040
086347   ->   041
086902   <-   052
090117   <-   044
090677   ->   041
091487   <-   064


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
109682   <-   063
110047   ->   046
110707   <-   041
111347   ->   042


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
128052   ->   050
128647   <-   042
129367   ->   058
129802   <-   055
131337   <-   040
132062   ->   063
133297   ->   057
133767   <-   038
134557   ->   064
135007   <-   036
135947   ->   053
136407   <-   048
137137   ->   058
137607   <-   045
138287   ->   048
138887   <-   047
139507   ->   069
140022   <-   042
140657   ->   041
141472   <-   039
141897   <-   038
142197   ->   072
142537   <-   043
143347   ->   067
143687   <-   042
144542   ->   040
145182   <-   060
146507   <-   054
147062   ->   038
147702   <-   063
148127   ->   044
148767   <-   067
149237   ->   041
149827   <-   064
150337   ->   044
150977   <-   051
151497   ->   046
152117   <-   069
152587   ->   037
153267   <-   060
153867   ->   036
154527   <-   070
154968   ->   047
155827   <-   067
156252   ->   035
157002   <-   054
157557   ->   042
158147   <-   056
159917   ->   038
160927   ->   044
161502   <-   048
162097   ->   046
162567   <-   061
163037   ->   040
163787   <-   046
164297   ->   041
165662   ->   044
169227   ->   066
169627   <-   036
171337   <-   041
172057   ->   070
173452   ->   045
173997   <-   045
174597   ->   038
175286   <-   036
176067   ->   060


