Data:          2021-10-02_17_02_21
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      9
Quedas:        12

marcelo:       07877 pontos / 092 golpes / 65.32 km/h
clevinho:      08147 pontos / 102 golpes / 63.06 km/h

Parcial:       16024 pontos
Desequilibrio: 00000 (-)
Quedas:        03366 (-)

FINAL:         12658 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
025166   ->   045
026407   ->   042
026917   <-   042
028576   <-   073
028882   ->   040
029712   <-   054
031456   <-   067
031816   ->   036
032587   <-   043
033356   ->   036
036786   ->   042
037862   ->   041
039227   ->   065
039567   <-   046
040186   ->   064
040607   <-   046
041247   ->   065
041681   <-   045
042276   ->   053
043831   ->   067
044177   <-   045
044856   ->   068
045216   <-   047
045862   ->   067
046267   <-   050
046802   ->   053
048227   ->   070
048527   <-   040
049042   ->   035
050697   ->   076
051087   <-   040
051726   ->   072
052112   <-   047
052746   ->   047
053347   <-   039
054142   ->   060
054551   <-   050
055207   ->   061
055586   <-   045
056266   ->   069
056657   <-   046
057422   ->   057
057722   <-   040
058467   ->   049
060217   ->   064
060602   <-   047
061327   ->   056
061967   <-   041
062437   ->   035
063927   ->   037
065082   ->   041
066229   ->   042
067047   <-   067
067277   ->   035


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
087332   <-   068
088977   ->   046
091687   ->   039
092837   ->   046
093407   <-   055
093712   ->   041
094587   <-   062
094952   ->   041
097552   ->   035
098637   ->   042
099347   <-   058
099837   ->   036
100447   <-   057
102347   ->   056
102862   <-   045
103587   ->   067
103886   <-   051
104506   ->   055
105017   <-   049
105587   ->   067


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
132882   <-   062
133307   ->   042
133947   <-   049
134542   ->   042
135142   <-   072
135697   ->   047
136207   <-   061
136657   ->   038
137447   <-   070
137786   ->   045
138472   <-   037
139107   ->   037
139856   <-   066
140412   ->   037
141027   <-   069
141397   ->   044
142072   <-   061
143332   <-   057
143803   ->   036
145297   ->   073
145657   <-   046
146257   ->   055
146677   <-   039
147452   ->   075
147767   <-   044
148581   ->   063
149747   ->   052
151157   ->   077
152267   ->   039
154237   <-   068
154832   ->   043


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
168807   <-   067
170147   <-   070
170697   ->   044
171256   <-   061
171687   ->   046
172197   <-   070
172617   ->   043
173307   <-   062
173817   ->   042
175267   ->   052
176607   ->   066
177077   <-   047
177657   ->   059
178397   <-   044
178697   ->   067
179132   <-   037
179896   ->   055
180367   <-   043
181007   ->   067
181387   <-   048
182097   ->   067
182482   <-   049
183139   ->   050
184627   ->   072
184976   <-   044
185682   ->   066
187107   ->   071
187447   <-   049


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
199227   <-   067
199697   ->   042
201402   ->   041
202047   <-   066
202492   ->   043
203087   <-   065
204282   <-   064
204647   ->   048
205242   <-   055
205732   ->   041
207142   ->   041
207817   <-   063
208337   ->   043
208867   <-   067
209337   ->   042
209936   <-   068
210407   ->   038
211187   <-   055
211707   ->   042
212261   <-   057
212732   ->   036
213372   <-   039
214232   ->   068
214627   <-   046
215267   ->   068
215647   <-   044
216252   ->   065
217637   ->   055
218107   <-   061
218662   ->   038
219257   <-   062
220497   <-   068
220878   ->   043
221522   <-   063
221947   ->   042
222627   <-   064
223057   ->   038
223847   <-   063
224307   ->   041
224872   <-   069
225337   ->   046
226656   ->   064
227047   <-   047
227772   ->   037
228747   <-   035
229392   ->   067
230757   ->   058
231157   <-   044
231887   ->   071
232187   <-   046
232847   ->   063
233247   <-   047
233867   ->   069
234232   <-   048
234917   ->   058
235282   <-   045
235897   ->   065
236332   <-   049
236942   ->   046
237576   <-   036
238382   ->   067
238737   <-   046
239347   ->   064
239782   <-   044
240422   ->   066
240807   <-   056
241407   ->   065
241827   <-   038
242577   ->   072
242957   <-   047
243597   ->   065
243981   <-   048
244582   ->   063
244987   <-   053
245582   ->   066


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
262137   <-   063
262607   ->   039
263032   <-   057
263932   ->   036
264567   <-   072
265127   ->   042
265637   <-   070
266107   ->   039
266682   <-   072
267367   ->   038
267957   <-   066
268257   ->   035
269067   <-   066
269582   ->   039
270224   <-   070
270652   ->   042
271207   <-   072
271717   ->   043
272423   ->   037
273097   ->   036
273807   <-   070
274532   ->   040
275302   <-   062
275922   <-   038
277257   <-   043
278077   ->   069
278417   <-   040
279887   ->   038
280928   ->   054
281402   <-   048
281997   ->   062
282377   <-   049
283087   ->   074
283431   <-   057
284067   ->   074
284431   <-   047
285067   ->   069
285457   <-   046
286137   ->   070
286477   <-   045
287157   ->   073
287502   <-   046
288122   ->   070
288507   <-   043
289187   ->   043
291662   <-   071
292177   ->   039
292817   <-   060
293287   ->   036
294047   <-   040
295697   <-   073
296117   ->   046
296592   <-   044
298357   <-   076


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
315172   <-   059
315827   ->   041
316562   ->   039
316767   <-   045
317347   ->   042
318247   <-   068
318702   ->   038
319397   <-   065
320697   <-   069
321167   ->   039
321807   <-   065
322167   ->   039
323017   <-   068
324177   <-   054
324687   ->   036
325372   <-   062
325747   ->   048
326477   <-   065
326947   ->   048
329252   <-   067
332817   <-   045
333562   ->   064
333987   <-   051
334537   ->   065
335007   <-   037
335757   ->   069
336137   <-   045
336777   ->   068
337167   <-   045
337852   ->   069
338187   <-   051
338832   ->   067
339217   <-   050
