Data:          2021-10-02_17_25_44
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      15
Quedas:        17

alcir:         08562 pontos / 105 golpes / 63.69 km/h
ivam:          08277 pontos / 115 golpes / 59.59 km/h

Parcial:       16839 pontos
Desequilibrio: 00000 (-)
Quedas:        06063 (-)

FINAL:         10776 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
033326   ->   049
034387   ->   058
035016   <-   038
035477   ->   048
035907   <-   051
036567   ->   064
037206   <-   042
037507   ->   063
037886   <-   042
038527   ->   061
039791   ->   051
040297   <-   036
040986   ->   048
041366   <-   048
042332   <-   053
042967   ->   065
044137   ->   055
044572   <-   040
045254   ->   052
046446   ->   060
048196   ->   037
048877   <-   045
049459   ->   061
049897   <-   049
050502   ->   063
050887   <-   050
051497   ->   061
053556   <-   039
054257   ->   072
054636   <-   044
055296   ->   071
055621   <-   045
056296   ->   063
056707   <-   042
057392   ->   079
057816   <-   035
058586   ->   040
059736   ->   052
060077   <-   057
060717   ->   042
061741   ->   048
062170   <-   075
062726   ->   041
063827   ->   042
064807   ->   051
065242   <-   042
065966   ->   045
066482   <-   047
067157   ->   063
067546   <-   047
068267   ->   045
068906   <-   046
069572   ->   067
069957   <-   051
070556   ->   074
070847   <-   059
071486   ->   070
071876   <-   052
072432   ->   059
072896   <-   044
073626   ->   080


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
101232   ->   046
101617   <-   063
102211   ->   042
104217   ->   047
104637   <-   052
105277   ->   037
105816   <-   044
106587   ->   041
107608   ->   052
108121   <-   054
109267   <-   070
109697   ->   038


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
121497   ->   046
121746   <-   054
122346   ->   040
122887   <-   049
123652   ->   038
124096   <-   048
124736   ->   038
125336   <-   069
126576   <-   048
127897   <-   045
128517   ->   042
131162   <-   050
131416   ->   045
132356   <-   053
132737   ->   041
133172   <-   060
133617   ->   038
137901   ->   038
138537   <-   043
139267   ->   066
139611   <-   054
140157   ->   041


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
162777   ->   060
163161   <-   051
163867   ->   059
164206   <-   036
165016   ->   052
165446   <-   046
166091   ->   066
166447   <-   045
168261   ->   067
168597   <-   061
169157   ->   046
169712   <-   046
170351   ->   066
170686   <-   056
172547   <-   043
173017   ->   070
173357   <-   048
175017   <-   037
175922   ->   057
176257   <-   049
176772   ->   066
177157   <-   044
177747   ->   049
178352   <-   050
179097   ->   066
179312   <-   047
179931   ->   068
180267   <-   051
180826   ->   071
181167   <-   043
181871   ->   067
182596   <-   039
182937   ->   063
183357   <-   051
183957   ->   068
184346   <-   052
184987   ->   040
186182   ->   050
186547   <-   047
187396   ->   038
187906   <-   036


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
207087   <-   061
207637   ->   041
208900   ->   040


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
229317   <-   058
229852   ->   045
230320   <-   060
230917   ->   036
231512   <-   073
231977   ->   047
232517   <-   059
233926   <-   049
234392   ->   038
235247   <-   041
235646   ->   043
236291   <-   073
236757   ->   042
237266   <-   065
237827   ->   043
238342   <-   073
238727   ->   050
239152   <-   049
239792   ->   042
240387   <-   067
240902   ->   047
241326   <-   072
241797   ->   049
242307   <-   063
243292   <-   047
243929   ->   039
244677   <-   047
245272   ->   042
245787   <-   072
246377   ->   054
246722   <-   057
247356   ->   039
247877   <-   058
248467   ->   041
249117   <-   065
249497   ->   049
250007   <-   048
250562   ->   039
251117   <-   050
251717   ->   043
252307   <-   071
252802   ->   042
253317   <-   062
254637   <-   057
255187   ->   041
255747   <-   060
256297   ->   044
256857   <-   080
257256   ->   045
257857   <-   045
258456   ->   039
259139   <-   052
260377   <-   044
261097   ->   059
261487   <-   054
262127   ->   066
264857   <-   042
265497   ->   066
265836   <-   049
266486   ->   071
266826   <-   050
267417   ->   074


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
290587   <-   060
291142   ->   045
291652   <-   056
292206   ->   035
292867   <-   054
293382   ->   046
293887   <-   072
295026   <-   045
295577   ->   042
296126   <-   050
