Data:          2021-10-03_07_59_38
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        0

Atleta 1:      06890 pontos / 089 golpes / 61.68 km/h
Atleta 2:      06310 pontos / 079 golpes / 62.68 km/h

Parcial:       13200 pontos
Desequilibrio: 00000 (-)
Quedas:        00000 (-)

FINAL:         13200 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
003160   ->   069
004010   <-   064
004345   ->   052
005040   <-   037
005415   ->   080
005940   <-   044
007790   ->   055
008385   <-   071
008790   ->   041
009470   <-   072
010190   <-   038
010965   ->   049
011520   <-   071
011950   ->   049
012650   ->   037
014975   ->   044
015720   <-   070
016270   ->   043
017040   <-   043
017645   ->   066
018750   ->   066
019260   <-   039
022800   <-   065
023360   ->   060
023870   <-   048
024475   ->   072
025965   ->   051
026580   <-   052
027330   ->   040
028710   ->   044
030460   ->   046
030700   <-   039
031590   ->   062
032040   <-   047
032810   ->   042
033495   <-   068
034090   ->   036
034775   <-   058
035330   ->   048
035970   <-   067
036410   ->   053
037010   <-   060
039915   <-   041
040210   ->   064
041240   <-   044
041450   ->   081
041985   <-   043
042625   ->   071
043000   <-   053
043690   ->   060
044545   <-   043
044970   ->   049
045540   <-   051
046200   ->   064
046763   <-   041
047510   ->   077
047930   <-   041
048745   ->   054
050490   ->   036
051050   <-   069
051580   ->   069
052010   <-   041
052860   ->   046
054465   ->   036
055510   <-   073
056960   <-   035
057920   ->   041
058580   <-   075
062590   <-   046
063232   ->   069
063703   <-   052
064491   ->   045
065069   <-   079
065493   ->   061
066962   ->   086
067352   <-   042
069100   <-   080
069506   ->   053
078205   ->   044
078591   <-   046
079361   ->   041
080042   <-   063
080493   ->   047
081624   ->   049
082136   <-   062
082732   ->   041
086293   <-   041
087233   ->   044
087572   <-   045
088087   ->   047
088643   <-   072
089153   ->   047
089667   <-   074
090134   ->   039
090733   <-   075
091154   ->   039
098435   ->   053
099373   <-   054
099673   ->   047
102104   ->   050
102613   <-   050
103212   ->   067
103725   <-   054
105303   ->   046
106070   ->   048
106754   <-   068
107501   ->   052
110655   <-   042
111383   ->   048
112812   ->   067
113236   <-   047
113922   ->   068
114392   <-   047
115074   ->   073
115475   <-   053
116073   ->   070
116567   <-   050
117143   ->   065
118637   ->   051
118974   <-   050
119681   ->   047
120213   <-   049
120984   ->   065
121406   <-   047
122092   ->   055
122711   <-   050
123304   ->   072
128620   ->   049
129260   <-   069
129854   ->   051
131010   ->   047
131736   <-   069
132269   ->   053
132973   <-   054
133395   ->   053
135722   ->   051
136451   <-   070
136724   ->   058
137343   <-   052
137943   ->   072
138412   <-   053
139475   ->   039
139992   <-   055
140776   ->   049
141932   ->   071
142443   <-   044
143273   ->   073
143745   <-   053
144471   ->   076
144940   <-   049
145623   ->   080
146046   <-   052
147005   ->   037
147500   <-   069
148052   ->   050
148653   <-   047
149337   ->   057
149886   <-   068
150552   ->   058
150893   <-   050
151490   ->   065
152001   <-   049
152725   ->   063
153218   <-   044
153981   ->   050
155393   ->   039
156033   <-   040
156925   ->   041
157661   <-   076
158104   ->   050
158722   <-   059
159443   ->   044
160002   <-   071
160556   ->   045
161110   <-   047
161793   ->   061
162306   <-   036
163393   ->   052
164103   ->   042
166824   ->   048
167170   ->   044
195031   ->   044
195753   ->   042
196052   <-   043
196781   ->   047
197503   <-   069
197891   ->   052
198595   <-   056
199144   ->   049
199511   <-   073
200236   <-   042
201964   ->   062
202455   <-   064
203074   ->   067
203821   <-   054
204072   ->   064
204542   <-   051
205231   ->   062
207912   <-   036
216684   ->   040
217750   <-   052
218155   ->   050
219133   ->   056
219650   <-   051
220887   <-   043
221376   ->   070
223274   ->   043
223831   <-   045
226045   ->   039
226393   <-   043
228354   ->   050
228825   <-   042
229676   ->   055
230104   <-   046
230722   ->   079
245693   ->   044
246081   <-   048
246676   ->   049
247302   <-   068
247723   ->   044
248361   <-   071
249474   <-   042
250155   ->   047
250792   <-   068
251523   ->   051
251820   <-   076
252162   ->   052
252755   <-   077
253183   ->   051
255743   <-   043
256361   ->   053
257005   <-   071
258243   <-   066
260012   ->   050
261357   <-   058
261843   ->   050
264043   ->   048
264831   <-   059
265302   ->   058
265773   <-   055
266494   ->   061
267305   ->   041
267869   ->   052
268394   <-   048
269075   ->   061
269715   <-   052
270253   ->   054
270975   <-   038
271703   ->   071
272130   <-   042
272941   ->   069
273239   <-   036
274006   <-   044
274690   ->   077
276563   <-   048
277633   <-   046
278061   <-   041
278611   ->   061
278824   <-   050
279576   ->   059
280046   <-   050
280764   ->   067
281193   <-   046
283160   ->   063
283774   <-   055
284593   ->   049
285013   <-   062
286295   <-   069
286913   ->   048
287426   <-   071
287938   ->   061
289362   ->   069
290093   <-   035
290838   ->   048
291263   <-   065
291923   ->   048
292397   <-   054
293033   ->   048
293420   <-   056
294162   ->   048
294612   <-   074
294995   ->   054
295550   <-   069
297388   ->   047
297772   <-   079
299204   <-   062
300652   <-   047
301376   ->   058
301845   <-   049
302525   ->   074
302956   <-   048
303638   ->   063



