Data:          2021-10-03_09_14_15
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      1
Quedas:        15

patricia:      08216 pontos / 100 golpes / 63.98 km/h
didi:          09284 pontos / 116 golpes / 62.71 km/h

Parcial:       17500 pontos
Desequilibrio: 00000 (-)
Quedas:        05250 (-)

FINAL:         12250 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
023567   ->   058
024041   <-   045
024682   ->   060
025067   <-   042
025676   ->   043
026217   <-   044
026936   ->   068
029327   <-   058
029796   ->   041
030441   <-   066
030912   ->   035
031756   <-   047
032396   ->   035
033127   <-   072
033556   ->   042
034196   <-   068
034711   ->   043
035262   <-   072
037056   <-   043
038826   <-   041


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
049506   ->   055
049977   <-   049
050667   ->   069
051307   <-   039
051777   ->   064
052241   <-   049
052736   ->   055
053332   <-   049
054006   ->   043
054696   <-   037
056487   <-   068
056826   ->   039
057746   <-   055


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
068517   ->   060
068946   <-   057
069927   <-   050
070481   ->   066
070906   <-   054
071487   ->   065
071866   <-   051
072397   ->   041
073086   <-   042
073726   ->   052
074236   <-   044
075027   ->   065
075562   <-   036
076157   ->   073
076557   <-   051
077117   ->   071
077496   <-   047
078136   ->   071
078480   <-   045
079096   ->   063
079886   <-   041
080192   ->   040
081342   ->   047
081897   <-   071
082197   ->   041
082942   <-   038
083627   ->   036
084327   <-   069
084796   ->   042
085397   <-   074
085822   ->   046
086377   <-   068
086757   ->   037
087617   <-   048
088147   ->   040
088917   <-   039
089507   ->   060
090786   ->   039
091562   <-   042
092142   ->   054
092691   <-   038
093462   ->   067
093837   <-   055
095337   <-   047
096056   ->   069
096447   <-   056
097016   ->   071
097406   <-   050
098027   ->   069
098411   <-   050
098987   ->   071
099367   <-   048
102461   <-   066
102847   ->   041
103487   <-   072
103867   ->   046
104427   <-   062
104897   ->   039
105622   <-   070
106086   ->   043
106602   <-   044
107386   ->   067
107862   <-   035
108541   ->   042
109182   <-   040
109866   ->   047
110401   <-   047
111036   ->   061
111467   <-   048
112062   ->   069
112446   <-   052
113046   ->   061


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
129557   ->   056
130067   <-   047
130666   ->   056
131087   <-   040
131837   ->   037
134272   <-   040
135146   ->   058
135357   <-   049
135956   ->   056
136767   <-   035
137511   ->   043
138111   ->   063
138667   <-   048
139732   <-   039
140407   ->   058
140857   <-   041


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
151857   ->   062
152337   <-   044
153017   ->   065
153407   <-   044
154047   ->   057
155326   ->   036
156386   ->   046
157496   ->   044
158101   <-   074
158357   ->   039
159036   <-   074
159417   ->   041
160126   <-   061
160637   ->   042
161597   ->   045
163050   ->   036
164032   <-   040
164517   ->   065
165077   <-   045
165547   ->   065
166656   ->   038
167337   <-   072
168576   <-   071
168997   ->   036
169676   <-   074
170153   ->   047
170617   <-   078
171047   ->   048
171777   <-   036
172327   ->   036
172927   <-   042
173651   ->   063
174246   <-   046
174656   ->   070
175017   <-   045
175637   ->   064
176056   <-   051
177087   <-   047
177577   ->   071
178086   <-   050
178517   ->   064
178987   <-   059


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
194787   ->   062
195217   <-   046
195861   ->   064
196306   <-   054
196947   ->   071
197312   <-   058
197907   ->   067
198252   <-   052
198847   ->   071
199297   <-   050
199847   ->   042
200617   <-   042
201152   ->   041
201847   <-   070
202322   ->   046
202922   <-   060
203392   ->   042
204387   ->   051
