Data:          2021-10-03_09_42_22
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      2
Quedas:        15

douglas:       10872 pontos / 122 golpes / 66.69 km/h
simone:        10674 pontos / 139 golpes / 61.71 km/h

Parcial:       21546 pontos
Desequilibrio: 00000 (-)
Quedas:        06464 (-)

FINAL:         15082 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
150935   <-   052
151540   ->   045
152134   <-   062
153245   <-   045
154460   <-   056
155060   ->   044
155485   <-   063
156084   ->   045
156484   <-   059
157044   ->   047
157490   <-   069
158044   ->   046
158464   <-   047
159775   <-   052
160305   ->   043
160905   <-   068
161375   ->   048
161814   <-   065
162250   ->   042
162804   <-   044
163485   ->   041
164085   <-   069
164549   ->   049
165014   <-   069
165449   ->   047
165960   <-   067
166447   ->   047
166914   <-   069
167348   ->   046
167855   <-   052


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
178525   ->   047
179040   <-   040
179715   ->   052
180199   <-   045
180975   ->   065
181365   <-   044
181975   ->   067
182325   <-   041
183065   ->   039


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
195615   ->   046
196125   <-   044
196745   ->   061
197125   <-   053
197834   ->   045
199135   ->   043
200025   <-   036
200604   ->   046
201115   <-   047
201794   ->   058
202225   <-   042
202905   ->   062
203272   <-   051
203904   ->   069
204255   <-   048
204872   ->   068
205215   <-   052
205855   ->   069
206195   <-   047
206785   ->   070
207135   <-   047
207690   ->   060
208095   <-   041
208800   ->   067
209175   <-   043
209815   ->   071
210165   <-   048
210755   ->   070
211100   <-   037
211885   ->   065
212230   <-   047
212829   ->   071
213164   <-   046
213785   ->   070
214125   <-   046
214749   ->   069
215085   <-   046
215685   ->   070
216030   <-   050
216585   ->   071
216924   <-   045
217545   ->   073
217884   <-   051
218435   ->   070
219719   ->   071
220105   <-   041
220745   ->   069
221129   <-   044
221765   ->   071
222105   <-   050
222615   ->   066
223025   <-   043
223705   ->   045
225174   ->   042
225715   <-   064
226135   ->   042
226780   <-   054
227415   ->   046
227864   <-   070
228375   ->   046
228810   <-   067


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
244810   <-   054
245364   ->   043
245875   <-   058
246375   ->   047
246834   <-   048
247425   ->   044
247990   <-   063
248415   ->   037
249075   <-   036
249674   ->   043
250485   <-   061
251125   ->   045
251335   <-   067
251890   ->   042
252874   ->   045
253334   <-   069
253725   ->   044
254325   <-   068
254835   ->   047
255175   <-   070
255690   ->   048
256114   <-   062
257055   <-   069
257524   ->   049
258035   <-   067
258555   ->   038
259059   <-   075
259735   ->   045
259955   <-   074
260424   ->   048
260830   <-   074
261215   ->   047
262984   <-   062
263525   ->   046
263964   <-   057
264604   ->   047
265075   <-   068
265415   ->   047
266485   ->   045
266945   <-   068
267464   ->   048
268445   ->   039
268915   <-   041
269640   ->   038
271385   ->   055
271860   <-   043
272480   ->   065
272860   <-   043
273460   ->   043
273995   <-   038
274695   ->   069
275125   <-   045
275715   ->   066
276105   <-   045
276695   ->   065
277895   ->   071
278240   <-   043
278875   ->   042
280375   ->   071
280735   <-   048
281305   ->   069
281695   <-   040
282375   ->   056
282845   <-   041
283529   ->   060
285745   <-   042
286444   ->   041
286985   <-   043
287705   ->   041
288244   <-   067
288625   ->   045
289225   <-   039
289865   ->   038
290545   <-   059
291184   ->   039
292085   ->   035
292785   <-   059
293255   ->   038
294005   <-   063
295260   <-   061


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
326025   <-   056
326575   ->   045
327090   <-   054
327625   ->   046
329395   ->   036
330080   <-   070
330525   ->   049
331845   ->   044
332385   <-   059
332976   ->   044
333535   <-   058
334045   ->   046
334475   <-   067
334984   ->   041
335455   <-   065
336005   ->   047
336414   <-   069
336925   ->   051
337305   <-   064
337820   ->   045
338250   <-   072
338674   ->   051
339165   <-   060
339765   ->   043
340190   <-   054
340765   ->   048
341234   <-   046
341945   ->   044
342390   <-   069
342855   ->   049
343325   <-   065
343755   ->   046
344265   <-   068
344735   ->   043
345244   <-   057
345755   ->   036
346485   <-   064
346945   ->   049
347419   <-   051
348020   ->   047
348445   <-   071
348975   ->   046
349405   <-   070
349895   ->   049
350325   <-   069
350750   ->   042
351344   <-   069
351815   ->   046
352225   <-   066
352774   ->   046
354304   ->   045
354825   <-   042
355515   ->   063
355905   <-   047
356465   ->   071
356830   <-   048
357425   ->   044
358065   <-   040
358750   ->   069
359135   <-   043
359745   ->   068
360135   <-   046
360684   ->   064
361115   <-   044
361760   ->   066
362134   <-   041
362779   ->   068
363165   <-   045
363785   ->   072
364105   <-   049
364701   ->   061
365125   <-   041


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
388545   ->   050
389065   <-   042
389705   ->   057
390130   <-   044
390764   ->   069
391105   <-   050
391745   ->   066
392095   <-   048
392685   ->   069
393035   <-   048
393610   ->   070
393945   <-   038
394675   ->   066
395060   <-   045
395634   ->   071
395975   <-   049
396575   ->   070
396875   <-   047
397470   ->   071
397805   <-   043
398465   ->   063
398855   <-   048
399455   ->   069
399795   <-   047
400350   ->   070
400685   <-   038
401454   ->   072
401755   <-   048
402334   ->   071
402674   <-   038
403395   ->   063
404695   ->   069
405045   <-   041
405745   ->   068
406130   <-   044
406765   ->   069
407115   <-   046
407705   ->   069
408095   <-   044
408695   ->   054
412405   <-   060
412995   ->   043
413425   <-   061
413895   ->   043
414495   <-   055
415050   ->   044
415515   <-   070
415895   ->   048
416945   ->   039
417494   <-   059
418035   ->   044
421315   ->   065
421705   <-   041
422345   ->   066
422765   <-   046
423325   ->   066
423750   <-   046
424304   ->   070
424665   <-   044
425310   ->   066
426440   ->   067
426825   <-   042
427465   ->   069
427805   <-   039
428445   ->   044


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
547245   <-   055
547825   ->   045
548295   <-   063
548765   ->   047
549215   <-   069
549635   ->   041
550325   <-   048
551025   ->   042
551495   <-   070
551965   ->   044
552435   <-   070


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
560455   <-   060
560925   ->   042
561525   <-   060
562035   ->   045
562525   <-   060
563210   ->   044
563550   <-   068
564125   ->   043
564510   <-   070
564810   ->   047


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
579355   ->   047
579865   <-   042
580505   ->   067
580895   <-   042
581685   ->   065
582065   <-   045
582750   ->   045
583245   <-   049
