Data:          2021-10-03_10_06_59
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        10

cris:          09189 pontos / 106 golpes / 65.67 km/h
bida:          09723 pontos / 125 golpes / 62.08 km/h

Parcial:       18912 pontos
Desequilibrio: 00000 (-)
Quedas:        02837 (-)

FINAL:         16075 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
050439   <-   046
051015   ->   061
051526   <-   049
052017   ->   061
052529   <-   046
053042   ->   060
053560   <-   049
054151   ->   069
055324   ->   066
055794   <-   036


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
062471   ->   058
063004   <-   052
063516   ->   066
063926   <-   051
064500   ->   053
065029   <-   049
065539   ->   068
065908   <-   055
066501   ->   043
067271   <-   038
067996   ->   053
068466   <-   040
069149   ->   068
069679   <-   047
070193   ->   068
070621   <-   062
071195   ->   066
071625   <-   045
072348   ->   061
072729   <-   048
073390   ->   051
073906   <-   035
074739   ->   072
075122   <-   062
075633   ->   051


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
091309   <-   067
091719   ->   041
092397   <-   070
092894   ->   045
093405   <-   064
093876   ->   041
094471   <-   070
094855   ->   043
095449   <-   068
095878   ->   036
096537   <-   058
097009   ->   039
097607   <-   064
100466   <-   064
100889   ->   039
101528   <-   066
102726   <-   069
103879   <-   069
104306   ->   041
104946   <-   058
105372   ->   040
106009   <-   071
107313   <-   072
108658   <-   063
109128   ->   042
109767   <-   068
110192   ->   043
110791   <-   068
111218   ->   035
111814   <-   037
114738   <-   064
115123   ->   044
115697   <-   061
118300   <-   054
118770   ->   036
119537   <-   069
119922   ->   043
120498   <-   063
120925   ->   039
121608   <-   067
121949   ->   038
122674   <-   069
123058   ->   043
123608   <-   066
124058   ->   041
124614   <-   066
125042   ->   042
125681   <-   064
126066   ->   040
126749   <-   065
127179   ->   039
127816   <-   068
128198   ->   042
128796   <-   064
130009   <-   040
132548   ->   067
132935   <-   039
135494   ->   050
136749   ->   072
137095   <-   036
138648   <-   042
139293   ->   047
140679   ->   052
141233   <-   050
141789   ->   064
142257   <-   053
142809   ->   074
