Data:          2021-10-03_10_31_30
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        17 (18-1)

manga:         07435 pontos / 095 golpes / 62.53 km/h
neyde:         06886 pontos / 111 golpes / 55.74 km/h

Parcial:       14321 pontos
Desequilibrio: 00000 (-)
Quedas:        05156 (-)

FINAL:         09165 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
015239   <-   060
015798   ->   044
016179   <-   051
016737   ->   044
017165   <-   061
018249   <-   054
019126   <-   049
019644   ->   037
020127   <-   057
020683   ->   043


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
030708   <-   057
031178   ->   042
031734   <-   052
032160   ->   041
033439   ->   038
034230   <-   049
034550   ->   042
035082   <-   045
036320   <-   058
036874   ->   038
037344   <-   043
038091   ->   059
038474   <-   043
039070   ->   037
039584   <-   044
040178   ->   058
040607   <-   041
041248   ->   057
041674   <-   044
042359   ->   064
042738   <-   044
043378   ->   053
043893   <-   042
044576   ->   056
045045   <-   042
045749   ->   057
046133   <-   047
046795   ->   054
047286   <-   042
047925   ->   064
048312   <-   041
048969   ->   055
049440   <-   041
050187   ->   061
050613   <-   044
051276   ->   058
051659   <-   041
052341   ->   053
053686   ->   061
054068   <-   044
054667   ->   059
055115   <-   044
055710   ->   062
056139   <-   043
056736   ->   064
057163   <-   043
057799   ->   063
058186   <-   040
059786   <-   042
060469   ->   041
060939   <-   056
061448   ->   041
062155   <-   051
062667   ->   039
063307   <-   056
063776   ->   045
064203   <-   050
064778   ->   041
065248   <-   050
065801   ->   039


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
080864   <-   051
081376   ->   043
082977   <-   051
083446   ->   041
083957   <-   058
084339   ->   041
084896   <-   038
085495   ->   040
086006   <-   056
086474   ->   043
086944   <-   048
087539   ->   041
088032   <-   049
088460   ->   043
088929   <-   037
089888   ->   039
090443   <-   040
091039   ->   047
091637   <-   044
092320   ->   066
092704   <-   049
093388   ->   052
093768   <-   043
094389   ->   041
095031   <-   044
095628   ->   060
096053   <-   045
096630   ->   062
097056   <-   044
097653   ->   062
098080   <-   044
098678   ->   063
099079   <-   042
099719   ->   045


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
117149   <-   058
117770   ->   041
118197   <-   057
119200   <-   057
120139   <-   055
120566   ->   041
121555   ->   039
122079   <-   055
122550   ->   040
122998   <-   058
124448   ->   043
125439   ->   040
125898   <-   053
126369   ->   041
126966   <-   036
127605   ->   040
128097   <-   063
128566   ->   042
128988   <-   051
129463   ->   039
130017   <-   062


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
140490   <-   058
140919   ->   045
142817   <-   047
143328   ->   036


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
157984   <-   055
158519   ->   042
159968   ->   064
160267   <-   042
160866   ->   042
161589   <-   038
162230   ->   063
163424   ->   064
163767   <-   042


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
174838   <-   055
175264   ->   040
175798   <-   041
176907   <-   054
177887   <-   060
178738   <-   057
179852   <-   057
180300   ->   043
180721   <-   060
181088   ->   039


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
190008   <-   052
190475   ->   042
191819   ->   040
192459   <-   047
192988   ->   039
193589   <-   057
194100   ->   044
194568   <-   058
195509   <-   049
196064   ->   045
197150   ->   042
197770   <-   057
198219   ->   036
199688   ->   041
200373   <-   036
201139   ->   060
201443   <-   045
202166   ->   067
202507   <-   041
203424   ->   045
204576   ->   036
205171   <-   042
205856   ->   058
206240   <-   047
206880   ->   063
207264   <-   044
207859   ->   052
208288   <-   039
208907   ->   036
209547   <-   038
210270   ->   044
210763   <-   059
211274   ->   042
212809   <-   059
213237   ->   039
213707   <-   038
214388   ->   038
214902   <-   054
215456   ->   041
215921   <-   051
216480   ->   043
216907   <-   057
217376   ->   038
217969   <-   057
219084   <-   035
219829   ->   064
220189   <-   045
220788   ->   066
221169   <-   035
221901   ->   065
222240   <-   045
222859   ->   063
223264   <-   047
223818   ->   065
224204   <-   048
225569   <-   042
226252   ->   038
226784   <-   043
227381   ->   038
227869   <-   061
228338   ->   040
228811   <-   054
231008   ->   038
231627   <-   054
232097   ->   037
232714   <-   059


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
246259   <-   055
246858   ->   037
247372   <-   055
250293   ->   035
250889   <-   053
252769   <-   040
253835   <-   060
254304   ->   043
258784   ->   060
259171   <-   043
259765   ->   055
260237   <-   044
260918   ->   058
261344   <-   041
261984   ->   060
262325   <-   044
262919   ->   064
263329   <-   045
263883   ->   066
264225   <-   044
264907   ->   064


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
279648   <-   051
280669   <-   062
281139   ->   043
281632   <-   050
282187   ->   038
282721   <-   065


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
295414   <-   061
296395   <-   058
298933   ->   039
299878   ->   041
300448   <-   044
300978   ->   041
301409   <-   064
302389   <-   045


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
314814   <-   048
315378   ->   044
315765   <-   051
316321   ->   045
316747   <-   063
317708   <-   063
318818   <-   054
319542   <-   058
320566   <-   057
321036   ->   042
321506   <-   055
322379   <-   055
322889   ->   045
323318   <-   056
324256   <-   061
324704   ->   045
325109   <-   051
325536   ->   035
326306   <-   041
326987   ->   045
327499   <-   041
328180   ->   063
328439   <-   049
329036   ->   057
329376   <-   041
331594   ->   059
331936   <-   052
332489   ->   057
332919   <-   040
333585   ->   061
333988   <-   042
334645   ->   067
334950   <-   050
335519   ->   066
335905   <-   042
336544   ->   069
337719   ->   066
338058   <-   042
338738   ->   064
339104   <-   048
339680   ->   063
340064   <-   045
340683   ->   068
341024   <-   045
342539   <-   054
343052   ->   036


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
450507   <-   060
453514   ->   038
454133   <-   047
454921   ->   051
455350   <-   037
456054   ->   039


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
462006   <-   051
462474   ->   047
462899   <-   048
463499   ->   044
463880   <-   062
464378   ->   044
464758   <-   064
465227   ->   044
465866   <-   040
466252   ->   042
466955   <-   055
467874   <-   054
468747   <-   054
470539   ->   042
471306   ->   042
471798   <-   051
472395   ->   045
472715   <-   051
474144   ->   040
474571   <-   057
475700   <-   051
476129   ->   044
476554   <-   059
477150   ->   042
477493   <-   045
478133   ->   036
480907   ->   063
481291   <-   045
481867   ->   061
482209   <-   048
482805   ->   069
483126   <-   039
483809   ->   060
484189   <-   043
484829   ->   069
485238   <-   044
485814   ->   077


SEQUÊNCIA 16
============

TEMPO   DIR   KMH
-----   ---   ---
496179   <-   051
496742   ->   045
497206   <-   053
497676   ->   049
499379   <-   056
500150   <-   058
500704   ->   038
501388   <-   056
501856   ->   047
502279   <-   055
503329   <-   058
504374   <-   053
504799   ->   047
505184   <-   053
505697   ->   039
506248   <-   062
509109   <-   039
511008   ->   063
511330   <-   045
511926   ->   067
512268   <-   044
512907   ->   067
513248   <-   041
513909   ->   070
514272   <-   040
514997   ->   069
515360   <-   043
