Data:          2021-10-03_10_43_10
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        11

iziele:        07411 pontos / 108 golpes / 58.53 km/h
clemerson:     07946 pontos / 111 golpes / 59.49 km/h

Parcial:       15357 pontos
Desequilibrio: 00000 (-)
Quedas:        02765 (-)

FINAL:         12592 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
089200   <-   046
089819   ->   051
090289   <-   048
091009   ->   053
091482   <-   054
092038   ->   048
092590   <-   046
093233   ->   060
093661   <-   050
094299   ->   056
094769   <-   051
095299   ->   049
095856   <-   040
096599   ->   065
096987   <-   039
098714   <-   042
099310   ->   039
100017   <-   051
100569   ->   043
101232   <-   045
101872   ->   061
103024   ->   052
103558   <-   048
104218   ->   061
104601   <-   049
105286   ->   060
105709   <-   048
106394   ->   058
106778   <-   051
107419   ->   060
107803   <-   050
108400   ->   050
108954   <-   053
109553   ->   071
109889   <-   044
110597   ->   051
111149   <-   041
111878   ->   057
112389   <-   044
113069   ->   061
113586   <-   036
114245   ->   068
114629   <-   045
115310   ->   068
115696   <-   042
117318   <-   067
117787   ->   044
118427   <-   062
118850   ->   044
119491   <-   057


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
130801   <-   048
131419   ->   059
131800   <-   049
132528   ->   064
134747   <-   040
135280   ->   047
135836   <-   057
136452   ->   057


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
148656   <-   046
149279   ->   056
149719   <-   050
150320   ->   054
150811   <-   050
151408   ->   061
151835   <-   050
152411   ->   058
152923   <-   038
153626   ->   059
154054   <-   045
154779   ->   063
155120   <-   047
155718   ->   042
156423   <-   047
156976   ->   044
157570   <-   044
158169   ->   041
158875   <-   066
159279   ->   045
159921   <-   065
160304   ->   048
160901   <-   057
163159   ->   042
163824   <-   068
164208   ->   047
164805   <-   055
165272   ->   047
165873   <-   070
166240   ->   046
166814   <-   046
167412   ->   041
168058   <-   069
168413   ->   044
169116   <-   053
169543   ->   035
170290   <-   045
170885   ->   039
171525   <-   067
171953   ->   045
172549   <-   072
172933   ->   044
173531   <-   071
174896   <-   050
175639   ->   053
176109   <-   042
176902   ->   052


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
190189   <-   048
190746   ->   058
191345   <-   048
191939   ->   060
192305   <-   044
193030   ->   056
193539   <-   045
194096   ->   060
194502   <-   055
195139   ->   058
195525   <-   050
196208   ->   062
196549   <-   046
197210   ->   064
197553   <-   051
198214   ->   056
198641   <-   048
199239   ->   062
199671   <-   051
200240   ->   059
200753   <-   036
201478   ->   046
202289   <-   040
202779   ->   052
203248   <-   051
203846   ->   057
204289   <-   054
204806   ->   051
205360   <-   036
206189   ->   051
206620   <-   044
207238   ->   042
207899   <-   049
208452   ->   037
209158   <-   067
209585   ->   042
210219   <-   069
210608   ->   042
211309   <-   040
212889   <-   059
213318   ->   042
214040   <-   061
214427   ->   043
215066   <-   047
215622   ->   038
216369   <-   069
216752   ->   047
217307   <-   053
217859   ->   036
218545   <-   066
218972   ->   038
219696   <-   056
220165   ->   039
221019   <-   036
221660   ->   043
222298   <-   068
222680   ->   037
223430   <-   059
223837   ->   035
228826   ->   041
229419   <-   040
230039   ->   036
230979   <-   040
232410   <-   068
233879   <-   043
234502   ->   050
235013   <-   044
235654   ->   058
236102   <-   051
236720   ->   047
237229   <-   049
237870   ->   046
238426   <-   037
239088   ->   042
240539   ->   060
240966   <-   042
241647   ->   062
242075   <-   042
242757   ->   067
243184   <-   041
243910   ->   071
244294   <-   049
244870   ->   039
245720   <-   042
246299   ->   069
246679   <-   050
247365   ->   067
247749   <-   054
248325   ->   070
248710   <-   041
250586   <-   042
252459   <-   050
256729   ->   051
258989   <-   053
259547   ->   041
260357   <-   040
260910   ->   040
262426   ->   042
263195   <-   071
263599   ->   043
264411   <-   061
264667   ->   035
265478   <-   040
267121   <-   074
267547   ->   042
268187   <-   069
270380   ->   057


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
289947   <-   047
290629   ->   058
291845   ->   059
292251   <-   055
292893   ->   061
293280   <-   047
293979   ->   061
294321   <-   043
294980   ->   043
296390   ->   039


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
307143   <-   047
307739   ->   058
308166   <-   049
308805   ->   051
309445   <-   050
309958   ->   062
310384   <-   054
310959   ->   064
311344   <-   046
312006   ->   046
312710   <-   036
313390   ->   056
313819   <-   050
314459   ->   058
314844   <-   041
316422   <-   059
316848   ->   047
317516   <-   069
317887   ->   045
318850   <-   063
319744   ->   045
320635   <-   061
321241   ->   046
321945   <-   045


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
402758   <-   048
403420   ->   054
403846   <-   048
404400   ->   043
405106   <-   050
405660   ->   057
406085   <-   041
406809   ->   055
407341   <-   047
407899   ->   061
408280   <-   048
408899   ->   057
409458   <-   050
410009   ->   057
410417   <-   052
410993   ->   061
411418   <-   049
412016   ->   057
412421   <-   055
413018   ->   064
413441   <-   048
414149   ->   051
414619   <-   051
415195   ->   058
415641   <-   043
416325   ->   060
416709   <-   052
417307   ->   068
417692   <-   040
418395   ->   048
418949   <-   049
419589   ->   062
420016   <-   050
420571   ->   062
420997   <-   049
421659   ->   062
422839   ->   042
423563   <-   071
423960   ->   043
424688   <-   069
426029   <-   064
426459   ->   045
427034   <-   047
427630   ->   044
428249   <-   067
428679   ->   036
429400   <-   061
429870   ->   042
430513   <-   067
430938   ->   044
431557   <-   052
432027   ->   045
432666   <-   065
433009   ->   047
433585   <-   045
434139   ->   041
434736   <-   036
435504   ->   038
436186   <-   067
436608   ->   044
437229   <-   059
437660   ->   043
438342   <-   040
439067   ->   057
439492   <-   051
440091   ->   054
441350   ->   044
441947   <-   046
442587   ->   062
443014   <-   047
443675   ->   057


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
455449   <-   046
456007   ->   060
456579   <-   040
457157   ->   040
457797   <-   041
458438   ->   037
459269   <-   061
459649   ->   041
460443   <-   045
461638   <-   036
462320   ->   040
462939   <-   063
463408   ->   042
464048   <-   073
465243   <-   064
465669   ->   043
466331   <-   055
467650   <-   073
468080   ->   038
468806   <-   069
469190   ->   036
469869   <-   067
470256   ->   046
470849   <-   069
471238   ->   045
471834   <-   071


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
485233   <-   048
485786   ->   050
486299   <-   038
486960   ->   043
487644   <-   045
488154   ->   049
488795   <-   047
489349   ->   054
491354   <-   055
492037   ->   053
493253   ->   050
494534   ->   045
495088   <-   042
495771   ->   054
496237   <-   050
496838   ->   057
497307   <-   051
497862   ->   066
498288   <-   050
498885   ->   068
499228   <-   050
499970   ->   051
500443   <-   046
501125   ->   062
501510   <-   047
502149   ->   064
503408   ->   053
503877   <-   042
505456   <-   074
505900   ->   043
506499   <-   064
506971   ->   037
507717   <-   066
508080   ->   041
508828   <-   069
510000   <-   060
510469   ->   042
511110   <-   067
511515   ->   045
512089   <-   059
512560   ->   037
515846   ->   037
516614   <-   061
519024   ->   044


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
533701   <-   048
534339   ->   055
534725   <-   045
535389   ->   061
535899   <-   040
536580   ->   051
537008   <-   047
537649   ->   059
538075   <-   048
538694   ->   057


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
550875   <-   045
551469   ->   057
551899   <-   054
552538   ->   064
552923   <-   047
553606   ->   061
554029   <-   046
554737   ->   060
555377   <-   039
555760   ->   044
556315   <-   048
557019   ->   050
557489   <-   043
557894   <-   035
558299   ->   048
558896   <-   038
559451   ->   054
560050   <-   049
560559   ->   062
560987   <-   065
561585   ->   044
564081   <-   048
564590   ->   041
565386   <-   065
566662   <-   062
567046   ->   039
567778   <-   063
568132   ->   043
