Data:          2021-10-03_10_56_38
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        20

marly:         06522 pontos / 101 golpes / 56.92 km/h
rangel:        08892 pontos / 123 golpes / 59.90 km/h

Parcial:       15414 pontos
Desequilibrio: 00414 (-)
Quedas:        06750 (-)

FINAL:         08250 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
140785   ->   050
141210   <-   048
141767   ->   053
142258   <-   053
142813   ->   053
143259   <-   050
143900   ->   052
144409   <-   050
144924   ->   055
145308   <-   045
146823   <-   036
147420   ->   057
147762   <-   049
150769   <-   052
151239   ->   037
151878   <-   068
152263   ->   044
152818   <-   058
153370   ->   038
153990   <-   065
154460   ->   043
155057   <-   068
155378   ->   044
155974   <-   059
156487   ->   039
157127   <-   067
157553   ->   041
158086   <-   043
158726   ->   040
159346   <-   067
159793   ->   039
160388   <-   069
160818   ->   046
161329   <-   066
161734   ->   039
162567   <-   040
163909   <-   042
164529   ->   037
165209   <-   039
165894   ->   063
167879   <-   039
168519   ->   057
168946   <-   037
169668   ->   054


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
180806   ->   054
181170   <-   053
181767   ->   058
182149   <-   050
182789   ->   055
183565   <-   042


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
195138   ->   056
195526   <-   048
196144   ->   057
196509   <-   046
197830   <-   041
198428   ->   037


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
209048   ->   051
209479   <-   047
210054   ->   058
210440   <-   055
210989   ->   051
211571   <-   048
212039   ->   049
212423   <-   045
213019   ->   056
213426   <-   044
214152   ->   054
215469   ->   059
215900   <-   044
219504   ->   035
219785   <-   061
220252   ->   042
220806   <-   064
221255   ->   042
221773   <-   068
222427   ->   038
222854   <-   066
223281   ->   042
223793   <-   043
225653   <-   039
226288   ->   061
226652   <-   043
228187   <-   041
228786   ->   046


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
241948   ->   051
242396   <-   049
242951   ->   055
243377   <-   042
244017   ->   060
244487   <-   035
245170   ->   058
245536   <-   053
246189   ->   057
246639   <-   039
247288   ->   044
247815   <-   045
249971   ->   036
250629   <-   047
251759   <-   054
252228   ->   043
252786   <-   064
253254   ->   043
253705   <-   065
254130   ->   044
254620   <-   050
256028   <-   066
256369   ->   044
256924   <-   040
257563   ->   038
258161   <-   065
258545   ->   042
259186   <-   039
259783   ->   039
260402   <-   065
260828   ->   045
261362   <-   062
261831   ->   036
263303   ->   063
263644   <-   051


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
275505   ->   054
275908   <-   051
276528   ->   054
278726   <-   038
279494   ->   063
279837   <-   053
280476   ->   056
280818   <-   042
281543   ->   065
281906   <-   055
282501   ->   050
283698   ->   035
284338   <-   061
284721   ->   038
285359   <-   051
285745   ->   039
286427   <-   045
288390   <-   037
290097   <-   041
291676   <-   068
292316   ->   040
292868   <-   065
295175   <-   069
297052   <-   050
299458   ->   057


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
317169   <-   060
317603   ->   038
319128   ->   037
320538   ->   058
321069   <-   040
322353   <-   039
322929   ->   051
323357   <-   038
325297   <-   039
325894   ->   057
326279   <-   045
326829   ->   059
327279   <-   051
327814   ->   056
331548   <-   063
331996   ->   042
332508   <-   063
332935   ->   039
333574   <-   071
333958   ->   041
334599   <-   067
334939   ->   043
335559   <-   066
335939   ->   040
336519   <-   065
336987   ->   035
337584   <-   058
338844   <-   067
339269   ->   042
339779   <-   068
340167   ->   044
340719   <-   040


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
445209   ->   053
445575   <-   046
446190   ->   057
446556   <-   050
447109   ->   060
447494   <-   048
450140   ->   057


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
466374   ->   056
466759   <-   053
467398   ->   060
467697   <-   056
468295   ->   036
469084   <-   038
469724   ->   053
470190   <-   049
470706   ->   052
471129   <-   041
471836   ->   059


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
480369   ->   057
480775   <-   047
481373   ->   056
481756   <-   051
482311   ->   053
483442   ->   037
486236   <-   051
486706   ->   038
487366   <-   064
487709   ->   041
488429   <-   043
488988   ->   039
489607   <-   065
490247   ->   038
490694   <-   060


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
507330   <-   054
507804   ->   044
508358   <-   064
508956   ->   042
509318   <-   064
510257   <-   062
510861   ->   045
511174   <-   063
511516   ->   044
512177   <-   055
512605   ->   038
513373   <-   048
515036   <-   055


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
535665   ->   054
536093   <-   050
536674   ->   055
537068   <-   047
537629   ->   043
538226   <-   049
538865   ->   058
539249   <-   049
539798   ->   036
540419   <-   039
541083   ->   058


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---
557191   ->   058
557533   <-   055
558130   ->   058
558468   <-   047
559109   ->   057
559495   <-   052
560135   ->   060
560497   <-   055
561095   ->   060
561436   <-   056
562029   ->   058


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
572060   ->   058
572568   <-   039


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
579868   ->   056
580271   <-   051
580893   ->   058
581255   <-   050
581828   ->   056
582237   <-   050
582769   ->   057
583150   <-   052
583769   ->   058
584134   <-   053
584729   ->   068
585116   <-   045
585713   ->   059


SEQUÊNCIA 16
============

TEMPO   DIR   KMH
-----   ---   ---
601114   <-   063
601539   ->   042
602098   <-   059
602566   ->   039
603248   <-   046
603718   ->   040
604402   <-   064
604785   ->   039
605378   <-   060


SEQUÊNCIA 17
============

TEMPO   DIR   KMH
-----   ---   ---
618329   <-   062
618758   ->   042
619357   <-   065
619740   ->   043
620487   <-   041
621426   <-   060
622066   ->   043
622364   <-   066
623000   ->   044
623300   <-   064
623730   ->   046
624327   <-   058
624711   ->   043
625308   <-   066
625693   ->   040
626715   ->   044
627269   <-   062
627699   ->   042
628338   <-   060
629383   <-   063
629810   ->   037
631280   ->   035
631943   <-   043
632540   ->   059
634674   <-   039
635355   ->   062
635676   <-   046
636295   ->   060
636679   <-   050
637275   ->   060
637618   <-   044
638214   ->   052
638727   <-   044
639367   ->   058
639749   <-   045
640369   ->   061
640750   <-   047
641309   ->   059
641689   <-   050
642268   ->   060
642669   <-   041
643334   ->   035
644209   <-   044
644679   ->   039
645320   <-   052
646577   <-   066
647004   ->   041
647558   <-   066
647985   ->   035
648748   <-   060
649180   ->   035
649927   <-   069
650350   ->   039
650969   <-   067
651399   ->   042
651950   <-   066
653148   <-   069
653530   ->   043
654048   <-   055
655260   <-   067


SEQUÊNCIA 18
============

TEMPO   DIR   KMH
-----   ---   ---
670108   ->   056
670467   <-   051
671024   ->   058
672349   ->   059
672689   <-   056
673239   ->   058
673628   <-   050
674183   ->   059
674649   <-   044
675248   ->   054
675719   <-   043
676273   ->   037
676870   <-   055
677638   ->   038
678019   <-   066
678359   ->   041
678961   <-   063
680584   <-   037
681095   ->   057
686257   <-   040
686939   ->   057
687324   <-   047
687970   ->   044
688647   ->   035


SEQUÊNCIA 19
============

TEMPO   DIR   KMH
-----   ---   ---
709468   ->   054
709848   <-   054
710490   ->   056
715935   <-   056
716230   ->   042
716828   <-   064
717425   ->   037
717810   <-   061
718259   ->   042
720050   <-   063
720455   ->   043
720920   <-   054
722225   <-   041
722908   ->   060
723270   <-   050
723826   ->   059
724210   <-   046
724806   ->   056
725999   ->   063
728113   <-   043
730951   <-   064
731376   ->   040
731931   <-   065
732359   ->   042
732909   <-   068
733339   ->   039
734001   <-   040
735470   <-   069
737388   ->   036
739334   <-   071
739719   ->   036
740443   <-   068
740870   ->   039
741468   <-   072
741894   ->   039
742449   <-   059
742919   ->   039
743558   <-   068
743986   ->   044
744498   <-   060
745009   ->   045
745501   <-   072
745885   ->   037


SEQUÊNCIA 20
============

TEMPO   DIR   KMH
-----   ---   ---
766340   ->   057
766748   <-   046
767409   ->   042
770225   ->   057
770588   <-   054
771185   ->   054
771548   <-   050
772189   ->   054
772529   <-   049
773169   ->   048
773719   <-   035
774449   ->   045
774983   <-   045
775620   ->   043
776136   <-   044
777438   <-   041
778010   ->   057
778438   <-   041
779036   ->   056
779526   <-   048
780060   ->   053
780419   <-   046
781105   ->   054
781490   <-   047
782066   ->   057
782476   <-   043
783089   ->   058
783470   <-   052
784048   ->   044
784603   <-   039
785329   ->   045
785799   <-   039
786481   ->   061
786866   <-   044
787505   ->   060
787846   <-   049
788399   ->   060
788807   <-   045
789399   ->   058
789937   <-   036
791580   <-   037
792239   ->   057
792646   <-   045
793239   ->   054
793671   <-   046
794182   ->   059



