Data:          2021-10-03_12_25_58
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      2
Quedas:        9

deco:          10841 pontos / 149 golpes / 60.03 km/h
kaverna:       10770 pontos / 143 golpes / 61.13 km/h

Parcial:       21611 pontos
Desequilibrio: 00000 (-)
Quedas:        02594 (-)

FINAL:         19017 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
023612   ->   051
024166   <-   063
024635   ->   050
025276   <-   044
025831   ->   045
026684   <-   065
027154   ->   047
027771   <-   065
028285   ->   052
028818   <-   047
029391   ->   048
030034   <-   057
030545   ->   050
031143   <-   062
031655   ->   051
032167   <-   069
032635   ->   051
033234   <-   067
033703   ->   046
034364   <-   068
034790   ->   042
036497   ->   069
036880   <-   049
037500   ->   072
037925   <-   036
038802   ->   040
039399   <-   044
040124   ->   040
040761   <-   069
041234   ->   045
041852   <-   064
044967   <-   040


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
054247   ->   052
054801   <-   059
055399   ->   041
055960   <-   045
056699   ->   041
057404   <-   075
057896   ->   049
058450   <-   063
058919   ->   047
059494   <-   044
060177   ->   042
060818   <-   058
061329   ->   046
062097   <-   069
062588   ->   052
063120   <-   068
063547   ->   051
064124   <-   063
064636   ->   043
065340   <-   066
065810   ->   051
066407   <-   062
066920   ->   052
067474   <-   062
067985   ->   052
068541   <-   063
069010   ->   052
069564   <-   064
070076   ->   052
070653   <-   064
071185   ->   055
071656   <-   057
072231   ->   054
072785   <-   065
073297   ->   052
073875   <-   066
074340   ->   056
074855   <-   062
075347   ->   055
075940   <-   058
076475   ->   038
077287   <-   072
077756   ->   053
078331   <-   069
078802   ->   054
079379   <-   065
079890   ->   052
080444   <-   048
081021   ->   039
081789   <-   069
082259   ->   050
082897   <-   070
083324   ->   049
083940   <-   067
084455   ->   042
085137   <-   066
085650   ->   037


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
096764   ->   050
097380   <-   067
097938   ->   046
098514   <-   055
099111   ->   050
099644   <-   057
100177   ->   046
100817   <-   070
101330   ->   046
101884   <-   050
102524   ->   063
102950   <-   044
103612   ->   059
104124   <-   037
104870   ->   067
105340   <-   038
107281   <-   062
107537   ->   050
108098   <-   063
108581   ->   044
109224   <-   062
109735   ->   043
110417   <-   068
110844   ->   047
111484   <-   070
111910   ->   043
112530   <-   056
113041   ->   046
113639   <-   055
114214   ->   036
115047   <-   064
115565   ->   035
116349   <-   067
116817   ->   044
117479   <-   065
117990   ->   049
118501   <-   054
119100   ->   045
119698   <-   065
120167   ->   045
120760   <-   039
121510   ->   066
125351   <-   063
125863   ->   047
126460   <-   065
126994   ->   050
127486   <-   066
128039   ->   052
128590   <-   062
129147   ->   052
129701   <-   055
131600   <-   045
132242   ->   044
132900   <-   068
133372   ->   042
134012   <-   048
134610   ->   060
135974   ->   067
136401   <-   041
137105   ->   052
137660   <-   039
138428   ->   039
139154   <-   042
139922   ->   066
140348   <-   040
141223   ->   042
141906   <-   054
143334   <-   072
143868   ->   050
144401   <-   066
144871   ->   049
145510   <-   064
145980   ->   050
146556   <-   067
147004   ->   057
147581   <-   066
148092   ->   051
148647   <-   065
149159   ->   051
149670   <-   064
150183   ->   055
150737   <-   063
152423   <-   042
153061   ->   068
153530   <-   040
154300   ->   039
155217   <-   066
155624   ->   048
156220   <-   038
157074   ->   039
157842   <-   042
158566   ->   065
159036   <-   043
159718   ->   064


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
180580   ->   050
181095   <-   053
181735   ->   051
182225   <-   051
182850   ->   064
183291   <-   038
184039   ->   059
184424   <-   056
184998   ->   071
185426   <-   045
186023   ->   071
186449   <-   050
187025   ->   070
187450   <-   048
188030   ->   071
188434   <-   050
189050   ->   068
189500   <-   043


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
206225   <-   054
206908   ->   054
207293   <-   051
208614   <-   050
209170   ->   063
209554   <-   049
210172   ->   063
210557   <-   048
211152   ->   066
211495   <-   047
212093   ->   061
212561   <-   045
213159   ->   068
213585   <-   044
214247   ->   070
214588   <-   054
215185   ->   060
215610   <-   047
216251   ->   061
217639   ->   068
218023   <-   045
218620   ->   051
219300   <-   038


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
230637   ->   047
231229   <-   055
231781   ->   041
232316   <-   053
232999   ->   042
233511   <-   045
234151   ->   068
234556   <-   050
235154   ->   067
235538   <-   050
236135   ->   068
236560   <-   042
237160   ->   068
237585   <-   049
238291   ->   057
238716   <-   051
239271   ->   061
239698   <-   051
240274   ->   061
240700   <-   041
241381   ->   061
241767   <-   053
243261   <-   068
243772   ->   045
244348   <-   066
244860   ->   048
245415   <-   049
246180   ->   037
246780   <-   067
247271   ->   049
247780   <-   054
248362   ->   044
248914   <-   064
249385   ->   042
250021   <-   049
250620   ->   036
251559   <-   038


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
263460   ->   049
263975   <-   060
265276   <-   064
265789   ->   046
266429   <-   051
267046   ->   066
267432   <-   048
268135   ->   064
268434   <-   056


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
285970   ->   046
286631   <-   058
287143   ->   052
287611   <-   066
288171   ->   050
288658   <-   065
289170   ->   041
289870   <-   070
290385   ->   050
290898   <-   052
291495   ->   067
291879   <-   059
292412   ->   068
292838   <-   053
293436   ->   045
294055   <-   063
294545   ->   053
295058   <-   072
295570   ->   054
296039   <-   064
296486   ->   050
297061   <-   071
297615   ->   044
298130   <-   067
298556   ->   051
299111   <-   058
299624   ->   045
300261   <-   071
300690   ->   048
301287   <-   067
301756   ->   051
302291   <-   056
302950   ->   049
303548   <-   069
304060   ->   051
304571   <-   069
304999   ->   053
305554   <-   068
306066   ->   047
306599   <-   059
308583   <-   052
309180   ->   052
309671   <-   054
310268   ->   063
310759   <-   050
311335   ->   068
311800   <-   048
312530   ->   036
313255   <-   062
314728   <-   041
315409   ->   071
315818   <-   049
316411   ->   069
316838   <-   049
317436   ->   071
317864   <-   048
318503   ->   069
320806   <-   047
321449   ->   066
322002   <-   043
322599   ->   067
325116   <-   046
325756   ->   043
326418   <-   045
327036   ->   061
327505   <-   042
328188   ->   036
329060   <-   071
331985   ->   044
332669   <-   061
333180   ->   039
333952   <-   071
334417   ->   043
335057   <-   054
335654   ->   041
336444   <-   068
336850   ->   042
337617   <-   074
338044   ->   050
338680   <-   056
340200   <-   064
340668   ->   049
341308   <-   066
341778   ->   053
342354   <-   068
342821   ->   049
343460   <-   063
343974   ->   037
344764   <-   047
345510   ->   064
345895   <-   048
346556   ->   051
347071   <-   046
347858   ->   072


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
464828   <-   045
465447   ->   059
465873   <-   049
466468   ->   066
466852   <-   047
467493   ->   059
467918   <-   053
468558   ->   055
469008   <-   049
469543   ->   067
470008   <-   050
470608   ->   063
472168   ->   048
472378   <-   054
472978   ->   062
473398   <-   051
474043   ->   066
474378   <-   049
475023   ->   063
475408   <-   050
476028   ->   066
476408   <-   050
476958   ->   067
477408   <-   047
478098   ->   065
478483   <-   045
479158   ->   043
479953   <-   039
480628   ->   068
481017   <-   047
481618   ->   069
482048   <-   049
482768   ->   064
483153   <-   053
483878   ->   037
484428   <-   050
485028   ->   065
485408   <-   049
486013   ->   064
486438   <-   045
487033   ->   069
487504   <-   042
488187   ->   055
