Data:          2021-10-03_12_37_18
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      2
Quedas:        15

caroco:        07416 pontos / 113 golpes / 57.26 km/h
thor:          07404 pontos / 111 golpes / 57.66 km/h

Parcial:       14820 pontos
Desequilibrio: 00000 (-)
Quedas:        04446 (-)

FINAL:         10374 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
005219   <-   059
005772   ->   054
006327   <-   059
006882   ->   054
007394   <-   044
008078   ->   062
008547   <-   049
009229   ->   065
009698   <-   049
010424   ->   062
010830   <-   047


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
019405   ->   046
020088   <-   053
020642   ->   039
021431   <-   045
022197   ->   042
022856   <-   055
023417   ->   047
023951   <-   044
024354   <-   040
024567   ->   067
025037   <-   054
025612   ->   063
026124   <-   047


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
034253   <-   057
034766   ->   054
035448   <-   051
036045   ->   056
036514   <-   048
037239   ->   065
037667   <-   045
038348   ->   059
038818   <-   046
039417   ->   065
039907   <-   045
040781   ->   046
041398   <-   052
042125   ->   041
042680   <-   052
043297   ->   045
043938   <-   043
044686   ->   057
045197   <-   044
045881   ->   063
046386   <-   038
046904   <-   035
047245   ->   037
048226   <-   044
048780   ->   057
049208   <-   042
049933   ->   066


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
062498   <-   060
063007   ->   049
063627   <-   046
064288   ->   058
064887   <-   038
065591   ->   060
065997   <-   048
068642   ->   037
069197   <-   044
070007   ->   058
071306   ->   038
072101   <-   050


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
082256   <-   062
082768   ->   048
083450   <-   061
083957   ->   044
084515   <-   055
085154   ->   050
085707   <-   049
086605   ->   036
087096   <-   067
087627   ->   063
088099   <-   048
088781   ->   047
089294   <-   062
089912   ->   053
090404   <-   046
091086   ->   050
091637   <-   047
092237   ->   066
092813   <-   040
093407   ->   058
093923   <-   048
094584   ->   040
095266   <-   064
095737   ->   047
096397   <-   062
096953   ->   056
097486   <-   050
098207   ->   038
098701   <-   054
099338   ->   050
099917   <-   038
100686   ->   043
101326   <-   053
101877   ->   054
102434   <-   045
103074   ->   042
103694   <-   049


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
114893   ->   049
115576   <-   060
116834   <-   047
117517   ->   056


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
124194   ->   045
124835   <-   047
125474   ->   055
126008   <-   050
126712   ->   064
127309   <-   036
127965   ->   051
128419   <-   048
129229   ->   055
129676   <-   049
130336   ->   062
130914   <-   038
132536   <-   047
133091   ->   060
133518   <-   054
134178   ->   059
134606   <-   047
135270   ->   051
135776   <-   050
136459   ->   055
136973   <-   047
137613   ->   045
138126   <-   069
138677   ->   056
139167   <-   054
139807   ->   043
140452   <-   062
140898   ->   053
141406   <-   040
142178   ->   068
142562   <-   045
143267   ->   062
143693   <-   049
144308   ->   046
144953   <-   055
145464   ->   052
145976   <-   044
146658   ->   066
147085   <-   049
147682   ->   068
148106   <-   041
148834   ->   066
149256   <-   042
149987   ->   059
150413   <-   051
151074   ->   047
151629   <-   048
152227   ->   054
152778   <-   045
153464   ->   055
154807   ->   044
155320   <-   041
155975   ->   060
156493   <-   039
157258   ->   064
157689   <-   040
158456   ->   060
158882   <-   038
159651   ->   059
160098   <-   048
160777   ->   046
161335   <-   047
162058   ->   047
162572   <-   061
163168   ->   041
163807   <-   042
164577   ->   039
165258   <-   057
165794   ->   047
166398   <-   047
167078   ->   047
167757   <-   052
168397   ->   046
169038   <-   054
170467   <-   053
171019   ->   046
171667   <-   057
172195   ->   042
172877   <-   064
173368   ->   046
174051   <-   056
175544   <-   065
176013   ->   037
176824   <-   059
177357   ->   053
177887   <-   050
178444   ->   059
178979   <-   048
179657   ->   054
180127   <-   048
180728   ->   058
181218   <-   044
181922   ->   039
182605   <-   047
183244   ->   046
183886   <-   066
184437   ->   037
185165   <-   051
185769   ->   056
186296   <-   045
187000   ->   048
187512   <-   044
188194   ->   046
188750   <-   048
189388   ->   052
189987   <-   048
190669   ->   044
191306   <-   057
191864   ->   044
192459   <-   050
193057   ->   059
194616   ->   038
195298   <-   051
195921   ->   042
196557   <-   045
197237   ->   036
197965   <-   052


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
212707   <-   047
213239   ->   046
214542   ->   042
215074   <-   043
215864   ->   049
216525   <-   051
217037   ->   044
217805   <-   059
218274   ->   048
218869   <-   068
219362   ->   050
219916   <-   047
221368   <-   063


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
227043   ->   045
227731   <-   061
230435   ->   048
231032   <-   038
231736   ->   041
232436   <-   065
232907   ->   046
233550   <-   049
234190   ->   048
234826   <-   050
236408   <-   061
236877   ->   035
237709   <-   061
238264   ->   043
238946   <-   054
239544   ->   048
240138   <-   069
240653   ->   056
241165   <-   060
241721   ->   048
242402   <-   065


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
258445   <-   069
258997   ->   051
259576   <-   064
260045   ->   048
260598   <-   045
261326   ->   045
262008   <-   062


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
271928   ->   046
272590   <-   062
273097   ->   044
273720   <-   041
274598   ->   060
275747   ->   036
277577   ->   035
278007   <-   045
278733   ->   058
279178   <-   044
279992   ->   036
280674   <-   066
281272   ->   036


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
289697   <-   060
290208   ->   054
290893   <-   053
291491   ->   038
292108   <-   054
292707   ->   048
293241   <-   053
293858   ->   060
294328   <-   049
295053   ->   061
297293   ->   040
298057   <-   057
298744   ->   039
299341   <-   058
299875   ->   046
300428   <-   046
301088   ->   040
301858   <-   050
303928   ->   041
304653   <-   049
305293   ->   047
305997   <-   057
306528   ->   051
307107   <-   057
307658   ->   055
308216   <-   058
308772   ->   054
309325   <-   048
310008   ->   041
310708   <-   067
311202   ->   049
311821   <-   051
312457   ->   047
313059   <-   041
313867   ->   062
315213   ->   057
315724   <-   045
316427   ->   055
316898   <-   042
317624   ->   050
318178   <-   040
318989   ->   054
319457   <-   044
320097   ->   062
320607   <-   036
322548   <-   070
323021   ->   048
323640   <-   060
325091   <-   042
325728   ->   044
326413   <-   047


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---
339658   <-   059
340258   ->   053
340813   <-   046
341578   ->   042
342178   <-   063
342777   ->   056
343246   <-   057
343798   ->   052
344397   <-   065
344907   ->   048
345506   <-   049
346103   ->   051
346660   <-   046
347383   ->   035
348066   <-   053
349496   <-   048
350136   ->   053
350646   <-   066
351201   ->   050
351758   <-   056
352312   ->   049
352910   <-   063
354595   <-   061
355086   ->   049
355809   <-   038
357278   <-   055
357877   ->   058
359267   ->   064
359736   <-   041
360590   ->   064
361017   <-   043
361698   ->   038
362339   <-   047
362978   ->   048
363533   <-   045
364174   ->   057


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
373108   <-   050
373751   ->   044
374434   <-   036
375227   ->   056
375693   <-   052
376355   ->   055
376928   <-   046
377613   ->   049


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
385314   <-   065
387298   ->   058
387854   <-   050
388447   ->   060
388917   <-   037
389817   ->   043
390455   <-   060
390968   ->   044
391607   <-   056
392205   ->   054
393358   ->   047
393997   <-   060
394402   ->   046
395128   <-   061
395554   ->   058
396108   <-   048
396685   ->   056
397240   <-   053
397843   ->   056
398413   <-   053
398926   ->   047
399522   <-   046
400248   ->   043
400952   <-   055
401464   ->   050
402067   <-   061


SEQUÊNCIA 16
============

TEMPO   DIR   KMH
-----   ---   ---
417165   ->   045
417847   <-   062
418358   ->   054
418867   <-   048
419576   ->   065
420216   <-   047
420792   ->   052
421432   <-   062
421944   ->   056
424547   ->   048
426466   <-   046
427235   ->   052
427768   <-   052
428276   ->   057
428791   <-   048
429388   ->   046
430048   <-   054
430605   ->   061
431074   <-   048
431672   ->   047
432354   <-   047
433017   ->   059
433528   <-   042
434337   ->   044
434935   <-   046
435532   ->   065
436046   <-   050
437624   <-   048
438307   ->   054
438818   <-   060
439329   ->   059
439797   <-   040
441567   <-   040
442253   ->   041
443017   <-   049
443576   ->   046
444216   <-   055
444768   ->   052
445368   <-   049
445923   ->   058
446477   <-   054
447031   ->   056
447566   <-   056
448121   ->   052
448674   <-   056
449268   ->   053
449826   <-   053
450382   ->   062
450847   <-   045
451555   ->   040
452194   <-   043
452877   ->   039
453688   <-   062
454242   ->   052
454797   <-   062
455327   ->   060
455848   <-   051
456483   ->   042
457143   <-   066
457657   ->   047
458252   <-   048
458830   ->   054
459428   <-   047
460067   ->   045
460767   <-   058
461262   ->   048
461858   <-   045
462498   ->   049



