Data:          2021-10-03_13_00_36
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      24
Quedas:        20

alcir:         07696 pontos / 092 golpes / 64.59 km/h
ivan:          06949 pontos / 096 golpes / 59.66 km/h

Parcial:       14645 pontos
Desequilibrio: 00000 (-)
Quedas:        06591 (-)

FINAL:         08054 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
016980   ->   060
017315   <-   051
017895   ->   046
018455   <-   047
019135   ->   051
019535   <-   051
020135   ->   061
020605   <-   054
020975   ->   064
021375   <-   051
022095   ->   063
022315   <-   046
022905   ->   066
023255   <-   041
023975   ->   065
024355   <-   047
024955   ->   049
025685   <-   044
026055   ->   061
026455   <-   053
027005   ->   064
027345   <-   053
027990   ->   061
028325   <-   052
028885   ->   065
031105   <-   038
031805   ->   061
032235   <-   045
032805   ->   064
033235   <-   044
034105   ->   038
034705   <-   045
035071   ->   065
035455   <-   056
036045   ->   064
036480   <-   049
037075   ->   059


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
052435   ->   059
052820   <-   045
053505   ->   044
053925   <-   052
054610   ->   067
055505   ->   059
055895   <-   048
056535   ->   066
056825   <-   050
057495   ->   070
057835   <-   038
058595   ->   067
058945   <-   053
059535   ->   065
059910   <-   048
060545   ->   068
060885   <-   043
061645   ->   064
061995   <-   048
063680   <-   044


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
075905   ->   060
076365   <-   045
076865   ->   065
077205   <-   051
077890   ->   067
079280   ->   039
080015   <-   047
080825   <-   049
081595   ->   063
081770   <-   052
082410   ->   068
082710   <-   039
083455   ->   064
083795   <-   047
085310   <-   064


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
099795   <-   063
101245   <-   049
101590   ->   041
102315   <-   065
104190   ->   036
104705   <-   066
105125   ->   048
107690   <-   073


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
116440   <-   053
116905   ->   044
117485   <-   056
118080   ->   044
118865   <-   055
119895   <-   052
120535   ->   037
121635   ->   047
122085   <-   043
122710   ->   045
124885   ->   047
125655   <-   050
126505   <-   070
127015   ->   039
127575   <-   072
128000   ->   049
129785   <-   047


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
142910   <-   047
143445   ->   061
143805   <-   056
145473   <-   044
146195   ->   039
146750   <-   061
148160   <-   072
148330   ->   043
149055   <-   059
149715   ->   042
150315   <-   070
150700   ->   038
151395   <-   045
152940   <-   045
153665   ->   065
154005   <-   052
154600   ->   047
155330   <-   044
155881   ->   069
156520   <-   048
156820   ->   040
158565   ->   040
159381   <-   078
159595   ->   054


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
172415   <-   055
172735   ->   043
173845   ->   039
175075   ->   041
175465   <-   077
176915   ->   046
178025   ->   038
178535   <-   049
179135   ->   041
179755   <-   073
181185   <-   038
181885   ->   038
182995   ->   046
183550   <-   068
183980   ->   044
184595   <-   053
185110   ->   040
185855   <-   074
186280   ->   046
186745   <-   056
187220   ->   038
188075   <-   068
188630   ->   044
189270   <-   065
189435   ->   046
190245   <-   073
190525   ->   049
190955   <-   041
191680   ->   045
192340   <-   046
192935   ->   042
193535   <-   045
194195   ->   066
194560   <-   051
196985   <-   038
199225   <-   038
200535   <-   040
201235   ->   070
201575   <-   051


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
218255   ->   061
220950   ->   061


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
228175   <-   047
228800   ->   061
229185   <-   039
229865   ->   050
230380   <-   049
230995   ->   063
231380   <-   054
231935   ->   067
232275   <-   049
232875   ->   070
233215   <-   048
233805   ->   042
234625   <-   036
235985   <-   043
237865   <-   039
238505   ->   066
238975   <-   046
239680   ->   046
240105   <-   042
240745   ->   072
241260   <-   052
241725   ->   049
242255   <-   048
242860   ->   067


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
252175   <-   045
252835   ->   064
253185   <-   052
254465   <-   043
254905   ->   041
255695   <-   042
256385   ->   054
256940   <-   049
257535   ->   068
257865   <-   056
258425   ->   069
258985   <-   040
259540   ->   069
260045   <-   047
261650   <-   038
262165   ->   073
262505   <-   045
263210   ->   067


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
291005   <-   070
291305   ->   048


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
318015   <-   047
318635   ->   058
319040   <-   055
321450   ->   041
321985   <-   047
322625   ->   059
323050   <-   054
323585   ->   068
323965   <-   043
324695   ->   047
325155   <-   049
325795   ->   060
326185   <-   054
326785   ->   068
327125   <-   045
327810   ->   064
328150   <-   053
328745   ->   066
329130   <-   041
329875   ->   038
330475   <-   043
331070   ->   045
331705   <-   038
334165   <-   067
334550   ->   046
335105   <-   073
335530   ->   050
336555   ->   049
337025   <-   057
337665   ->   038
338431   <-   054
338665   ->   040
339415   <-   073
339925   ->   042
340415   <-   072
341775   <-   039
342485   ->   070
342825   <-   048
343335   ->   048
343885   <-   047
344490   ->   075
344825   <-   051
345465   ->   061
345875   <-   047
346475   ->   048
347045   <-   044
347690   ->   064
348075   <-   050
348605   ->   074
349845   ->   037
350655   <-   053
351380   ->   037
351885   <-   046
352445   ->   042
353280   <-   068
353580   ->   046
354025   <-   060
355475   <-   075


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---
371005   ->   049
371475   <-   050
372095   ->   058
372475   <-   050
373075   ->   041
374055   <-   045
374270   ->   062
374655   <-   053
375295   ->   066
375785   <-   048
377555   <-   044
378195   ->   069
378645   <-   049
379045   ->   074
380435   ->   072
380605   <-   042
381325   ->   038
382145   <-   060
382655   ->   046
383245   <-   035
384035   ->   065
384450   <-   050
385045   ->   075
385385   <-   036
386195   ->   069
386580   <-   039
387265   ->   039
387985   <-   076
388375   ->   047
389865   ->   039
390205   <-   064
390675   ->   040
391375   <-   079
392445   <-   070


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
409895   ->   049
410625   <-   058
410880   ->   037
411945   ->   054
412630   <-   040
413970   <-   064
414485   ->   037
415375   <-   047
415830   ->   047
417065   ->   040
417490   <-   070
420010   ->   047
420395   <-   048
421760   <-   072
423401   ->   041
423785   <-   046
424320   ->   040
425085   <-   080


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
444175   <-   052
445695   ->   036
449485   ->   037


SEQUÊNCIA 16
============

TEMPO   DIR   KMH
-----   ---   ---
470975   <-   057
471525   ->   043
472040   <-   055
472640   ->   042


SEQUÊNCIA 17
============

