Data:          2021-10-03_13_14_21
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        12

temir:         11616 pontos / 161 golpes / 61.46 km/h
andre:         10264 pontos / 115 golpes / 66.59 km/h

Parcial:       21880 pontos
Desequilibrio: 00000 (-)
Quedas:        04595 (-)

FINAL:         17285 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
008900   ->   050
009480   <-   037
011030   <-   067
011550   ->   055
012340   <-   045
012810   ->   053
014130   ->   038
014771   <-   075
015240   ->   052
015835   <-   073
016261   ->   056
016770   <-   071


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
025055   ->   050
025670   <-   056
028061   <-   068
028275   ->   053
028831   <-   038
029660   ->   067
030070   <-   049
030700   ->   070
031110   <-   045
031795   ->   070
032132   <-   043
032861   ->   057
033330   <-   041
034051   ->   048
034671   <-   065
035146   ->   050
035705   <-   069
036210   ->   050
036721   <-   074
037150   ->   048
037770   <-   074
038195   ->   052
038720   <-   071
039155   ->   053
039730   <-   074
040115   ->   053
040671   <-   074
041141   ->   053
041610   <-   073
042030   ->   055
042545   <-   077
042976   ->   048
043570   <-   038
044510   ->   042
044930   <-   073
045400   ->   051
045940   <-   074


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
057781   ->   051
058310   <-   062
059976   ->   048
060310   ->   044
060575   <-   070
060960   ->   055
061640   <-   041
062386   ->   047
063006   <-   042
064140   ->   046
064350   <-   069
064821   ->   051
065411   <-   063
065970   ->   042
066655   <-   041
067551   ->   042
068020   <-   070
068530   ->   041
069065   <-   036
069875   ->   052
070516   <-   044
071221   ->   071
073756   <-   041
074610   ->   046
075166   <-   072
075630   ->   054
076171   <-   065
077621   <-   071
078041   ->   047
078685   <-   050
079370   ->   052
079795   <-   069


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
090610   ->   050
091211   <-   059
092406   <-   041
093530   <-   068
093960   ->   054
094686   <-   062


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
104820   ->   051
105410   <-   056
105930   ->   052
106540   <-   065
106975   ->   054
108720   <-   063
109151   ->   059
109811   <-   064
110151   ->   051
111281   ->   050
111920   <-   070
112331   ->   053
112841   <-   044
116680   ->   045
117150   <-   049
117960   ->   047
118550   <-   073
119070   ->   055
119540   <-   068
121161   <-   035
121410   ->   045
122101   <-   070
125471   <-   038
126150   ->   049
126660   <-   040
127390   ->   058
129651   <-   037
130571   ->   047
131081   <-   070
131550   ->   053
132081   <-   073
132511   ->   052
133961   ->   073
134400   <-   047
135005   ->   076
135431   <-   049
136050   ->   046
136650   <-   047
137225   ->   079
137651   <-   048
138251   ->   083
138630   <-   045
139316   ->   047
139911   <-   044
140596   ->   069
141065   <-   044
141745   ->   049
143561   ->   041
144500   <-   058
145010   ->   049
145600   <-   059
146121   ->   044
146761   <-   042
147486   ->   076
147871   <-   045
148510   ->   070


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
169330   ->   049
169926   <-   057
171080   <-   065
171421   ->   052
173171   <-   068
174230   <-   057
174621   ->   052
175300   <-   050
175831   ->   052
176390   <-   069
176756   ->   050
177460   <-   069
177751   ->   053
178335   <-   067
178840   ->   053
179720   ->   052
180341   <-   065
180760   ->   054
181361   <-   068
181831   ->   050
182431   <-   073
182830   ->   049
183511   <-   069
184031   ->   054
184500   <-   066
185011   ->   048
185610   <-   065
186070   ->   051
186675   <-   074
187100   ->   049
187701   <-   060
188250   ->   039
188931   <-   066
189451   ->   048
190040   <-   076
190560   ->   041
192711   <-   075
193140   ->   049


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
207301   ->   051
207861   <-   057
209076   <-   064
209411   ->   056
210101   <-   067
211165   <-   064
211551   ->   051
212101   <-   072
212550   ->   036
213961   ->   047
214470   <-   042
215131   ->   067
215795   <-   044
216181   ->   068
216620   <-   045
217266   ->   079
217631   <-   043
218291   ->   076
218710   <-   048
219310   ->   048
219850   <-   045
220531   ->   066
220911   <-   038
222111   ->   037
222400   <-   057
222921   ->   047
223490   <-   076
223921   ->   052
224521   <-   045
225395   ->   040
225950   <-   077
226376   ->   054
226930   <-   074
227316   ->   055
227935   <-   071
228400   ->   051
228950   <-   077
229421   ->   050
229980   <-   047
230681   ->   048
231261   <-   074
231646   ->   052
232241   <-   071
232715   ->   040
233566   <-   036
234421   ->   043
235146   <-   072
235571   ->   047
236170   <-   040
236930   ->   050
237590   <-   044
238230   ->   073
238666   <-   036


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
261300   ->   051
262490   ->   048
263090   <-   064
263475   ->   046
264051   <-   039
264861   ->   061
265290   <-   042
265951   ->   076
266356   <-   047
267031   ->   075
