Data:          2021-10-03_13_27_12
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      20
Quedas:        17

serginho:      08636 pontos / 091 golpes / 68.61 km/h
leandro:       04656 pontos / 053 golpes / 66.15 km/h

Parcial:       13292 pontos
Desequilibrio: 02584 (-)
Quedas:        03855 (-)

FINAL:         06853 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
019614   ->   045
020254   <-   064
020719   ->   045
021384   <-   051
021979   ->   041
022664   <-   058
023174   ->   039
024669   ->   039
026414   <-   049
027119   ->   039
027714   <-   042
028464   ->   059
028956   <-   050
029614   ->   066
030024   <-   044
030914   ->   070
031344   <-   042
032029   ->   041
032684   <-   038
033459   ->   072
035079   ->   070
035444   <-   039
036274   ->   041
036874   <-   070
037294   ->   045
037874   <-   044
038644   ->   057
039219   <-   043
039984   ->   069
043164   ->   039
043904   <-   070
044294   ->   045
045449   ->   047
046044   <-   065
046559   ->   043
047094   <-   071
047594   ->   045
048114   <-   068
048584   ->   042
050269   ->   078
050604   <-   048
051379   ->   077
052724   ->   038
053444   <-   070
054004   ->   043
054984   ->   043
055580   <-   074
057944   ->   039
058629   <-   072
060809   ->   036
061654   <-   043
062274   ->   070


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
077784   <-   064
078089   ->   043
078764   <-   064
079234   ->   041
080819   ->   073
081204   <-   041
082134   ->   036
082654   <-   042
083334   ->   076
083804   <-   045
084724   ->   067


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
096964   <-   059
097479   ->   045
098014   <-   062
098524   ->   044
099215   <-   039
099904   ->   042


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
118464   ->   047
119104   <-   063
119579   ->   044
120309   <-   066
120774   ->   045
121289   <-   041
122114   ->   063
122524   <-   046
123184   ->   045
123824   <-   042
124594   ->   043


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
132694   <-   065
133164   ->   045
133724   <-   070
134214   ->   044
134899   <-   061
135494   ->   041
136114   <-   075
136534   ->   045
137179   <-   074
137650   ->   045
138169   <-   073
138694   ->   047
139724   ->   046
141214   ->   047
141704   <-   071
142214   ->   035
144194   ->   040
144904   <-   041
145584   ->   040
146249   <-   040
147034   ->   067
147464   <-   045
148274   ->   070
148679   <-   045


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
172294   ->   048
172934   <-   039
173749   ->   053
174319   <-   045
174874   ->   069
175384   <-   041
178074   ->   044
178719   <-   041
179484   ->   038
180424   <-   038
181184   ->   071
181574   <-   044
184329   ->   050
185864   ->   077
188594   <-   040
189364   ->   037
190089   <-   066
190664   ->   047
191304   <-   072
191689   ->   045
192284   <-   053
192924   ->   070
193439   <-   042
194134   ->   047
194824   <-   038
195634   ->   041
196224   <-   070
196639   ->   045
197214   <-   070
197704   ->   044
198384   <-   068
198944   ->   042
199494   <-   070
199914   ->   045
204864   <-   039
207219   ->   075
207604   <-   040
208414   ->   079
208839   <-   044
209564   ->   042
210204   <-   044
210884   ->   039
212524   ->   078
212954   <-   045
213639   ->   068
216159   <-   057


