Data:          2021-10-03_13_38_51
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      1
Quedas:        15

manga:         10720 pontos / 100 golpes / 72.95 km/h
bida:          09990 pontos / 123 golpes / 63.28 km/h

Parcial:       20710 pontos
Desequilibrio: 00000 (-)
Quedas:        06213 (-)

FINAL:         14497 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
025355   <-   047
025995   ->   066
026505   <-   053
027065   ->   051
028600   ->   038
029345   <-   041
030046   ->   072
030385   <-   052
030985   ->   072
031435   <-   054
031950   ->   067


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
042190   <-   046
042831   ->   054
043470   <-   049
044066   ->   072
044495   <-   055
045045   ->   069
045425   <-   036
046406   ->   061
046946   <-   049
047495   ->   070
047885   <-   058
048440   ->   060
048945   <-   051
049550   ->   047
050296   <-   047
050895   ->   067
051340   <-   042
052110   ->   066
052535   <-   061
053085   ->   053
053685   <-   053
054235   ->   069
054705   <-   056
055180   ->   049
055865   <-   052
056420   ->   041
057095   <-   047
057675   ->   068
058055   <-   036
058956   ->   035
059425   <-   044
060145   ->   066
060535   <-   046
061220   ->   076
061555   <-   058
066511   ->   064
066885   <-   045
067526   ->   042
068282   <-   044
068835   ->   039
069596   <-   045
070235   ->   043
070755   <-   070
071265   ->   045
071735   <-   038
072546   ->   038
073165   <-   065
073635   ->   044
074145   <-   069
074635   ->   045
075145   <-   053
075788   ->   042
077455   <-   044
078266   ->   042
078855   <-   067
079326   ->   045
079835   <-   068
080356   ->   046
080780   <-   070


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
092345   ->   069
092770   <-   053
093365   ->   054
093920   <-   052
094436   ->   075
094855   <-   047
095815   ->   049
096505   <-   040
098165   <-   035
098955   ->   076
099445   <-   043
100166   ->   045
100916   <-   041
101595   ->   039
102196   <-   064
102710   ->   045
103266   <-   069
103691   ->   045
104186   <-   072
104645   ->   045
105165   <-   064
105635   ->   041
106170   <-   068
106636   ->   046
107145   <-   068
107615   ->   040
108280   <-   048
108896   ->   042
109496   <-   067
109965   ->   045
110475   <-   074
110970   ->   046
111475   <-   062
111945   ->   044
112485   <-   069
112930   ->   045
113465   <-   063
113886   ->   042
114715   <-   037
115405   ->   036
115935   <-   073
116385   ->   044
