Data:          2021-10-03_14_05_24
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      20
Quedas:        10

jairinho:      12596 pontos / 136 golpes / 67.37 km/h
diego:         09766 pontos / 112 golpes / 65.79 km/h

Parcial:       22362 pontos
Desequilibrio: 00000 (-)
Quedas:        03355 (-)

FINAL:         19007 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
031849   ->   067
032235   <-   046
033000   ->   069
033339   <-   048
033959   ->   077
034339   <-   048
034939   ->   065
035389   <-   050
036029   ->   076
036409   <-   047
037010   ->   068
037389   <-   047
038030   ->   078
038375   <-   048
038994   ->   079
039329   <-   046
040059   ->   080
040404   <-   048
041044   ->   074
041385   <-   048
041979   ->   081
042305   <-   047
042940   ->   089
043280   <-   043
043920   ->   063
044350   <-   044
045055   ->   076
045395   <-   046
046030   ->   069
046370   <-   044
047010   ->   081
047399   <-   049
047999   ->   070
048382   <-   047
049000   ->   078
049383   <-   047
049984   ->   079
050360   <-   044
051025   ->   069
051409   <-   044
052109   ->   080
052449   <-   043
053089   ->   079
053439   <-   044
054120   ->   066
054539   <-   045
055210   ->   083
055550   <-   045
056229   ->   076
056570   <-   052
057214   ->   046
057894   <-   035
058849   ->   045
059260   <-   069
059714   ->   042
060310   <-   069
060990   ->   039
061389   <-   045
062249   ->   045
062629   <-   069
063229   ->   047
063614   <-   071
064039   ->   050
064575   <-   056
065149   ->   036


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
080400   ->   049
081001   <-   066
081619   ->   044
082002   <-   057
082602   ->   052
082940   <-   047
083645   ->   059
084109   <-   040
085499   <-   066
086050   ->   050
086389   <-   066
087420   <-   049
088169   ->   048
088550   <-   052
089449   ->   041
090940   <-   037
091489   ->   042
092130   <-   046
093012   ->   039
093394   <-   079
093819   ->   046
094420   <-   068
095060   ->   047
095444   <-   073
095989   ->   041
096510   <-   061
097019   ->   051
097510   <-   071
097940   ->   047
098550   <-   073
099190   ->   044
099659   <-   067
100140   ->   043
100710   <-   041
102420   <-   036
103210   ->   064
103599   <-   044
104254   ->   075
104629   <-   047
105275   ->   076
105660   <-   049
106300   ->   079
111500   ->   038
112139   <-   065
112699   ->   050
113100   <-   070
113789   ->   041
114210   <-   076
114679   ->   043
115240   <-   079
115831   ->   043


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
131829   ->   050
132330   <-   070
132970   ->   049
133350   <-   068
133969   ->   053
134270   <-   056
134950   ->   049
135310   <-   075
135934   ->   048
137509   <-   041
139050   <-   040
139809   ->   069
140199   <-   048
140799   ->   077
141180   <-   046
141780   ->   077
142120   <-   048
142710   ->   079
143100   <-   047
143699   ->   077
144084   <-   052
144719   ->   076
145065   <-   041
145829   ->   047
146380   <-   069
147025   ->   048
147370   <-   062
148130   ->   037
148470   <-   040
149160   ->   049
149779   <-   064
150250   ->   048
150710   <-   048
151329   ->   044
151890   <-   076
152340   ->   050
152895   <-   069
153379   ->   052
153890   <-   079
154320   ->   051
154829   <-   048
155560   ->   049
156010   <-   074
156450   ->   048
156969   <-   071
157395   ->   044
158050   <-   072
158499   ->   050
159061   <-   073
159500   ->   044
160100   <-   073
160614   ->   042
161129   <-   075
161530   ->   048
162069   <-   038
162900   ->   055
163409   <-   039
164415   ->   063
164719   <-   041
165500   ->   080
165880   <-   046
166525   ->   076
166949   <-   043
167649   ->   077
167999   <-   040


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
192290   ->   050
192629   <-   065
193365   ->   039
193740   <-   050
194559   ->   047
194940   <-   074
195540   ->   051
195830   <-   050
196749   ->   041
197054   <-   066
197650   ->   051
198055   <-   069
198660   ->   051
198930   <-   064
199380   ->   052
199910   <-   057
200680   ->   045
201065   <-   044
201810   ->   044
203340   ->   042
203919   <-   072
204309   ->   042
204990   <-   048
205585   ->   047
206160   <-   056
208595   ->   046
209149   <-   066
209790   ->   039
210239   <-   072
210624   ->   052
211130   <-   071
211540   ->   049
212069   <-   072
212755   ->   042
213090   <-   072
213690   ->   045
214100   <-   070
214525   ->   045
215099   <-   041
215975   ->   044
216405   <-   064
217060   ->   043
217450   <-   068
217960   ->   048
218434   <-   075
219049   ->   047
219390   <-   060
219899   ->   052
220414   <-   044
221090   ->   069
221480   <-   037
222335   ->   071


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
239500   ->   051
240059   <-   039
240809   ->   063
241230   <-   038
242025   ->   066
242409   <-   046
243069   ->   073
243370   <-   042
244095   ->   051
244560   <-   044
245205   ->   076
245585   <-   047
246200   ->   074
246590   <-   043
247269   ->   068
247650   <-   042
248294   ->   074
248679   <-   045
249320   ->   072


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
328312   ->   049
328955   <-   060
329555   ->   050
329940   <-   067
330600   ->   046
330920   <-   068
332920   ->   048
333180   <-   049
333990   ->   047
334290   <-   048
335270   ->   045
336380   ->   042
336759   <-   066
337405   ->   043
337790   <-   062
338240   ->   050
338875   <-   077
339490   ->   046
339830   <-   058
340415   ->   045
341690   ->   049
341990   <-   065
342590   ->   051
342930   <-   041
347580   ->   068
