Data:          2021-10-03_14_27_38
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      1
Quedas:        20

didi:          11215 pontos / 134 golpes / 64.31 km/h
rangel:        11824 pontos / 150 golpes / 62.19 km/h

Parcial:       23039 pontos
Desequilibrio: 00000 (-)
Quedas:        10368 (-)

FINAL:         12671 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
121820   <-   073
122585   ->   036
123395   ->   045
124590   ->   044
124846   <-   073
125315   ->   046
125866   <-   061
126335   ->   047


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
134616   <-   067
135175   ->   044
135596   <-   071
135985   ->   057
136456   <-   051
137095   ->   049
137605   <-   073
138075   ->   052
139355   ->   065
139740   <-   051
140335   ->   064
140715   <-   045
141340   ->   073
141745   <-   053
142295   ->   063
142725   <-   054
143236   ->   074
143561   <-   053
144235   ->   066


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
157380   <-   066
157850   ->   047
158386   <-   062
158856   ->   048
159365   <-   074
159705   ->   050
160255   <-   067
160690   ->   048
161200   <-   072
161585   ->   049


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
177711   <-   067
178175   ->   044
178695   <-   073
179121   ->   050
179590   <-   066
182825   <-   038
183515   ->   046
184025   <-   045
184710   ->   055
185181   <-   048
185735   ->   069
186136   <-   051
186735   ->   059
187186   <-   051
187740   ->   066
188115   <-   050
188786   ->   063
189165   <-   043
189815   ->   040
190465   <-   040
191196   ->   075
191580   <-   052
192125   ->   071
192540   <-   052
193135   ->   073
193476   <-   051
194076   ->   068
194460   <-   049
195075   ->   072
195505   <-   043
196225   ->   038
197021   <-   072
197400   ->   050
198006   <-   068
198405   ->   038
199125   <-   070
199616   ->   049
200135   <-   069
200596   ->   045
202245   <-   070
202631   ->   052
203136   <-   037
203951   ->   061
204381   <-   050
204975   ->   064
205360   <-   046
205995   ->   056
206485   <-   047
207135   ->   075
207495   <-   043
208176   ->   076
208495   <-   045
209220   ->   049
209862   <-   051
210495   ->   046
210970   <-   065
211415   ->   048
211931   <-   058
212485   ->   042
213075   <-   071
213510   ->   038
214105   <-   070


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
230526   ->   048
231085   <-   062
231431   ->   046
231986   <-   069
232366   ->   048
232985   <-   045
233495   ->   044
234095   <-   060
234565   ->   048
235075   <-   074
235416   ->   049
235996   <-   069
236415   ->   050
236885   <-   073
237361   ->   047
237830   <-   071
238171   ->   045
238770   <-   057
239130   ->   055
239685   <-   058
240105   ->   047
240745   <-   067
241136   ->   051
241670   <-   065
242395   ->   041
242650   <-   076
242990   ->   053
243545   <-   075
243976   ->   046
244440   <-   063
244845   ->   050
245361   <-   072
245786   ->   051
246255   <-   041
248535   ->   036
249330   <-   038
249966   ->   058
250395   <-   044
251006   ->   067
251395   <-   048
251995   ->   048
256346   <-   039
257065   ->   058
258310   ->   040
258820   <-   042
259505   ->   067
259910   <-   055
260505   ->   067
260926   <-   040
261615   ->   037
262425   <-   042
263150   ->   043
263706   <-   070
264176   ->   048
264645   <-   069
265180   ->   046
265645   <-   073
266045   ->   051
266545   <-   075
266965   ->   049
267476   <-   061
267910   ->   046
268506   <-   075
268886   ->   046
269485   <-   040
270256   ->   061
270676   <-   050
271315   ->   065
271705   <-   051
272305   ->   073
272645   <-   051
273226   ->   070
273756   <-   045
274310   ->   037


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
297536   ->   062
297945   <-   048
298630   ->   067
298985   <-   048
299627   ->   059
300076   <-   051
300675   ->   069
301020   <-   050
301636   ->   073
301981   <-   053
302575   ->   067
302916   <-   049
303556   ->   064
303935   <-   045
304665   ->   070
304965   <-   052
305646   ->   050
306161   <-   041
306886   ->   041
307476   <-   042
308251   ->   043
308805   <-   070
309276   ->   051
309696   <-   066
310165   ->   050
310639   <-   072
311775   <-   080
312156   ->   047
312731   <-   071
313115   ->   049
313646   <-   039
314435   ->   053
314950   <-   040
315720   ->   070
316061   <-   051
316606   ->   071
316996   <-   043
317661   ->   068
318085   <-   051
318676   ->   063
319126   <-   039
319836   ->   037
320496   <-   037
321305   ->   054
321820   <-   039
322605   ->   072
322950   <-   052
323455   ->   051


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
344006   <-   063
344430   ->   046
344880   <-   069
345386   ->   045
345905   <-   059
346376   ->   036
347925   ->   063
348316   <-   047
348956   ->   069
349296   <-   046
349956   ->   068
350255   <-   053
350845   ->   042
351405   <-   042
352091   ->   072


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
366955   ->   058
367425   <-   045
368066   ->   065
368451   <-   047
369136   ->   042
369736   <-   048
370345   ->   054
370816   <-   047
371455   ->   060
371796   <-   042
372566   ->   060
372955   <-   045
373681   ->   060
374066   <-   052
374706   ->   065
375085   <-   053
375666   ->   065
376045   <-   039
376815   ->   058
377370   <-   047
379356   ->   040
380015   <-   068
380440   ->   049
380905   <-   070
382151   <-   070
383316   <-   073
383746   ->   041
384346   <-   070
384770   ->   050
385286   <-   066
385736   ->   045
386246   <-   068
386716   ->   038


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
472896   ->   058
473326   <-   051
473926   ->   066
474496   <-   048
474926   ->   057
475396   <-   050
476036   ->   063
476416   <-   050
476976   ->   036
479236   <-   036
480045   ->   068
480411   <-   051


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
492416   ->   065
492826   <-   047
493550   ->   067
493936   <-   052
494526   ->   072
494876   <-   053
495471   ->   063
495901   <-   047
496535   ->   072
496885   <-   051
497500   ->   077
497806   <-   054
498375   ->   074
498685   <-   048
499335   ->   048
499885   <-   045
500526   ->   070
500871   <-   050
