Data:          2021-10-03_14_36_15
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      14
Quedas:        3

soro:          09088 pontos / 141 golpes / 56.87 km/h
geraldo:       07793 pontos / 121 golpes / 56.48 km/h

Parcial:       16881 pontos
Desequilibrio: 00000 (-)
Quedas:        00000 (-)

FINAL:         16881 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
006909   <-   047
007569   ->   058
007997   <-   051
008549   ->   052
009099   <-   041
009894   ->   043
010619   <-   041
011149   ->   037
011900   <-   044
012539   ->   057
013009   <-   048
013602   ->   046
015249   ->   035
015954   <-   045
016634   ->   060
017019   <-   053
017569   ->   053
018079   <-   048
018659   ->   060
019089   <-   053
019689   ->   057
020114   <-   054
020689   ->   059
021069   <-   054
021629   ->   054
022099   <-   056
022609   ->   048
023229   <-   053
023819   ->   035
024549   <-   042
025234   ->   057
025659   <-   051
026174   ->   044
026769   <-   041
027510   ->   037
028114   <-   046
029799   <-   038
030609   ->   049
031119   <-   044
031699   ->   035
032459   <-   048
033124   ->   036
033809   <-   049
034399   ->   057
034869   <-   050
035469   ->   056
035899   <-   049
036579   ->   058
037009   <-   054
037564   ->   055
038034   <-   052
038559   ->   038
039249   <-   050
039849   ->   042
040439   <-   048
040999   ->   041
041679   <-   054
042279   ->   052
042749   <-   049
043321   ->   057
043794   <-   045
044389   ->   058
044859   <-   051
045389   ->   059
045864   <-   047
046504   ->   055
046949   <-   059
047569   ->   050
048019   <-   042
049404   <-   054
049939   ->   060
050364   <-   054
050874   ->   039
051539   <-   044
052179   ->   060
052584   <-   051
053179   ->   055
053599   <-   047
054199   ->   060
054649   <-   049
055249   ->   060
055634   <-   053
056231   ->   060
056659   <-   050
057209   ->   061
057619   <-   055
058169   ->   059
058599   <-   053
060029   <-   047
060624   ->   047
061224   <-   041
061989   ->   050
062479   <-   052
063037   ->   057
063459   <-   046
064119   ->   038
064744   <-   042
066279   <-   051
067559   <-   060
068814   <-   059
069429   ->   038
069989   <-   060
070559   ->   039
071124   <-   059
071674   ->   041
072189   <-   064
072699   ->   036
073274   <-   047
073909   ->   036
074619   <-   067
075024   ->   045
075679   <-   048
076349   ->   036
076959   <-   072
077389   ->   038
078049   <-   069
079199   <-   054
080444   <-   067
080929   ->   035
081529   <-   047
082169   ->   035
082939   <-   059
084219   <-   056
086329   ->   044
087014   <-   048
090529   <-   043
091899   <-   039
092584   ->   044
093139   <-   040
094459   <-   042
095819   <-   044
097214   <-   039
098719   <-   064
099279   ->   037
099829   <-   063
100349   ->   038
100939   <-   064
101459   ->   036
102094   <-   067
103249   <-   046
103889   ->   038
104444   <-   051
104949   ->   036
105724   <-   066
106984   <-   049
108299   <-   068
108772   ->   039
109372   <-   062
109879   ->   041
110439   <-   058
110994   ->   040
111504   <-   054
112019   ->   037
112699   <-   037
114194   <-   064
114749   ->   038
115279   <-   060
116624   <-   065
117069   ->   040
117669   <-   044


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
133029   ->   052
133499   <-   041
135014   <-   038
135589   ->   054
136059   <-   045
136699   ->   048
137169   <-   044
137849   ->   058
138229   <-   050
138829   ->   061
139259   <-   050
139879   ->   060
140304   <-   052
140819   ->   046
141394   <-   053
141989   ->   057
142349   <-   050
142994   ->   060
143379   <-   052
143929   ->   053
144399   <-   051
145049   ->   055
145489   <-   046
146129   ->   055
146534   <-   054
147089   ->   057
147509   <-   048
148114   ->   057
148539   <-   047
149159   ->   059
149579   <-   049
150184   ->   052
152269   <-   050
152869   ->   055
153299   <-   045
153979   ->   059
154359   <-   047
154939   ->   054
155409   <-   052
155969   ->   054
156449   <-   050
157009   ->   057
157459   <-   051
157989   ->   054
158459   <-   046
159059   ->   057
159529   <-   042
160209   ->   061
160589   <-   056
161169   ->   035
161917   <-   057
163279   <-   049
163829   ->   058
164299   <-   042
164959   ->   049
165520   <-   041
166199   ->   055
166669   <-   050
167269   ->   064
167609   <-   056
168209   ->   053
168659   <-   046
169289   ->   058
169679   <-   059
170229   ->   056
170664   <-   047
171344   ->   054
171814   <-   051
172389   ->   059
172809   <-   050
173409   ->   059
173799   <-   053
174369   ->   049
174879   <-   045
175569   ->   056
175989   <-   050
176579   ->   053
177039   <-   052
177589   ->   059
177979   <-   048
178599   ->   056
179024   <-   046
179709   ->   046
180239   <-   041
180939   ->   061
181374   <-   051
181919   ->   060
182349   <-   051
182889   ->   057
183359   <-   042
184079   ->   060
185404   ->   054
185874   <-   042
186549   ->   058
186999   <-   047
187639   ->   052
188109   <-   039
189629   <-   043
191099   <-   050
191689   ->   037
192289   <-   057
192929   ->   038
193441   <-   050
194042   ->   038
194579   <-   063
195004   ->   038
195679   <-   053
197009   <-   063
197564   ->   037
198119   <-   050
198799   ->   035
199349   <-   066
199869   ->   039
200379   <-   052
201059   ->   036
201569   <-   057
202829   <-   062
204004   <-   048
204619   ->   040
205309   <-   044
205989   ->   038
206689   <-   046
207379   ->   037
207954   <-   052
208569   ->   036
209214   <-   074
209639   ->   040
210189   <-   063
210699   ->   037
211389   <-   064
211859   ->   038
212539   <-   046
213159   ->   038
213819   <-   069
214329   ->   040
214864   <-   065
215369   ->   042
215889   <-   047
217274   <-   069
221749   ->   052
222219   <-   043
222863   ->   057
223269   <-   037
224019   ->   060
224399   <-   051
224999   ->   057
225379   <-   043
225999   ->   058
226429   <-   048
227069   ->   054
227489   <-   042
228219   ->   050
228639   <-   041
229354   ->   058
229779   <-   041
230484   ->   060
230909   <-   045
231569   ->   060
231949   <-   044
232629   ->   060
233019   <-   050
233614   ->   056
234039   <-   038
234719   ->   035
235409   <-   048
235999   ->   059
236389   <-   052
237029   ->   060
237409   <-   044
238009   ->   042
238709   <-   047
239349   ->   059
239739   <-   048
240359   ->   060
240784   <-   047
241384   ->   061
241809   <-   046
242449   ->   060
242834   <-   050
243429   ->   056
243829   <-   038
244584   ->   051
245074   <-   039
245799   ->   061
246224   <-   045
246859   ->   057
247289   <-   038
248784   <-   044
249469   ->   038
250174   <-   060
251494   <-   046
252134   ->   038
252819   <-   062
254069   <-   049
254649   ->   041
255329   <-   056
255890   ->   037
256479   <-   070
256999   ->   037
257592   <-   075
258679   <-   039
260129   <-   070
260519   ->   038
261159   <-   048
262524   <-   071
264464   ->   050
264934   <-   046
265529   ->   058
265959   <-   048
266549   ->   050
267024   <-   040
267749   ->   056
268179   <-   044
268819   ->   056
269239   <-   045
269839   ->   053
270334   <-   042
271029   ->   057
271479   <-   048
272059   ->   051
272574   <-   045
273209   ->   057
273639   <-   047
274259   ->   060
274679   <-   047
275284   ->   056
275749   <-   047
276389   ->   057
276769   <-   051
277414   ->   039
278205   <-   045
278799   ->   042
279589   <-   072
280039   ->   039
280649   <-   059
281169   ->   038
281719   <-   053


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
313554   ->   057
313979   <-   044
314599   ->   058
314984   <-   056
315579   ->   050
316004   <-   045
316649   ->   056
317029   <-   055
317599   ->   058
318009   <-   052
318589   ->   056
318969   <-   050
319569   ->   058
319954   <-   053
320509   ->   057
320889   <-   047
321489   ->   054
321914   <-   047
322469   ->   054
322919   <-   052
323474   ->   035
324239   <-   042
324879   ->   060
325239   <-   052
325799   ->   056
326239   <-   044
326884   ->   060
327269   <-   045
328594   <-   040
329299   ->   062
329724   <-   037
330489   ->   060
330834   <-   052
331339   ->   059
331769   <-   055
332369   ->   057
332754   <-   049
333309   ->   060
333729   <-   054


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
346704   ->   056
347109   <-   047
347769   ->   059
348149   <-   052
348774   ->   058
349199   <-   049
349799   ->   061
350184   <-   050
350759   ->   058
351179   <-   049
351804   ->   039
352399   <-   050
352999   ->   055
354679   ->   053
355109   <-   036
355979   ->   053
356409   <-   040
357129   ->   057
357584   <-   050
358184   ->   057
360229   <-   039
360954   ->   060
361339   <-   048
361979   ->   060
362364   <-   052
362869   ->   059
363304   <-   050
363919   ->   055
364299   <-   048
364904   ->   059
365329   <-   055
365879   ->   056
366309   <-   039
367029   ->   056
367479   <-   052



