Data:          2021-10-03_14_48_19
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      6
Quedas:        14

jackson:       06757 pontos / 105 golpes / 56.75 km/h
evandro:       10875 pontos / 164 golpes / 59.93 km/h

Parcial:       17632 pontos
Desequilibrio: 02091 (-)
Quedas:        04197 (-)

FINAL:         11344 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
022644   <-   045
023234   ->   057
023664   <-   055
024264   ->   056
024735   <-   058
025244   ->   055
025715   <-   049
026314   ->   064
026695   <-   043
027334   ->   038
028039   <-   058
028549   ->   047
029014   <-   065
029534   ->   044
030004   <-   053
030594   ->   038
031064   <-   052
031624   ->   044
032179   <-   074
032624   ->   044
033174   <-   063
033644   ->   042
034204   <-   072
034634   ->   046
035229   <-   038
035824   ->   041
036464   <-   067
036874   ->   047
037364   <-   061
037874   ->   045
038429   <-   062
038895   ->   040
039409   <-   039
040114   ->   061
040534   <-   051
041139   ->   047
041609   <-   054
042244   ->   038
042824   <-   046


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
056479   <-   060
056969   ->   044
057439   <-   048
058079   ->   053
058504   <-   051
059059   ->   041
059564   <-   062
060054   ->   046
060524   <-   067
060995   ->   043
061554   <-   068
061974   ->   047
062444   <-   064
062914   ->   044
063424   <-   061
063944   ->   048
064434   <-   064
064819   ->   042
065459   <-   074
065944   ->   041
066504   <-   070
066924   ->   041


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
076764   <-   064
077319   ->   044
077744   <-   055
078254   ->   042
078854   <-   068
079326   ->   042
079879   <-   067
080264   ->   041
080944   <-   044
081585   ->   056
082014   <-   052
082590   ->   062
083015   <-   052
083529   ->   046
084084   <-   048
084634   ->   062
085065   <-   055
085599   ->   063
086024   <-   052
086579   ->   052
087049   <-   051
087624   ->   059
088009   <-   053
088537   ->   060
088989   <-   043
092019   <-   067
093299   <-   049
093894   ->   038
094449   <-   040
095219   ->   044
095725   <-   068
096195   ->   044
096669   <-   053
097204   ->   043
097759   <-   073
098164   ->   041
098804   <-   061
099314   ->   039
099934   <-   073
100314   ->   043
100959   <-   072
101429   ->   038
102004   <-   064
102474   ->   041
103070   <-   048
103664   ->   037
104435   <-   040
105155   ->   063
105584   <-   053
106134   ->   065
106674   <-   041
107314   ->   038
107904   <-   037
108765   ->   036
109469   <-   042
110069   ->   041
110704   <-   045
111389   ->   057
111774   <-   053
113664   <-   042
115164   <-   043
