Data:          2021-10-03_15_00_55
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      2
Quedas:        20

marcao:        07860 pontos / 097 golpes / 63.41 km/h
esquerdinha:   06721 pontos / 079 golpes / 64.53 km/h

Parcial:       14581 pontos
Desequilibrio: 00000 (-)
Quedas:        06562 (-)

FINAL:         08019 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
005220   ->   056
005730   <-   047
006335   ->   056
009740   ->   035
010510   <-   072
010920   ->   041
011600   <-   042
012245   ->   037
013075   <-   070
013480   ->   036
014225   <-   064
014690   ->   036
015360   <-   058
015800   ->   042
016550   <-   067
017020   ->   041
017664   <-   038
018385   ->   042
018985   <-   074
019410   ->   038
020135   <-   078
020520   ->   039
021290   <-   064


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
029780   <-   047
030460   ->   048
031010   <-   045
031700   ->   060
032170   <-   048
032780   ->   066
033170   <-   050
033890   ->   056
034410   <-   044
035090   ->   068
035520   <-   051
036180   ->   066
036650   <-   044
037374   ->   063
037800   <-   036
038650   ->   039
039335   <-   047
040020   ->   064
040440   <-   040
041210   ->   061
041660   <-   042
042345   ->   051
042900   <-   050
043540   ->   065
043980   <-   052
044565   ->   054
045095   <-   042
046990   <-   041
048640   <-   066


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
061525   ->   049
061995   <-   045
062845   ->   044
063635   <-   038
064380   ->   048
064930   <-   046
065620   ->   062
066045   <-   048
066700   ->   067
067135   <-   050
067775   ->   063
068200   <-   045
068885   ->   045
069480   <-   049
070080   ->   047
070805   <-   067
071250   ->   035
072102   <-   035
073810   <-   038
074560   ->   042
075220   <-   074
075690   ->   041
076450   <-   052
078080   <-   039
079615   <-   068
080085   ->   045
080700   <-   041
081385   ->   042
082090   <-   076
083345   <-   067


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
094930   ->   058
095400   <-   045
096125   ->   061
096575   <-   038
097340   ->   038
097980   <-   046
098660   ->   063
099090   <-   049
099690   ->   060
100200   <-   042
100860   ->   063
101290   <-   050
101880   ->   064
102355   <-   046
102990   ->   063
103420   <-   051
104120   ->   045
104765   <-   044
105535   ->   064
105910   <-   045
106560   ->   070
107025   <-   045
107710   ->   049
108300   <-   049
108990   ->   055


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
123540   ->   055
124010   <-   043
124710   ->   057
125220   <-   045
125860   ->   061
126330   <-   042
127060   ->   068
127485   <-   047
128125   ->   057
128630   <-   049
129252   ->   066
129685   <-   045
130410   ->   061
130830   <-   048
131430   ->   071
131900   <-   052
132540   ->   059
133010   <-   051
133670   ->   067
134056   <-   045
134805   ->   060
135270   <-   043
135930   ->   073
136360   <-   045
137065   ->   077
137450   <-   050
138170   ->   079
138560   <-   042
139240   ->   081
139661   <-   044
142740   ->   037
143440   <-   079
143825   ->   040


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
165675   ->   048
166270   <-   063
166690   ->   042
167380   <-   071
167800   ->   035
168550   <-   066
169980   <-   044
173545   <-   043
174220   ->   040
174840   <-   043
175570   ->   041
176250   <-   058
176780   ->   040
177493   <-   071
177920   ->   041
178665   <-   066


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
195440   <-   064
195885   ->   042
196520   <-   068
196940   ->   045
197710   <-   070
198050   ->   047
198695   <-   047
199290   ->   036
200000   <-   073
200425   ->   036
201108   <-   064
201570   ->   035
202410   <-   064
202900   ->   038
203580   <-   066
204860   <-   041
205540   ->   038
206290   <-   048
206930   ->   038
207616   <-   074
208830   <-   042
209470   ->   035


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
220940   <-   045
221610   ->   053
222190   <-   047
223720   <-   040
224425   ->   055
224890   <-   049
225620   ->   061
226040   <-   048
226770   ->   067
227220   <-   045
230100   ->   046
230760   <-   038
231530   ->   073
232890   ->   043
233535   <-   042
234210   ->   074
234641   <-   051
235341   ->   049
235943   <-   046
237460   <-   045
238120   ->   073
240640   <-   042
241360   ->   061
241835   <-   039
243690   <-   044
244415   ->   039
245140   <-   042


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
259600   <-   046
260265   ->   050
260820   <-   046
261525   ->   066
261900   <-   048
262545   ->   069
262975   <-   050
263650   ->   055
264170   <-   049
264790   ->   057
265250   <-   049
265873   ->   066
266300   <-   049
266940   ->   064
267355   <-   053
267945   ->   068
268450   <-   050
269090   ->   068
269500   <-   051
270140   ->   071
270525   <-   044
271330   ->   073
271720   <-   049
272380   ->   073
272765   <-   052
273360   ->   067
273830   <-   045
274495   ->   082
274880   <-   038
279290   <-   040
280405   <-   039
281960   <-   038


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---
295315   <-   046
296000   ->   050
296550   <-   049
297210   ->   052
297720   <-   049
298360   ->   061
298835   <-   050
299475   ->   062
299945   <-   049
300607   ->   050
301290   <-   042
302055   ->   073
302440   <-   051
303080   ->   073
303509   <-   042


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
318100   <-   067
318570   ->   042
319270   <-   069
319615   ->   048
320290   <-   071
321550   <-   043
322150   ->   038
322830   <-   046
323430   ->   035
324160   <-   074
324605   ->   039
325290   <-   075
325670   ->   046
326310   <-   048
326860   ->   040
327590   <-   081
327970   ->   039
328780   <-   081
329150   ->   039
329895   <-   079
330360   ->   036
331110   <-   048
332440   <-   082


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
346325   <-   070
346751   ->   042
347455   <-   065
354240   ->   037
354940   <-   073
355350   ->   042
356075   <-   078
356500   ->   042
357180   <-   066


SEQUÊNCIA 13
============

TEMPO   DIR   KMH
-----   ---   ---
368890   <-   067
370150   <-   065
370600   ->   036
371490   <-   068
371920   ->   043
372600   <-   069
373070   ->   041
373710   <-   045
374310   ->   039
375030   <-   073
375420   ->   043


SEQUÊNCIA 14
============

TEMPO   DIR   KMH
-----   ---   ---
386280   <-   066
387475   <-   041
388155   ->   041
388840   <-   068
389260   ->   043
389950   <-   072
390335   ->   039
391010   <-   064


SEQUÊNCIA 15
============

TEMPO   DIR   KMH
-----   ---   ---
401830   <-   075
402260   ->   036
402965   <-   080
403340   ->   038
404110   <-   075
404470   ->   044
405140   <-   061
405610   ->   035
406400   <-   072
406840   ->   040
407480   <-   077
407890   ->   040
408600   <-   048
409105   ->   038
409895   <-   073


SEQUÊNCIA 16
============

TEMPO   DIR   KMH
-----   ---   ---
421840   ->   045
422480   <-   048
423100   ->   054
423595   <-   045
424310   ->   065
424660   <-   049
425340   ->   066
425770   <-   048
426410   ->   068


SEQUÊNCIA 17
============

TEMPO   DIR   KMH
-----   ---   ---
439315   ->   048
439850   <-   042
440550   ->   037
441300   <-   042
442005   ->   057
442495   <-   045
443135   ->   054
443640   <-   050
444350   ->   062
444770   <-   045
445435   ->   067
445822   <-   050
446630   ->   039
447250   <-   042
447910   ->   073
448275   <-   046
449000   ->   048
449570   <-   049
450130   ->   052
450660   <-   040


SEQUÊNCIA 18
============

TEMPO   DIR   KMH
-----   ---   ---
463310   <-   047
464040   ->   051
464595   <-   045
465250   ->   063
465685   <-   043
466410   ->   041
467050   <-   049
467665   ->   049
468265   <-   047
468940   ->   066
469370   <-   047
470055   ->   051
470610   <-   045
471250   ->   063
471680   <-   049
472340   ->   059
472760   <-   042
473530   ->   058
474000   <-   044
474810   ->   063
475285   <-   043
476030   ->   038
476670   <-   047
477350   ->   065
477780   <-   051
478420   ->   071
478805   <-   049
479400   ->   075
479820   <-   047
480460   ->   066
480930   <-   051
481555   ->   035
482430   <-   042
483300   ->   040
484030   <-   045
484710   ->   065


SEQUÊNCIA 19
============

TEMPO   DIR   KMH
-----   ---   ---
498430   ->   056
498980   <-   049
499605   ->   040
500410   <-   055
501735   <-   046
502370   ->   056
502890   <-   047
503570   ->   072
503970   <-   038
504830   ->   058
505320   <-   044
506025   ->   063
506410   <-   052
507090   ->   067
507510   <-   045
508150   ->   075
508520   <-   037


SEQUÊNCIA 20
============

TEMPO   DIR   KMH
-----   ---   ---
535080   ->   045
535760   <-   071
536190   ->   038
536980   <-   048
537535   ->   040
538195   <-   081
538605   ->   041
539260   <-   080
540540   <-   075



