Data:          2021-10-03_15_12_58
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      7
Quedas:        20

nunes:         10409 pontos / 110 golpes / 67.58 km/h
ph:            13628 pontos / 143 golpes / 68.03 km/h

Parcial:       24037 pontos
Desequilibrio: 00097 (-)
Quedas:        10773 (-)

FINAL:         13167 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
034725   <-   067
035276   ->   049
035795   <-   070
036350   ->   048
036905   <-   073
037545   ->   051
037925   <-   074
038825   ->   036
039185   <-   076
039700   ->   053
040165   <-   073
040715   ->   045
041235   <-   082
041785   ->   048
042300   <-   080
042685   ->   046
043370   <-   063
043965   ->   048
044520   <-   083
044925   ->   043
045695   <-   075
046205   ->   050
046715   <-   077
047145   ->   046
047825   <-   042


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
056550   ->   050
057556   <-   043
057895   ->   077
058280   <-   056
058876   ->   075
059275   <-   057
059965   ->   075
060390   <-   049


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
067665   ->   049
068235   <-   048
068905   ->   073
069330   <-   056
070075   ->   049
070675   <-   038
071565   ->   035
072211   <-   042
073790   <-   048
074146   <-   044
074445   ->   076
074875   <-   049
075575   ->   077
075965   <-   060
076585   ->   080
076986   <-   055
077605   ->   081
077985   <-   053
078625   ->   081
079055   <-   051
079741   ->   081
080075   <-   046
080785   ->   045
081470   <-   049
082196   ->   047
082770   <-   073
083325   ->   052
083795   <-   051
085460   <-   075
085885   ->   046
086525   <-   045
087250   ->   076
087675   <-   054
088336   ->   072
088785   <-   044
089555   ->   051
090150   <-   051
090815   ->   078
091235   <-   045
092135   ->   074
092565   <-   054
093205   ->   057
093815   <-   054
094455   ->   072
094865   <-   051
095675   ->   079
096040   <-   053
097638   <-   047
098365   ->   038
099135   <-   060


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
117175   <-   069
118335   <-   065
119465   <-   074
124905   <-   050
125585   ->   045
126285   <-   061
126890   ->   051
127361   <-   075
127865   ->   047
128380   <-   048
129320   ->   040
129790   <-   081
130295   ->   045
130875   <-   081
131260   ->   053
132050   <-   060
