Data:          2021-10-03_15_27_14
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      31
Quedas:        14

sandrinho:     09996 pontos / 108 golpes / 67.70 km/h
fabio:         10257 pontos / 107 golpes / 69.01 km/h

Parcial:       20253 pontos
Desequilibrio: 00000 (-)
Quedas:        05469 (-)

FINAL:         14784 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
017390   ->   060
017805   <-   043
018435   ->   055
018870   <-   044
019565   ->   073
019950   <-   036
020720   ->   069
021105   <-   044
021780   ->   074
022080   <-   047
022725   ->   055
023180   <-   042
023835   ->   074
024220   <-   044
024850   ->   073
025200   <-   038
025925   ->   044
026545   <-   069
026970   ->   050
027440   <-   064
027995   ->   045
028525   <-   075
028850   ->   039
029530   <-   054
030760   <-   075
031150   ->   044
031665   <-   042
032360   ->   049
032920   <-   038
033640   ->   040
034280   <-   075
034600   ->   040
036270   ->   040
036890   <-   076
037360   ->   045
037890   <-   065
038530   ->   048
038960   <-   062
039470   ->   040
040110   <-   069
040510   ->   044
041261   <-   067


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
058584   ->   065
059010   <-   039
059760   ->   071
060100   <-   042
060700   ->   074
061080   <-   041
061720   ->   078
063340   ->   040
063890   <-   060
065050   <-   066
065410   ->   044


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
079060   ->   059
079450   <-   040
080220   ->   062
080560   <-   041
081280   ->   062
081710   <-   038
082395   ->   071
082780   <-   048
083525   ->   052
084030   <-   036
084420   <-   035
084800   ->   069
085105   <-   040
087360   <-   065
087790   ->   048
088280   <-   054
093275   ->   056
093680   <-   040
094230   ->   051
095470   ->   078
097711   ->   044
098311   <-   070
101060   ->   041
102290   ->   076
104130   <-   064
105240   <-   072
105880   ->   044
106200   <-   073
106500   ->   050
107140   <-   039
107930   ->   036
108650   <-   075
109080   ->   041
109850   <-   044
112780   ->   040
113435   <-   041
114245   ->   066
114630   <-   041
115290   ->   074
116720   ->   076
117080   <-   045
117810   ->   043
118320   <-   074
118830   ->   042
119345   <-   071
119770   ->   041
120360   <-   072


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
134830   ->   057
135210   <-   039
135941   ->   057
137925   <-   060
138430   ->   044
138970   <-   064
139440   ->   041
