Data:          2021-10-03_16_05_33
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        6

helton:        11195 pontos / 170 golpes / 60.87 km/h
clemerson:     11735 pontos / 147 golpes / 62.80 km/h

Parcial:       22930 pontos
Desequilibrio: 00000 (-)
Quedas:        00688 (-)

FINAL:         22242 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
020190   ->   055
020700   <-   058
021234   ->   050
021740   <-   059
022299   ->   055
022769   <-   072
023239   ->   055
023710   <-   057
024288   ->   050
024819   <-   066
025244   ->   051
025799   <-   064
026199   ->   052
026710   <-   055
027270   ->   052
027740   <-   069
028250   ->   051
028720   <-   071
029230   ->   054
029700   <-   074
030149   ->   050
030640   <-   072
031095   ->   050
031640   <-   065
032090   ->   047
032670   <-   061
033180   ->   051
033696   <-   076
034120   ->   050
034675   <-   068
035059   ->   047
035630   <-   066
036120   ->   047
036679   <-   066
037150   ->   047
037704   <-   073
038129   ->   048
038729   <-   063
039130   ->   047
039710   <-   074
040180   ->   043
040755   <-   063
041290   ->   047
041820   <-   065
042249   ->   051
042804   <-   068
043274   ->   051
043784   <-   065
044210   ->   047
044784   <-   070
045250   ->   043
045810   <-   037
046529   ->   039
048009   ->   061
048429   <-   045
049075   ->   068
049524   <-   048
050159   ->   058
050630   <-   051
051230   ->   063
051655   <-   044
052380   ->   058
052810   <-   049
053420   ->   065
053855   <-   048
054469   ->   066
054899   <-   054
055449   ->   069
055919   <-   039
056735   ->   047
057416   <-   042
057970   ->   066
058419   <-   046
059139   ->   058
059570   <-   040
061215   <-   035
061939   ->   047
062534   <-   048
063134   ->   041
063750   <-   042
064500   ->   060
064920   <-   041
065690   ->   061
066074   <-   051
066740   ->   064
067159   <-   046
067760   ->   063
068230   <-   043
068870   ->   060
070280   ->   037
073009   <-   039
073695   ->   066
074969   ->   067
075400   <-   049
075990   ->   062
076509   <-   043


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
089500   ->   050
090049   <-   064
090569   ->   048
091120   <-   068
091615   ->   049
092209   <-   068
092594   ->   051
093189   <-   068
093570   ->   044
094175   <-   061
094679   ->   051
095135   <-   055
095810   ->   037
096410   <-   066
096879   ->   053
097430   <-   038
098140   ->   046
098780   <-   056
099210   ->   043
099909   <-   067
100340   ->   050
100850   <-   073
101319   ->   045
101850   <-   044
102530   ->   048
103090   <-   064
103514   ->   047
104329   <-   035
105800   <-   044
106485   ->   042
107120   <-   073


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
118024   ->   052
118580   <-   061
119089   ->   047
119680   <-   066
120115   ->   049
