Data:          2021-10-03_16_28_42
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      6
Quedas:        8

mister:        08804 pontos / 095 golpes / 68.00 km/h
bruno:         08536 pontos / 110 golpes / 62.27 km/h

Parcial:       17340 pontos
Desequilibrio: 00000 (-)
Quedas:        01561 (-)

FINAL:         15779 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
013910   <-   057
014380   ->   038
015060   <-   041
015740   ->   040
016301   <-   067
016850   ->   036
017390   <-   061
017821   ->   045
018410   <-   070
018800   ->   037
019501   <-   048
020840   <-   072
024046   ->   061
024516   <-   048
025241   ->   064
025625   <-   043
026306   ->   066
026906   <-   042
027291   ->   069
027650   <-   044
028251   ->   068
028671   <-   048
029180   ->   072
029740   <-   044
030120   ->   074
030726   <-   036
031236   ->   073
031741   <-   044
032091   ->   070
032535   <-   049
033050   ->   078
033580   <-   042
033946   ->   076


SEQUÊNCIA 02
============

TEMPO   DIR   KMH
-----   ---   ---
052251   <-   061
053651   <-   038
054831   <-   059
055320   ->   040
055960   <-   068
056300   ->   038
057005   <-   064
058030   <-   057
059071   <-   061
059500   ->   039
060050   <-   068
063170   <-   071
064195   <-   047
065560   <-   068
068180   <-   067
068611   ->   039
069210   <-   065
069591   ->   039
070190   <-   062
071341   <-   047
076221   ->   041
077165   <-   038
077335   ->   060
077890   <-   042
078361   ->   068
078853   <-   043
079400   ->   070
079745   <-   044
080380   ->   066
080815   <-   040
081456   ->   070
081810   <-   042
082415   ->   070
082821   <-   039
083501   ->   064
084016   <-   041
084525   ->   075
084820   <-   050
085481   ->   071
085870   <-   052
086426   ->   072


SEQUÊNCIA 03
============

TEMPO   DIR   KMH
-----   ---   ---
109100   <-   061
109635   ->   041
110255   <-   044
110930   ->   038
111601   <-   065
112020   ->   039
112730   <-   063
113121   ->   036
113811   <-   057
114260   ->   036
114991   <-   072
115430   ->   036
116079   <-   064
116506   ->   037


SEQUÊNCIA 04
============

TEMPO   DIR   KMH
-----   ---   ---
128335   <-   058
128747   ->   042
129299   <-   044
130003   ->   039
130657   <-   066
131797   <-   066
132952   <-   043
133637   ->   037
134531   ->   037
135102   <-   036
135847   ->   039
136379   <-   060
136847   ->   039
137445   <-   061
137786   ->   046
138412   <-   063
138854   ->   043
139427   <-   062
139809   ->   038
140457   <-   039
141773   <-   062
142202   ->   035
142926   <-   066
144078   <-   063
146275   <-   059
146696   ->   041
147423   <-   063
148556   <-   041
149193   ->   039
149790   <-   068
150965   <-   055
152096   <-   035
152777   ->   062
153245   <-   038
153885   ->   036
154655   <-   038
155271   ->   072
155613   <-   044
156210   ->   062
156701   <-   043
157214   ->   078
157598   <-   045
158234   ->   077
158642   <-   041
159198   ->   076
159582   <-   044
160155   ->   068
161415   ->   082


SEQUÊNCIA 05
============

TEMPO   DIR   KMH
-----   ---   ---
183217   <-   059
183664   ->   039
184389   <-   068
184813   ->   036
186584   ->   036
187141   <-   067
187523   ->   038
188208   <-   069
188591   ->   035
189314   <-   064
189729   ->   035
190404   <-   041
191002   ->   047
191632   <-   064
192027   ->   038
192684   <-   066
193072   ->   040
193734   <-   065
194074   ->   039
194758   <-   064
195184   ->   039
196524   ->   040
197124   <-   064
197509   ->   040
198104   <-   054
198619   ->   040
199132   <-   038
199791   ->   039
200410   <-   066
201473   <-   064
202604   <-   066
202972   ->   035
203739   <-   068
205573   ->   038
206149   <-   056
206661   ->   038
207301   <-   050
207771   ->   038
208325   <-   037
209050   ->   038
209605   <-   037
210334   ->   067
210672   <-   037
211760   ->   043
211974   <-   042
212570   ->   071
212995   <-   040
213535   ->   072
213871   <-   038
214533   ->   074
214875   <-   041
215515   ->   072
216667   ->   069
217004   <-   049
217603   ->   044
218224   <-   036
218905   ->   071
219290   <-   048
219909   ->   062
220335   <-   041
220976   ->   070
221359   <-   045
221953   ->   070
222342   <-   039
222983   ->   071
223367   <-   046
223963   ->   065
224347   <-   046
224922   ->   056
226096   ->   072
226434   <-   050


SEQUÊNCIA 06
============

TEMPO   DIR   KMH
-----   ---   ---
332183   <-   062
332653   ->   041
333318   <-   060
333743   ->   040
334405   <-   065
336071   <-   062
338924   <-   062
339439   ->   041
339931   <-   058
340400   ->   035
341166   <-   060
341679   ->   037
342406   <-   064
342744   ->   035
343451   <-   069
344694   <-   053
345882   <-   038
346566   ->   068
346951   <-   041
347546   ->   066
347910   <-   042
348550   ->   066
348933   <-   045
349467   ->   068
349958   <-   038
350555   ->   064
350893   <-   041
351534   ->   066
352004   <-   044
352559   ->   061
352984   <-   044
353456   ->   068


SEQUÊNCIA 07
============

TEMPO   DIR   KMH
-----   ---   ---
370883   ->   056
371269   <-   038
371845   ->   068
372229   <-   044
372913   ->   053
373467   <-   047
374089   ->   063
374512   <-   041
375109   ->   058
375493   <-   035
376134   ->   072
377243   ->   072
377627   <-   051
378247   ->   066
378629   <-   047
379184   ->   067
380251   ->   073
380634   <-   038
381294   ->   071
381633   <-   044
382213   ->   071
382593   <-   044
383173   ->   074


SEQUÊNCIA 08
============

TEMPO   DIR   KMH
-----   ---   ---
401179   <-   059
401605   ->   039
402284   <-   037
402908   ->   036
403675   <-   057
405403   ->   038
405999   <-   057
406383   ->   041
407109   <-   060
407493   ->   038
408174   <-   056
408644   ->   038
409286   <-   072
410459   <-   040
412869   <-   068
413294   ->   038
413893   <-   068
416624   <-   061
417004   ->   041
417583   <-   064
419738   ->   073
420251   <-   040
420784   ->   063
421124   <-   048
421803   ->   065
422278   <-   040
422789   ->   069
423258   <-   039
423792   ->   069
424239   <-   040
424838   ->   073
425244   <-   038
425793   ->   068
426180   <-   045
426753   ->   073
432173   ->   089
433263   ->   073
433691   <-   039
436058   ->   081
439044   ->   062
440289   ->   069
441413   ->   043
444890   ->   038
445552   <-   056
445978   ->   038
446618   <-   059
447002   ->   040
447600   <-   056
448111   ->   038
448667   <-   065
449861   <-   063
450992   <-   063
452165   <-   064
453424   <-   060
453892   ->   040
454425   <-   038
456964   ->   071
458114   ->   071
458459   <-   040
459095   ->   057
459482   <-   039
460166   ->   061
460503   <-   037
463599   <-   055
464069   ->   038
464730   <-   053
465989   <-   066
466414   ->   040


SEQUÊNCIA 09
============

TEMPO   DIR   KMH
-----   ---   ---
495110   <-   054
495622   ->   041
496261   <-   055
496686   ->   040
497285   <-   067
497794   ->   035
498501   <-   057
498949   ->   038
499590   <-   068
500014   ->   038
500698   <-   070
501083   ->   036
501743   <-   063
502124   ->   037
502853   <-   069
504042   <-   035
505519   <-   072
506651   <-   067
507823   <-   066
508911   <-   045
510022   <-   037
510747   ->   037
511387   <-   065
511813   ->   038
512432   <-   066
512902   ->   038
513459   <-   060
513882   ->   037
514434   <-   043
515073   ->   066
515482   <-   045
516035   ->   072
516592   <-   037
517018   ->   070
517445   <-   042
518000   ->   076
518468   <-   046
518987   ->   069
